Name,Gen,Gen2,Description,Note,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Choice Band,3,,"Raises user's Attack, but they can only use one move.",,こだわりハチマキ,Kodawari Hachimaki,Bandeau Choix,Wahlband,Bendascelta,Cinta Elegida,구애머리띠,Guae Meoritti,講究頭帶 / 讲究头带,Jiǎngjiù Tóudài / Gónggau Tàuhdaai,144
Z-Power Ring,7,,Allows the player to use Z-Moves when a Pokémon is holding an appropriate Z-Crystal. Allows the player to use Mega Evolution after obtaining a Key Stone when a Pokémon is holding the appropriate Mega Stone.,,Ｚパワーリング,Z Power Ring,Super Bracelet Z,Z-Kraftring,Supercerchio Z,Superpulsera Z,Z파워링,Z-Power Ring,Ｚ強力手環 / Ｚ强力手环,Z Qiánglì Shǒuhuán / Z Kèuhnglihk Sáuwàahn,0
PRZCureBerry,2,,Cures paralysis.,,まひなおしのみ,Mahinaoshi no Mi,Baie AntiPAR,AntiPARBeere,Baccantipar.,Antiparabaya,마비치료열매,Mabi Chiryo Yeolmae,,,0
Heavy Ball,2,,A type of Poké Ball that works better on heavier Pokémon.,,ヘビーボール,Heavy Ball,Masse Ball,Schwerball,Peso Ball,Peso Ball,헤비볼,Heavy Ball,沉重球,Chénzhòng Qiú / Chàhmchúhng Kàuh,0
Gorgeous Box,2,,Sometimes held by a reward Pokémon from Pokémon Stadium if traded to Generation II.,,きりのはこ,Kiri no Hako,Coffre Luxe,Schatulle,Scat. Lusso,Caja Grande,오동나무상자,Odongnamu Sangja,,,0
Honor of Kalos,6,,Proof of defeating Team Flare and becoming Champion of the Kalos Pokémon League.,,カロスエンブレム,Kalos Emblem,Insigne de Kalos,Kalos-Emblem,Emblema di Kalos,Emblema de Kalos,칼로스엠블럼,Kalos Emblem,卡洛斯勳章 / 卡洛斯勋章,Kǎluòsī Xūnzhāng / Kāloksī Fānjēung,0
Shiny Leaf,4,,Note: Can only be held by Pokémon and found on certain tiles in certain areas by checking the Pokémon that follows the player. No guarantee that the player can find it even in the right place.,,,,,,,,,,,,2048
Petaya Berry,3,,Raises Special Attack if HP is below ⅓ of maximum.,,ヤタピのみ,Yatapi no Mi,Baie Pitaye,Tahaybeere,Baccapitaya,Baya Yapati,야타비열매,Yatabi Yeolmae,龍火果 / 龙火果,Lónghuǒ Guǒ / Lùhngfó Gwó,0
X Accuracy 6,5,,Immensely raises a Pokémon's accuracy. Wonder Launcher only.,,,,,,,,,,,,0
Rare Bone,4,,Can be sold for 5000.,,きちょうなホネ,Kichōna Hone,Os Rare,Steinknochen,Osso Raro,Hueso Raro,귀중한뼈,Gwijunghan Ppyeo,貴重骨頭 / 贵重骨头,Guìzhòng Gǔtou / Gwaijuhng Gwāttàuh,0
HP Up,1,,Raises the HP of a Pokémon.,,マックスアップ,Max Up,PV Plus,KP-Plus,PS-Su,Más PS,맥스업,Max Up,ＨＰ增強劑 / ＨＰ增强剂,HP Zēngqiángjì / HP Jāngkèuhngjaih,0
Member Card,4,,Allows access to the Canalave City hotel to face Darkrai.,,メンバーズカード,Member's Card,Carte Membre,Mitgl.Karte,Scheda Soci,Carné Socio,멤버스카드,Membership Card,會員卡 / 会员卡,Huìyuán Kǎ / Wúiyùhn Kāat,0
Charcoal,2,,Raises the power of Fire-type moves.,,もくたん,Mokutan,Charbon,Holzkohle,Carbonella,Carbón,목탄,Moktan,木炭,Mùtàn / Muhktaan,0
Electirizer,4,,A hold item that allows Electabuzz to evolve when traded.,,エレキブースター,Elec Booster,Électiriseur,Stromisierer,Elettritore,Electrizador,에레키부스터,Elec Booster,電力增幅器 / 电力增幅器,Diànlì Zēngfú Qì / Dihnlihk Jāngfūk Hei,0
X Accuracy,1,,Raises a Pokémon's Accuracy by 2 stages (1 stage before Gen. VII).,,ヨクアタール,Yokuatāru,Precision +,X-Treffer,Precisione X,Precisión X,잘-맞히기,Jal-Machigi,命中強化 / 命中强化,Mìngzhòng Qiánghuà / Mihngjung Kèuhngfa,0
Griseous Orb,4,,"Raises the power of Giratina's Ghost- and Dragon-type moves, and causes it to take on its Origin Forme.",,はっきんだま,Hakkin Dama,Orbe Platiné,Platinum-Orb,Grigiosfera,Griseosfera,백금옥,Baekgeum Ok,白金寶珠 / 白金宝珠,Báijīn Bǎozhū / Baahkgām Bóujyū,0
Up-Grade,2,,A held item which allows Porygon to evolve when traded.,,アップグレード,Upgrade,Améliorator,Up-Grade,Upgrade,Mejora,업그레이드,Upgrade,"升級資料*
升级数据","Shēngjí Zīliào / Sīngkāp Jīlíu*
Shēngjí Shùjù",3
Yago Berry,3,,Pokéblock ingredient. Will turn into an Enigma Berry if transferred to Generation IV via Pal Park.,,,,,,,,,,,,0
Polkadot Bow,2,,Raises the power of Normal-type moves.,,みずたまりボン,Mizutama Ribbon,Ruban à Pois,Punkt-Band,Fiocco Pois,Cintalunares,물방울리본,Mulbang-ul Ribon,,,0
Poké Toy,5,,Allows the player to flee from any battle with a wild Pokémon.,,ポケじゃらし,Poké Jarashi,Poképlumet,Pokéwedel,Pokégingillo,Pokéseñuelo,포켓풀,Pocket Pul,寶可尾草 / 宝可尾草,Bǎokě Wěicǎo / Bóuhó Méihchóu,0
X Speed,1,,Raises a Pokémon's Speed by 2 stages (1 stage before Gen. VII).,,スピーダー,Speeder,Vitesse +,X-Tempo,Velocità X,Velocidad X,스피드업,Speed-Up,速度強化 / 速度强化,Sùdù Qiánghuà / Chūkdouh Kèuhngfa,0
X Defend 6,5,,Immensely raises a Pokémon's Defense. Wonder Launcher only.,,,,,,,,,,,,0
Audinite,6,,Allows Audino to Mega Evolve into Mega Audino.,,タブンネナイト,Tabunnenite,Nanméouïte,Ohrdochnit,Audinite,Audinita,다부니나이트,Dabunienite,差不多娃娃進化石 / 差不多娃娃进化石,Chàbùduōwáwá Jìnhuà Shí / Chābātdōwāwā Jeunfa Sehk,0
Altarianite,6,,Allows Altaria to Mega Evolve into Mega Altaria.,,チルタリスナイト,Tyltalisnite,Altarite,Altarianit,Altarite,Altarianita,파비코리나이트,Pavicorinite,七夕青鳥進化石 / 七夕青鸟进化石,Qīxìqīngniǎo Jìnhuà Shí / Chātjihkchīngníuh Jeunfa Sehk,0
Steel Gem,5,,"Increases the power of the holder's first Steel-type move by 50%, and is consumed after use.",,はがねのジュエル,Hagane no Jewel,Joyau Acier,Stahljuwel,Bijouacciaio,Gema Acero,강철주얼,Gangcheol Jewel,鋼之寶石 / 钢之宝石,Gāng-zhī Bǎoshí / Gong-jī Bóusehk,16
Dire Hit 3,5,,Raises critical hit ratio by 3 levels in battle. Wonder Launcher only.,,,,,,,,,,,,0
N-Solarizer,,,,,ネクロプラスソル,Necro Plus Sol,Necrosol,Necrosol,Necrosolix,Necrosol,네크로플러스솔,Necro Plus Sol,奈克洛索爾合體器 / 奈克洛索尔合体器,Nàikèluò Suǒěr Hétǐqì / Noihhāklok Sokyíh Hahptáihei,0
Small Tablet,3,,Used to activate the Relic Stone.,,ちいさなせきばん,Chīsa na Sekiban,Ardoise,Steintafel,Tavola,Tablilla,,,,,0
Power Bracer,4,,"Promotes Attack EVs, but lowers Speed in battle.",,パワーリスト,Power Wrist,Poignée Pouvoir,Machtreif,Vigorcerchio,Brazal Recio,파워리스트,Power Wrist,力量護腕 / 力量护腕,Lìliàng Hùwàn / Lihkleuhng Wuhwún,128
Mewtwonite Y,6,,Allows Mewtwo to Mega Evolve into Mega Mewtwo Y.,,ミュウツナイトY,Mewtwonite Y,Mewtwoïte Y,Mewtunit Y,Mewtwoite Y,Mewtwoita Y,뮤츠나이트Y,Mewtwonite Y,超夢進化石Y / 超梦进化石Y,Chāomèng Jìnhuà Shí Y / Chīumuhng Jeunfa Sehk Y,0
Icy Rock,4,,Extends the duration of hail.,,つめたいいわ,Tsumetai Iwa,Roche Glace,Eisbrocken,Rocciafredda,Roca Helada,차가운바위,Chagaun Bawi,冰冷岩石,Bīnglěng Yánshí / Bīngláahng Ngàahmsehk,0
Growth Mulch,4,,"Causes Berries to grow faster, but makes the soil dry faster.",,すくすくこやし,Sukusuku Koyashi,Fertipousse,Wachsmulch,Fertilrapido,Abono Rápido,무럭무럭비료,Mureokmureok Biryo,速速肥,Sùsù Féi / Chūkchūk Fèih,0
Fairy Gem,6,,"Increases the power of the holder's first Fairy-type move by 50%, and is consumed after use.",,フェアリージュエル,Fairy Jewel,Joyau Fée,Feenjuwel,Bijoufolletto,Gema Hada,페어리주얼,Fairy Jewel,妖精寶石 / 妖精宝石,Yāojing Bǎoshí / Yīujīng Bóusehk,0
Rainbow Flower,7,,"A rainbow flower created from the Seven Petals obtained from Mina's trial, and required to finish Mina's Trial.",,にじいろのはな,Nijiiro no Hana,Fleur 7 Couleurs,Regenbogenblüte,Fiore arcobaleno,Flor Irisada,무지개꽃,Mujigae Kkot,虹色之花,Hóng-sè-zhī Huā / Hùhng-sīk-jī Fā,0
Skull Fossil,4,,A Fossil from which a Cranidos can be resurrected.,,ずがいのカセキ,Zugai no Kaseki,Fossile Crâne,Kopffossil,Fossilcranio,Fósil Cráneo,두개의화석,Dugae-ui Hwaseok,頭蓋化石 / 头盖化石,Tóugài Huàshí / Tàuhgoi Fasehk,128
Dropped Item,5,,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy/girl.,,わすれもの,Forgotten Item,Objet Trouvé,Fundsache,Oggetto Perso,Obj. Perdido,잊은물건,Ijeun Mulgeon,遺忘物 / 遗忘物,Yíwàng Wù / Wàihmòhng Maht,0
Cover Fossil,5,,A Fossil from which a Tirtouga can be resurrected.,,ふたのカセキ,Futa no Kaseki,Fossile Plaque,Schildfossil,Fossiltappo,Fósil Tapa,덮개화석,Deopgae Hwaseok,背蓋化石 / 背盖化石,Bèigài Huàshí / Buihgoi Fasehk,128
Basement Key,2,,Allows the player to access the basement of the Goldenrod Tunnel.,,ちかのカギ,Chika no Kagi,Clé Sous-Sol,Kelleröffner,Chiave sotterr.,Llave del Sótano,지하열쇠,Jiha Yeolsoe,地下鑰匙 / 地下钥匙,Dìxià Yàoshi / Deihhah Yeuhksìh,28
Hyper Potion,1,,Restores 120 HP. (200HP before Gen. VII).,,すごいキズぐすり,Sugoi Kizugusuri,Hyper Potion,Hypertrank,Iperpozione,Hiperpoción,고급상처약,Gogeup Sangcheo Yak,厲害傷藥 / 厉害伤药,Lìhài Shāngyào / Leihhhoih Sēungyeuhk,16
Normal Gem,5,,"Increases the power of the holder's first Normal-type move by 50%, and is consumed after use.",,ノーマルジュエル,Normal Jewel,Joyau Normal,Normaljuwel,Bijounormale,Gema Normal,노말주얼,Normal Jewel,一般寶石 / 一般宝石,Yībān Bǎoshí / Yātbūn Bóusehk,16
Garchompite,6,,Allows Garchomp to Mega Evolve into Mega Garchomp.,,ガブリアスナイト,Gaburiasnite,Carchacrokite,Knakracknit,Garchompite,Garchompita,한카리아스나이트,Hankariasnite,烈咬陸鯊進化石 / 烈咬陆鲨进化石,Lièyǎolùshā Jìnhuà Shí / Lihtngáauhluhksā Jeunfa Sehk,0
Nugget,1,,Can be sold for 5000.,,きんのたま,Kin no Tama,Pepite,Nugget,Pepita,Pepita,금구슬,Geum Guseul,金珠,Jīnzhū / Gāmjyū,0
Heal Ball,4,,"A type of Poké Ball that heals the captured Pokémon before it is put in the player's party. If the player's party is full, it will be transferred to the Box, where it would have been healed anyway.",,ヒールボール,Heal Ball,Soin Ball,Heilball,Cura Ball,Sana Ball,힐볼,Heal Ball,治癒球 / 治愈球,Zhìyù Qiú / Jihyuh Kàuh,0
Safari Ball,1,,A type of Poké Ball to be used in the Safari Zone.,,サファリボール,Safari Ball,Safari Ball,Safariball,Safari Ball,Safari Ball,사파리볼,Safari Ball,狩獵球 / 狩猎球,Shòuliè Qiú / Sáulihp Kàuh,0
Data ROM,3,,Holds data on Shadow Pokémon.,,データロム,Data ROM,Disque-ROM,CD-ROM,CD ROM,Disquete,,,,,32
Gracidea,4,,Allows Shaymin to change form.,,グラシデアのはな,Gracidea no Hana,Gracidée,Gracidea,Gracidea,Gracídea,그라시데아꽃,Gracidea Kkot,葛拉西蒂亞花 / 葛拉西蒂亚花,Gélāxīdìyǎ Huā / Gotlāaisāidaia Fā,0
White Apricorn,2,,"If taken to Kurt, he will make the player a Fast Ball. Also, Apricorn Drink ingredient.",Formatted as Wht Apricorn prior to Generation VI.,しろぼんぐり,Shiro Bonguri,Noigrume Blc,Aprikoko Wss,Ghicocca Bianca,Bonguri Blanco,하얀규토리,Hayan Gyutori,白球果,Bái Qiúguǒ / Baahk Kàuhgwó,1072
Slowpoke Tail,2,,Can be sold for 4900.,Formatted as SlowpokeTail prior to Generation VI.,おいしいシッポ,Oishii Shippo,Queueramolos,Flegmonrute,Codaslowpoke,Colaslowpoke,맛있는꼬리,Masinneun Kkori,美味尾巴,Měiwèi Wěiba/Měiwèi Yǐba / Méihmeih Méihbā,1024
Flame Mail,4,,Mail with a fire design. To be held by a Pokémon for delivery.,,フレイムメール,Flame Mail,Lettre Feu,Feuerbrief,Mess. Fiamma,Carta Fuego,플레임메일,Flame Mail,,,0
Absolite,6,,Allows Absol to Mega Evolve into Mega Absol.,,アブソルナイト,Absolnite,Absolite,Absolnit,Absolite,Absolita,앱솔나이트,Absolnite,阿勃梭魯進化石 / 阿勃梭鲁进化石,Ābósuōlǔ Jìnhuà Shí / Abuhtsōlóuh Jeunfa Sehk,0
Aspear Berry,3,,Removes the frozen condition from a Pokémon.,,ナナシのみ,Nanashi no Mi,Baie Willia,Wilbirbeere,Baccaperina,Baya Perasi,배리열매,Baeri Yeolmae,利木果,Lìmù Guǒ / Leihmuhk Gwó,0
Poison Barb,2,,Raises the power of Poison-type moves.,,どくバリ,Doku Bari,Pic Venin,Giftstich,Velenaculeo,Flecha Venenosa,독바늘,Dokbaneul,毒針 / 毒针,Dúzhēn / Duhkjām,0
Fighting Gem,5,,"Increases the power of the holder's first Fighting-type move by 50%, and is consumed after use.",,かくとうジュエル,Kakutō Jewel,Joyau Combat,Kampfjuwel,Bijoulotta,Gema Lucha,격투주얼,Gyeoktu Jewel,格鬥寶石 / 格斗宝石,Gédòu Bǎoshí / Gaakdau Bóusehk,16
Elixir,1,,Restores 10 PP of each move of a Pokémon.,,ピーピーエイダー,PP Aider,Elixir,Elixier,Elisir,Elixir,PP에이더,PP Aider,ＰＰ多項小補劑 / ＰＰ多项小补剂,PP Duōxiàng Xiǎobǔjì / PP Dōhohng Síubóujaih,1024
Electric Seed,7,,A one-time use item that raises the holder's Defense by one stage upon activation of Electric Terrain.,,エレキシード,Electric Seed,Graine Électrik,Elektro-Samen,Elettroseme,Semilla Electro,일렉트릭시드,Electric Seed,電氣種子 / 电气种子,Diànqì Zhǒngzi / Dihnhei Júngjí,0
Banettite,6,,Allows Banette to Mega Evolve into Mega Banette.,,ジュペッタナイト,Juppetanite,Branettite,Banetteonit,Banettite,Banettita,다크펫나이트,Darkpetnite,詛咒娃娃進化石 / 诅咒娃娃进化石,Zǔzhòuwáwá Jìnhuà Shí / Jojauwāwā Jeunfa Sehk,0
Berry,2,,Restores 10 HP. A Pokémon can use it automatically if it is holding it.,,きのみ,Kino Mi,Baie,Beere,Bacca,Baya,나무열매,Namu Yeolmae,,,0
Mind Plate,4,,Raises the power of Psychic-type moves.,,ふしぎのプレート,Fushigi no Purēto,Plaque Esprit,Hirntafel,Lastramente,Tabla Mental,이상한플레이트,Isanghan Plate,神奇石板,Shénqí Shíbǎn / Sàhnkèih Sehkbáan,0
Power Anklet,4,,"Promotes Speed EVs, but lowers Speed in battle.",,パワーアンクル,Power Ankle,Chaîne Pouvoir,Machtkette,Vigorgliera,Franja Recia,파워앵클릿,Power Anklet,力量護踝 / 力量护踝,Lìliàng Hùhuái / Lihkleuhng Wuhwahng,128
BridgeMail V,5,,Stationary with a brick bridge print. To be held by a Pokémon for delivery.,,ブリッジメールＶ,Bridge Mail V,Lettre PontH,Brückbrief D,Mess. Vill.,C. Puente V,브리지메일V,Bridge Mail V,橋梁郵件Ｖ / 桥梁邮件Ｖ,Qiáoliáng Yóujiàn V / Kìuhlèuhng Yàuhgín V,0
Jade Orb,4,,Allows the player to encounter Rayquaza in the Embedded Tower.,,もえぎいろのたま,Moegiiro no Tama,Orbe Vert,Grüne Kugel,Sfera Verde,Esfera Verde,연둣빛구슬,Yeondutbit Guseul,草綠色寶珠 / 草绿色宝珠,Cǎolǜ-sè Bǎo Zhū / Chóuluhk-sīk Bóujyū,0
Air Mail,4,,A red- and blue-striped stationery. To be held by a Pokémon for delivery.,,エアメール,Air Mail,Lettre Avion,Luftbrief,Mess. Aereo,Carta Aérea,에어메일,Air Mail,,,0
Travel Trunk,6,,"Not available without cheating. Allows the player to switch their clothes, just like in a Pokémon Center.",,,,,,,,,,,,0
Cornn Berry,3,,Poffin and Pokéblock ingredient.,,モコシのみ,Mokoshi no Mi,Baie Siam,Saimbeere,Baccavena,Baya Mais,수숙열매,Susuk Yeolmae,玉黍果,Yùshǔ Guǒ / Yuhksyú Gwó,0
Plasma Card,5,,A card key needed to enter the password inside the Plasma Frigate.,,プラズマカード,Plasma Card,Carte Plasma,Plasmakarte,Carta Plasma,Tarjeta Plasma,플라스마카드,Plasma Card,等離子卡 / 等离子卡,Děnglízǐ Kǎ / Dánglèihjí Kāat,0
Pinsirite,6,,Allows Pinsir to Mega Evolve into Mega Pinsir.,,カイロスナイト,Kailiosnite,Scarabruite,Pinsirnit,Pinsirite,Pinsirita,쁘사이저나이트,Ppeusaizeonite,凱羅斯進化石 / 凯罗斯进化石,Kǎiluósī Jìnhuà Shí / Hóilòhsī Jeunfa Sehk,0
Poké Doll,1,,Allows the player to flee from any battle with a wild Pokémon.,,ピッピにんぎょう,Pippi Ningyō,Poképoupée,Poképuppe,Poké Bambola,Poké Muñeco,삐삐인형,Ppippi Inhyeong,皮皮玩偶,Pípí Wán'ǒu / Pèihpèih Wuhnngáuh,0
X Special 3,5,,Drastically raises a Pokémon's Special Attack. Wonder Launcher only.,,,,,,,,,,,,0
Pecha Berry,3,,Cures poison.,,モモンのみ,Momon no Mi,Baie Pecha,Pirsifbeere,Baccapesca,Baya Meloc,복슝열매,Boksyung Yeolmae,桃桃果,Táotáo Guǒ / Tòuhtòuh Gwó,0
L-Disk,3,,Moves the UFO in The Under to the Amulet Coin.,,Ｌ－ディスク,L-Disk,Disque-G,L-Disc,Disco Sx,Disco I,,,,,0
Green Apricorn,2,,Kurt will make the player a Friend Ball out of it.,Formatted as Grn Apricorn prior to Generation VI.,みどぼんぐり,Mido Bonguri,Noigrume Ver,Aprikoko Grn,Ghicocca Verde,Bonguri Verde,초록규토리,Chorok Gyutori,綠球果 / 绿球果,Lǜ Qiúguǒ / Luhk Kàuhgwó,1072
Bike Voucher,1,,Used to pay for a Bicycle.,,ひきかえけん,Hikikaeken,Bon Commande,Rad Coupon,Buono Bici,Bono Bici,,,,,0
Card Key,1,,Allows the player to access more rooms in the Silph Co. headquarters.,,カードキー,Card Key,"Carte Magn.
Cle Magnetique","Türöffner
Schlüsselkarte",Apriporta,"Llave Magnética
T. Magnética",카드키,Card Key,鑰匙卡 / 钥匙卡,Yàoshi Kǎ / Yeuhksìh Kāat,0
Shoal Shell,3,,Can be used to make a Shell Bell. Does not have any use in Generation IV. Can be sold to an item maniac in Route 5 for 7000 in Generation V.,,あさせのかいがら,Asase no Kaigara,CoquilleTréfonds,Küstenschale,Gusciondoso,Concha Cardumen,여울조개껍질,Yeoul Jogaekkeopjil,淺灘貝殼 / 浅滩贝壳,Qiǎntān Bèiké / Chíntāan Buihok,144
Haban Berry,4,,Halves the power of super effective Dragon-type moves.,,ハバンのみ,Haban no Mi,Baie Fraigo,Terirobeere,Baccahaban,Baya Anjiro,하반열매,Haban Yeolmae,莓榴果,Méiliú Guǒ / Mùihlàuh Gwó,0
Wood Mail,3,,Mail with picture of a Slakoth.,,ウッディメール,Woody Mail,Lettre Bois,Waldbrief,Mess. Bosco,Carta Madera,,,,,0
Battle CD,,,,,バトルディスク,Battle Disk,Holodisk,Kampf-CD,CD Lotta,Disco C.,,,,,0
Beedrillite,6,,Allows Beedrill to Mega Evolve into Mega Beedrill.,,スピアナイト,Speanite,Dardargnite,Bibornit,Beedrillite,Beedrillita,독침붕나이트,Tokchimbungnite,大針蜂進化石 / 大针蜂进化石,Dàzhēnfēng Jìnhuà Shí / Daaihjāmfūng Jeunfa Sehk,0
Powder Jar,3,,Stores Berry Powder made from Berry Crush.,,こないれ,Konaire,Pot Poudre,Puderdöschen,Portafarina,Bote Polvos,,,,,0
Vivid Scent,3,,Reduces the heart gauge by a large amount and increases friendship.,,ドキドキのかおり,Dokidoki no Kaori,P. Palpitant,Paradies-E.,Olio Sublime,Ar. Energía,,,,,0
Salamencite,6,,Allows Salamence to Mega Evolve into Mega Salamence.,,ボーマンダナイト,Bohmandanite,Drattakite,Brutalandanit,Salamencite,Salamencita,보만다나이트,Bomandanite,暴飛龍進化石 / 暴飞龙进化石,Bàofēilóng Jìnhuà Shí / Bouhfēilùhng Jeunfa Sehk,0
Electric Memory,7,,Makes Silvally a Electric-type Pokémon and makes Multi-Attack a Electric-type move.,,エレクトロメモリ,Electro Memory,ROM Électrik,Elektro-Disc,ROM Elettro,Disco Eléctrico,일렉트릭메모리,Electric Memory,"電子記憶碟*
电子存储碟","Diànzǐ Jìyìdié / Dihnjí Geiyīkdihp*
Diànzǐ Cúnchǔdié",3
ID Card,3,,Permits access to a restricted elevator at the Cipher Lab.,,ＩＤカード,ID Card,Badge,ID-Karte,Tessera,Tarjeta ID,,,,,0
Sun Flute,7,,Used to evolve Nebby into Solgaleo at the Altar of the Sunne.,,たいようのふえ,Taiyō no Fue,Flûte du Soleil,Sonnenflöte,Flauto solare,Flauta Solar,태양의피리,Taeyang Uipili,太陽之笛 / 太阳之笛,Tàiyáng-zhī Dí / Taaiyèuhng-jī Dehk,0
Big Mushroom,2,,Can be sold for 2500.,,おおきなキノコ,Ōkina Kinoko,Gros Champi,Riesenpilz,Grande Fungo,Seta Grande,큰버섯,Keun Beoseot,大蘑菇,Dà Mógū / Daaih Mòhgū,0
Focus Sash,4,,Prevents a one-hit knockout.,,きあいのタスキ,Kiai no Tasuki,Ceinture Force,Fokusgurt,Focalnastro,Banda Focus,기합의띠,Gihabui Tti,氣勢披帶 / 气势披带,Qìshì Pīdài / Heisai Pēidaai,128
Niniku Berry,3,,Pokéblock ingredient. Will become an Enigma Berry if transferred to Generation IV via Pal Park.,,,,,,,,,,,,0
Shoal Salt,3,,Can be used to make a Shell Bell. Does not have any use in Generation IV. Can be sold to an item maniac in the Icirrus City Pokémon Center for 7000 in Generation V.,,あさせのしお,Asase no Shio,Sel Trefonds,Küstensalz,Sale Ondoso,Sal Cardumen,여울소금,Yeoul Sogeum,淺灘海鹽 / 浅滩海盐,Qiǎntān Hǎiyán / Chíntāan Hóiyìhm,0
