ID,English,Japanese_Kana,Japanese_Hepburn,Japanese_Trademarked,German,French,Korean_Hangul,Korean_Revised,Korean_McCune_Reischauer,Korean_Official,Chinese_Traditional,Chinese_Simplified,Chinese_Pinyin,Chinese_Yale,Chinese_Former_Names
25,Pikachu,ピカチュウ,Pikachū,Pikachu,Pikachu,Pikachu,피카츄,Pikachyu,P'ik'ach'yu,Pikachu,皮卡丘,皮卡丘,Píkǎqiū,Pèihkāyāu,比卡超 Béikāchīu (HK)
26,Raichu,ライチュウ,Raichū,Raichu,Raichu,Raichu,라이츄,Raichyu,Raich'yu,Raichu,雷丘,雷丘,Léiqiū,Lèuihyāu,雷超 Lèuihchīu (HK)
27,Sandshrew,サンド,Sando,Sand,Sandan,Sabelette,모래두지,Moraeduji,Moraeduji,Moreduji,穿山鼠,穿山鼠,Chuānshānshǔ,Chyūnsāansyú,-
28,Sandslash,サンドパン,Sandopan,Sandpan,Sandamer,Sablaireau,고지,Goji,Koji,Koji,穿山王,穿山王,Chuānshānwáng,Chyūnsāanwòhng,-
29,Nidoran♀,ニドラン♀,Nidoran Mesu,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,Nideureonamkeot,Nidŭrŏnamk'ŏt,Nidoran♀,尼多蘭,尼多兰,Níduōlán,Nèihdōlàahn,尼美蘭 Nèihméihlàahn (HK)
30,Nidorina,ニドリーナ,Nidorīna,Nidorina,Nidorina,Nidorina,니드리나,Nideurina,Nidŭrina,Nidorina,尼多娜,尼多娜,Níduōnà,Nèihdōnàh,尼美蘿 Nèihméihlòh (HK)
31,Nidoqueen,ニドクイン,Nidokuin,Nidoqueen,Nidoqueen,Nidoqueen,니드퀸,Nideukwin,Nidŭk'win,Nidoqueen,尼多后,尼多后,Níduōhòu,Nèihdōhauh,尼美后 Nèihméihhauh (HK)
32,Nidoran♂,ニドラン♂,Nidoran Osu,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,Nideureonsukeot,Nidŭrŏnsuk'ŏt,Nidoran♂,尼多朗,尼多朗,Níduōláng,Nèihdōlóhng,尼多郎 Nèihdōlòhng (HK)
33,Nidorino,ニドリーノ,Nidorīno,Nidorino,Nidorino,Nidorino,니드리노,Nideurino,Nidŭrino,Nidorino,尼多力諾,尼多力诺,Níduōlìnuò,Nèihdōlihknohk,尼多利 Nèihdōleih (HK)
34,Nidoking,ニドキング,Nidokingu,Nidoking,Nidoking,Nidoking,니드킹,Nideuking,Nidŭk'ing,Nidoking,尼多王,尼多王,Níduōwáng,Nèihdōwòhng,-
35,Clefairy,ピッピ,Pippi,Pippi,Piepi,Mélofée,삐삐,Ppippi,Ppippi,Ppippi,皮皮,皮皮,Pípí,Pèihpèih,-
36,Clefable,ピクシー,Pikushī,Pixy,Pixi,Mélodelfe,픽시,Piksi,P'iksi,Pixy,皮可西,皮可西,Píkěxī,Pèihhósāi,皮可斯 Pèihhósī (HK)
37,Vulpix,ロコン,Rokon,Rokon,Vulpix,Goupix,식스테일,Sikseuteil,Siksŭt'eil,Sixtail,六尾,六尾,Liùwěi,Luhkméih,-
38,Ninetales,キュウコン,Kyūkon,Kyukon,Vulnona,Feunard,나인테일,Nainteil,Naint'eil,Ninetail,九尾,九尾,Jiǔwěi,Gáuméih,-
39,Jigglypuff,プリン,Purin,Purin,Pummeluff,Rondoudou,푸린,Purin,P'urin,Purin,胖丁,胖丁,Pàngdīng,Buhndīng,波波球 Bōbōkàuh (HK)
40,Wigglytuff,プクリン,Pukurin,Pukurin,Knuddeluff,Grodoudou,푸크린,Pukeurin,P'ukŭrin,Pukurin,胖可丁,胖可丁,Pàngkědīng,Buhnhódīng,肥波球 Fèihbōkàuh (HK)
41,Zubat,ズバット,Zubatto,Zubat,Zubat,Nosferapti,주뱃,Jubaet,Chubaet,Zubat,超音蝠,超音蝠,Chāoyīnfú,Chīuyāmfūk,波音蝠 Bōyāmfūk (HK)
42,Golbat,ゴルバット,Gorubatto,Golbat,Golbat,Nosferalto,골뱃,Golbaet,Kolbaet,Golbat,大嘴蝠,大嘴蝠,Dàzuǐfú,Daaihjéuifūk,大口蝠 Daaihháufūk (HK)
43,Oddish,ナゾノクサ,Nazonokusa,Nazonokusa,Myrapla,Mystherbe,뚜벅쵸,Ttubeokchyo,Ttubŏkch'yo,Ttubeogcho,走路草,走路草,Zǒulùcǎo,Jáulouhchóu,行路草 Hàahnglouhchóu (HK)
44,Gloom,クサイハナ,Kusaihana,Kusaihana,Duflor,Ortide,냄새꼬,Naemsaekko,Naemsaekko,Naemsaeko,臭臭花,臭臭花,Chòuchòuhuā,Chauchaufā,怪味花 Gwaaimeihfā (HK)
45,Vileplume,ラフレシア,Rafureshia,Ruffresia,Giflor,Rafflesia,라플레시아,Rapeullesia,Rapŭllesia,Raplresia,霸王花,霸王花,Bàwánghuā,Bawòhngfā,-
46,Paras,パラス,Parasu,Paras,Paras,Paras,파라스,Paraseu,P'arasŭ,Paras,派拉斯,派拉斯,Pàilāsī,Pāailāaisī,蘑菇蟲 Mòhgūchùhng (HK)
47,Parasect,パラセクト,Parasekuto,Parasect,Parasek,Parasect,파라섹트,Parasekteu,Parasekt'ŭ,Parasect,派拉斯特,派拉斯特,Pàilāsītè,Pāailāaisīdahk,巨菇蟲 Mòuhmòuhchùhng (HK)
48,Venonat,コンパン,Konpan,Kongpang,Bluzuk,Mimitoss,콘팡,Konpang,K'onp'ang,Konpan,毛球,毛球,Máoqiú,Mòuhkàuh,毛毛蟲 Mòuhmòuhchùhng (HK)
49,Venomoth,モルフォン,Morufon,Morphon,Omot,Aéromite,도나리,Donari,Tonari,Donari,摩魯蛾,摩鲁蛾,Mólǔ'é,Mōlóuh'ngòh,"末入蛾 Mòrù'é (TW/CN)
魔魯風 Mōlóuhfūng (HK)"
50,Diglett,ディグダ,Diguda,Digda,Digda,Taupiqueur,디그다,Digeuda,Tigŭda,Digda,地鼠,地鼠,Dìshǔ,Deihsyú,-
51,Dugtrio,ダグトリオ,Dagutorio,Dugtrio,Digdri,Triopikeur,닥트리오,Dakteurio,Takt'ŭrio,Daktrio,三地鼠,三地鼠,Sāndìshǔ,Sāamdeihsyú,三頭地鼠 Sāamtàuhdeihsyú (HK)
52,Meowth,ニャース,Nyāsu,Nyarth,Mauzi,Miaouss,나옹,Naong,Naong,Naong,喵喵,喵喵,Miāomiāo,Mēumēu,喵喵怪 Mēumēugwaai (HK)
53,Persian,ペルシアン,Perushian,Persian,Snobilikat,Persian,페르시온,Pereusion,P'erŭsion,Persion,貓老大,猫老大,Māolǎodà,Māaulóuhdaaih,高竇貓 Gōudauhmāau (HK)
54,Psyduck,コダック,Kodakku,Koduck,Enton,Psykokwak,고라파덕,Gorapadeok,Korap'adŏk,Gorapaduck,可達鴨,可达鸭,Kědáyā,Hódaaht'aap,傻鴨 Sòh'aap (HK)
55,Golduck,ゴルダック,Gorudakku,Golduck,Entoron,Akwakwak,골덕,Goldeok,Koldŏk,Golduck,哥達鴨,哥达鸭,Gēdáyā,Gōdaaht'aap,高超鴨 Gōuchīu'aap (HK)
56,Mankey,マンキー,Mankī,Mankey,Menki,Férosinge,망키,Mangki,Mangk'i,Mankey,猴怪,猴怪,Hóuguài,Hàuhgwaai,-
57,Primeape,オコリザル,Okorizaru,Okorizaru,Rasaff,Colossinge,성원숭,Seongwonsung,Sŏngwŏnsung,Seongwonsung,火爆猴,火暴猴,Huǒbàohóu,Fóbaauhàuh,-
58,Growlithe,ガーディ,Gādi,Gardie,Fukano,Caninos,가디,Gadi,Kadi,Gadi,卡蒂狗,卡蒂狗,Kǎdìgǒu,Kādaigáu,護主犬 Wuhjyúhyún (HK)
59,Arcanine,ウインディ,Uindi,Windie,Arkani,Arcanin,윈디,Windi,Windi,Windi,風速狗,风速狗,Fēngsùgǒu,Fūngchūkgáu,奉神犬 Fuhngsàhnhyún (HK)
60,Poliwag,ニョロモ,Nyoromo,Nyoromo,Quapsel,Ptitard,발챙이,Balchaengi,Palch'aengi,Balchengi,蚊香蝌蚪,蚊香蝌蚪,Wénxiāngkēdǒu,Mānhēungfōdáu,-
61,Poliwhirl,ニョロゾ,Nyorozo,Nyorozo,Quaputzi,Têtarte,수륙챙이,Suryukchaengi,Suryukch'aengi,Shuryukchengi,蚊香君,蚊香君,Wénxiāngjūn,Mānhēunggwān,"蚊香蛙 Wénxiāngwā (TW/CN)
蚊香蛙 Mānhēungwā (HK)"
62,Poliwrath,ニョロボン,Nyorobon,Nyorobon,Quappo,Tartard,강챙이,Gangchaengi,Kangch'aengi,Gangchaengi,蚊香泳士,蚊香泳士,Wénxiāngyǒngshì,Mānhēungwihngsih,"快泳蛙 Kuàiyǒngwā (TW/CN)
大力蛙 Daaihlihkwā (HK)"
63,Abra,ケーシィ,Kēshī,Casey,Abra,Abra,캐이시,Kaeisi,K'aeisi,Keisi,凱西,凯西,Kǎixī,Hóisāi,卡斯 Kāsī (HK)
64,Kadabra,ユンゲラー,Yungerā,Yungerer,Kadabra,Kadabra,윤겔라,Yungella,Yun'gella,Yunghelar,勇基拉,勇基拉,Yǒngjīlā,Yúhnggēilāai,"勇吉拉 Yǒngjílā (TW/CN)
尤基納 Yàuhgēinaahp (HK)"
65,Alakazam,フーディン,Fūdin,Foodin,Simsala,Alakazam,후딘,Hudin,Hudin,Fudin,胡地,胡地,Húdì,Wùhdeih,富迪 Fudihk (HK)
66,Machop,ワンリキー,Wanrikī,Wanriky,Machollo,Machoc,알통몬,Altongmon,Alt'ongmon,Altongmon,腕力,腕力,Wànlì,Wúnlihk,鐵腕 Titwún (HK)
67,Machoke,ゴーリキー,Gōrikī,Goriky,Maschock,Machopeur,근육몬,Geunyungmon,Kŭnyungmon,Geunyukmon,豪力,豪力,Háolì,Hòuhlihk,大力 Daaihlihk (HK)
68,Machamp,カイリキー,Kairikī,Kairiky,Machomei,Mackogneur,괴력몬,Goeryeongmon,Koeryŏngmon,Goeryeokmon,怪力,怪力,Guàilì,Gwaailihk,-
69,Bellsprout,マダツボミ,Madatsubomi,Madatsubomi,Knofensa,Chétiflor,모다피,Modapi,Modap'i,Modapi,喇叭芽,喇叭芽,Lǎbāyá,Lābā'ngàh,-
70,Weepinbell,ウツドン,Utsudon,Utsudon,Ultrigaria,Boustiflor,우츠동,Ucheudong,Uch'ŭdong,Uchudon,口呆花,口呆花,Kǒudāihuā,Háungòihfā,-
71,Victreebel,ウツボット,Utsubotto,Utsubot,Sarzenia,Empiflor,우츠보트,Ucheuboteu,Uch'ŭbot'ŭ,Uchubot,大食花,大食花,Dàshíhuā,Daaihsihkfā,-
72,Tentacool,メノクラゲ,Menokurage,Menokurage,Tentacha,Tentacool,왕눈해,Wangnunhae,Wangnunhae,Wangnunhe,瑪瑙水母,玛瑙水母,Mǎnǎoshuǐmǔ,Máhnóuhséuimóuh,大眼水母 Daaihngáahnséuimóuh (HK)
73,Tentacruel,ドククラゲ,Dokukurage,Dokukurage,Tentoxa,Tentacruel,독파리,Dokpari,Tokp'ari,Tokpari,毒刺水母,毒刺水母,Dúcìshuǐmǔ,Duhkchiséuimóuh,多腳水母 Dōgeukséuimóuh (HK)
74,Geodude,イシツブテ,Ishitsubute,Isitsubute,Kleinstein,Racaillou,꼬마돌,Kkomadol,Kkomadol,Kkomadol,小拳石,小拳石,Xiǎoquánshí,Síukyùhnsehk,-
75,Graveler,ゴローン,Gorōn,Golone,Georok,Gravalanch,데구리,Deguri,Teguri,Deguri,隆隆石,隆隆石,Lónglóngshí,Lùhnglùhngsehk,滾動石 Gwánduhngsehk (HK)
76,Golem,ゴローニャ,Gorōnya,Golonya,Geowaz,Grolem,딱구리,Ttakguri,Ttakkuri,Ttakguri,隆隆岩,隆隆岩,Lónglóngyán,Lùhnglùhngngàahm,滾動岩 Gwánduhngngàahm (HK)
77,Ponyta,ポニータ,Ponīta,Ponyta,Ponita,Ponyta,포니타,Ponita,P'onit'a,Ponyta,小火馬,小火马,Xiǎohuǒmǎ,Síufómáh,-
78,Rapidash,ギャロップ,Gyaroppu,Gallop,Gallopa,Galopa,날쌩마,Nalssaengma,Nalssaengma,Nalssengma,烈焰馬,烈焰马,Lièyànmǎ,Lihtyihmmáh,-
79,Slowpoke,ヤドン,Yadon,Yadon,Flegmon,Ramoloss,야돈,Yadon,Yadon,Yadon,呆呆獸,呆呆兽,Dāidāishòu,Ngòingòihsau,小呆獸 Síungòihsau (HK)
80,Slowbro,ヤドラン,Yadoran,Yadoran,Lahmus,Flagadoss,야도란,Yadoran,Yadoran,Yadonran,呆殼獸,呆壳兽,Dāikéshòu,Ngòihhoksau,"呆河馬 / 呆河马 Dāihémǎ (TW/CN)
大呆獸 Daaihngòihsau (HK)"
81,Magnemite,コイル,Koiru,Coil,Magnetilo,Magnéti,코일,Koil,K'oil,Koil,小磁怪,小磁怪,Xiǎocíguài,Síuchìhgwaai,-
82,Magneton,レアコイル,Reakoiru,Rarecoil,Magneton,Magnéton,레어코일,Reeokoil,Reŏk'oil,Rarekoil,三合一磁怪,三合一磁怪,Sānhéyīcíguài,Sāamhahpyātchìhgwaai,-
83,Farfetch'd,カモネギ,Kamonegi,Kamonegi,Porenta,Canarticho,파오리,Paori,P'aori,Paori,大蔥鴨,大葱鸭,Dàcōngyā,Daaihchūng'aap,火蔥鴨 Fóchūng'aap (HK)
84,Doduo,ドードー,Dōdō,Dodo,Dodu,Doduo,두두,Dudu,Tudu,Dudu,嘟嘟,嘟嘟,Dūdū,Dōudōu,多多 Dōdō (HK)
85,Dodrio,ドードリオ,Dōdorio,Dodorio,Dodri,Dodrio,두트리오,Duteurio,Tut'ŭrio,Dutrio,嘟嘟利,嘟嘟利,Dūdūlì,Dōudōuleih,多多利 Dōdōleih (HK)
86,Seel,パウワウ,Pauwau,Pawou,Jurob,Otaria,쥬쥬,Jyujyu,Chyujyu,Juju,小海獅,小海狮,Xiǎohǎishī,Síuhóisī,-
87,Dewgong,ジュゴン,Jugon,Jugon,Jugong,Lamantine,쥬레곤,Jyuregon,Chyuregon,Juregon,白海獅,白海狮,Báihǎishī,Baahkhóisī,-
88,Grimer,ベトベター,Betobetā,Betbeter,Sleima,Tadmorv,질퍽이,Jilpeogi,Chilp'ŏgi,Jilpeogi,臭泥,臭泥,Chòuní,Chaunàih,爛泥怪 Laahnnàihgwaai (HK)
89,Muk,ベトベトン,Betobeton,Betbeton,Sleimok,Grotadmorv,질뻐기,Jilppeogi,Chilppŏgi,Jilppeogi,臭臭泥,臭臭泥,Chòuchòuní,Chauchaunàih,爛泥獸 Laahnnàihsau (HK)
90,Shellder,シェルダー,Sherudā,Shellder,Muschas,Kokiyas,셀러,Selleo,Sellŏ,Sellor,大舌貝,大舌贝,Dàshébèi,Daaihsitbui,貝殼怪 Buihokgwaai (HK)
91,Cloyster,パルシェン,Parushen,Parshen,Austos,Crustabri,파르셀,Pareusel,Parŭsel,Parsell,刺甲貝,刺甲贝,Cìjiǎbèi,Chigaapbui,"鐵甲貝 / 铁甲贝 Tiějiǎbèi (TW/CN)
鐵甲貝 Titgaapbui (HK)"
92,Gastly,ゴース,Gōsu,Ghos,Nebulak,Fantominus,고오스,Gooseu,Koosŭ,Goohs,鬼斯,鬼斯,Guǐsī,Gwáisī,-
93,Haunter,ゴースト,Gōsuto,Ghost,Alpollo,Spectrum,고우스트,Gouseuteu,Kousŭt'ŭ,Goust,鬼斯通,鬼斯通,Guǐsītōng,Gwáisītūng,-
94,Gengar,ゲンガー,Gengā,Gangar,Gengar,Ectoplasma,팬텀,Paenteom,P'aent'ŏm,Penteom,耿鬼,耿鬼,Gěngguǐ,Gánggwái,-
95,Onix,イワーク,Iwāku,Iwark,Onix,Onix,롱스톤,Rongseuton,Rongsŭt'on,Rongston,大岩蛇,大岩蛇,Dàyánshé,Daaihngàahmsèh,-
96,Drowzee,スリープ,Surīpu,Sleepe,Traumato,Soporifik,슬리프,Seullipeu,Sŭllip'ŭ,Sllip,催眠貘,催眠貘,Cuīmiánmò,Chēuimìhnmohk,"素利普 Sùlìpǔ (TW/CN)
食夢獸 Sihkmuhngsau (HK)"
97,Hypno,スリーパー,Surīpā,Sleeper,Hypno,Hypnomade,슬리퍼,Seullipeo,Sŭllip'ŏ,Slliper,引夢貘人,引梦貘人,Yǐnmèngmòrén,Yáhnmuhngmohkyàhn,"素利拍 Sùlìpāi (TW/CN)
催眠獸 Chēuimìhnsau (HK)"
98,Krabby,クラブ,Kurabu,Crab,Krabby,Krabby,크랩,Keuraep,K'ŭraep,Kreb,大鉗蟹,大钳蟹,Dàqiánxiè,Daaihkìhmháaih,-
99,Kingler,キングラー,Kingurā,Kingler,Kingler,Krabboss,킹크랩,Kingkeuraep,K'ingk'ŭraep,Kingkreb,巨鉗蟹,巨钳蟹,Jùqiánxiè,Geuihkìhmháaih,-
100,Voltorb,ビリリダマ,Biriridama,Biriridama,Voltobal,Voltorbe,찌리리공,Jjiririgong,Tchiririgong,Zzililigong,霹靂電球,霹雳电球,Pīlìdiànqiú,Pīklīkdihnkàuh,"雷電球 / 雷电球 Léidiànqiú (TW/CN)
霹靂蛋 Pīklīkdáan (HK)"
101,Electrode,マルマイン,Marumain,Marumine,Lektrobal,Électrode,붐볼,Bumbol,Pumbol,Boomball,頑皮雷彈,顽皮雷弹,Wánpíléidàn,Wàahnpèihlèuidáan,"頑皮彈 / 顽皮弹 Wánpídàn (TW/CN)
雷霆蛋 Lèuihtìhngdáan (HK)"
102,Exeggcute,タマタマ,Tamatama,Tamatama,Owei,Noeunoeuf,아라리,Arari,Arari,Arari,蛋蛋,蛋蛋,Dàndàn,Dàahndáan,-
103,Exeggutor,ナッシー,Nasshī,Nassy,Kokowei,Noadkoko,나시,Nasi,Nasi,Nasi,椰蛋樹,椰蛋树,"Yédànshù
Yēdànshù",Yèhdáansyuh,椰樹獸 Yèhsyuhsau (HK)
104,Cubone,カラカラ,Karakara,Karakara,Tragosso,Osselait,탕구리,Tangguri,T'angguri,Tangguri,卡拉卡拉,卡拉卡拉,Kǎlākǎlā,Kālāaikālāai,可拉可拉 Kělākělā (TW/CN)
105,Marowak,ガラガラ,Garagara,Garagara,Knogga,Ossatueur,텅구리,Teongguri,T'ŏngguri,Teongguri,嘎啦嘎啦,嘎啦嘎啦,Gālagāla,Gālāaigālāai,"嘎拉嘎拉 Gālāgālā (TW/CN)
格拉格拉 Gaaklāaigaaklāai (HK)"
106,Hitmonlee,サワムラー,Sawamurā,Sawamular,Kicklee,Kicklee,시라소몬,Sirasomon,Sirasomon,Sirasomon,飛腿郎,飞腿郎,Fēituǐláng,Fēitéuilòhng,"沙瓦郎 Shāwǎláng (TW/CN)
沙古拉 Sāgúlāai (HK)"
107,Hitmonchan,エビワラー,Ebiwarā,Ebiwalar,Nockchan,Tygnon,홍수몬,Hongsumon,Hongsumon,Hongsoomon,快拳郎,快拳郎,Kuàiquánláng,Faaikyùhnlòhng,"艾比郎 Àibǐláng (TW/CN)
比華拉 Béiwàhlāai (HK)"
108,Lickitung,ベロリンガ,Beroringa,Beroringa,Schlurp,Excelangue,내루미,Naerumi,Naerumi,Nerumi,大舌頭,大舌头,Dàshétóu,Daaihsittàuh,-
109,Koffing,ドガース,Dogāsu,Dogars,Smogon,Smogo,또가스,Ttogaseu,Ttogasŭ,Ttogas,瓦斯彈,瓦斯弹,Wǎsīdàn,Ngáhsīdáan,毒氣丸 Duhkheiyún (HK)
110,Weezing,マタドガス,Matadogasu,Matadogas,Smogmog,Smogogo,또도가스,Ttodogaseu,Ttodogasŭ,Ttodogas,雙彈瓦斯,双弹瓦斯,Shuāngdànwǎsī,Sēungdáanngáhsī,毒氣雙子 Duhkheisēungjí (HK)
111,Rhyhorn,サイホーン,Saihōn,Sihorn,Rihorn,Rhinocorne,뿔카노,Ppulkano,Ppulk'ano,Ppulkano,獨角犀牛,独角犀牛,Dújiǎoxīniú,Duhkgoksāingàuh,"鐵甲犀牛 / 铁甲犀牛 Tiějiǎxīniú (TW/CN)
鐵甲犀牛 Titgaapsāingàuh (HK)"
112,Rhydon,サイドン,Saidon,Sidon,Rizeros,Rhinoféros,코뿌리,Koppuri,K'oppuri,Koppuri,鑽角犀獸,钻角犀兽,Zuānjiǎoxīshòu,Jyungoksāisau,"鐵甲暴龍 / 铁甲暴龙 Tiějiǎbàolóng (TW/CN)
鐵甲暴龍 Titgaapbouhlùhng (HK)"
113,Chansey,ラッキー,Rakkī,Lucky,Chaneira,Leveinard,럭키,Reokki,Rŏkk'i,Lucki,吉利蛋,吉利蛋,Jílìdàn,Gātleihdáan,-
114,Tangela,モンジャラ,Monjara,Monjara,Tangela,Saquedeneu,덩구리,Deongguri,Tŏngguri,Deongkuri,蔓藤怪,蔓藤怪,Mànténgguài,Maahntàhnggwaai,長籐怪 Chèuhngtàhnggwaai (HK)
115,Kangaskhan,ガルーラ,Garūra,Garura,Kangama,Kangourex,캥카,Kaengka,K'aengk'a,Kengka,袋獸,袋兽,Dàishòu,Doihsau,袋龍 / 袋龙 Dàilóng (TW/CN)
116,Horsea,タッツー,Tattsū,Tattu,Seeper,Hypotrempe,쏘드라,Ssodeura,Ssodŭra,Ssodra,墨海馬,墨海马,Mòhǎimǎ,Mahkhóimáh,噴墨海馬 Panmahkhóimáh (HK)
117,Seadra,シードラ,Shīdora,Seadra,Seemon,Hypocéan,시드라,Sideura,Sidŭra,Seadra,海刺龍,海刺龙,Hǎicìlóng,Hóichilùhng,飛刺海馬 Fēichihóimáh (HK)
118,Goldeen,トサキント,Tosakinto,Tosakinto,Goldini,Poissirène,콘치,Konchi,K'onch'i,Konchi,角金魚,角金鱼,Jiǎojīnyú,Gokgāmyú,獨角金魚 Duhkgokgāmyú (HK)
119,Seaking,アズマオウ,Azumaō,Azumao,Golking,Poissoroy,왕콘치,Wangkonchi,Wangk'onch'i,Wangkonchi,金魚王,金鱼王,Jīnyúwáng,Gāmyùhwòhng,-
120,Staryu,ヒトデマン,Hitodeman,Hitodeman,Sterndu,Stari,별가사리,Byeolgasari,Pyŏlgasari,Byulgasari,海星星,海星星,Hǎixīngxīng,Hóisīngsīng,-
121,Starmie,スターミー,Sutāmī,Starmie,Starmie,Staross,아쿠스타,Akuseuta,Ak'usŭt'a,Akusta,寶石海星,宝石海星,Bǎoshíhǎixīng,Bóusehkhóisīng,-
