ID,ID_EXT,Name,Class,Base_HP,Base_Attack,Base_Defense,Base_Sp_Attack,Base_Sp_Defense,Base_Speed,Base_Total,Base_Average,GEN,GEN2
150,,Mewtwo,,106,110,90,154,90,130,680,113.33,7,
452,,Drapion,,70,90,110,60,75,95,500,83.33,7,
773,,Silvally,,95,95,95,95,95,95,570,95,7,
103,,Exeggutor,,95,95,85,125,75,55,530,88.33,7,
791,,Solgaleo,,137,137,107,113,89,97,680,113.33,7,
90,,Shellder,,30,65,100,45,25,40,305,50.83,6,
753,,Fomantis,,40,55,35,50,35,35,250,41.67,7,
720,,Hoopa ,Hoopa Confined,80,110,60,150,130,70,600,100,6,
482,,Azelf,,75,125,70,125,70,115,580,96.67,2,5
587,,Emolga,,55,75,60,75,60,103,428,71.33,6,
564,,Tirtouga,,54,78,103,53,45,22,355,59.17,7,
98,,Krabby,,30,105,90,25,25,50,325,54.17,7,
579,,Reuniclus,,110,65,75,125,85,30,490,81.67,2,5
99,,Kingler,,55,130,115,50,50,75,475,79.17,7,
566,,Archen,,55,112,45,74,45,70,401,66.83,6,
146,,Moltres,,90,100,90,125,85,90,580,96.67,7,
286,,Breloom,,60,130,80,60,60,70,460,76.67,7,
111,,Rhyhorn,,80,85,95,30,30,25,315,63,1,
4,,Charmander,,39,52,43,60,50,65,309,51.5,2,5
119,,Seaking,,80,92,65,65,80,68,450,75,6,
380,,Latias,,80,80,90,110,130,110,600,100,7,
204,,Pineco,,50,65,90,35,35,15,290,48.33,2,5
223,,Remoraid,,35,65,35,65,35,65,300,50,2,5
594,,Alomomola,,165,75,80,40,45,65,470,78.33,6,
720,U,Hoopa ,Hoopa Unbound,80,160,60,170,130,80,680,113.33,6,
564,,Tirtouga,,54,78,103,53,45,22,355,59.17,2,5
36,,Clefable,,95,70,73,85,90,60,473,78.83,2,5
417,,Pachirisu,,60,45,70,45,90,95,405,67.5,6,
199,,Slowking,,95,75,80,100,110,30,490,81.67,6,
445,,Garchomp,,108,130,95,80,85,102,600,100,2,5
94,,Gengar,,60,65,60,130,75,110,500,83.33,6,
346,,Cradily,,86,81,97,81,107,43,495,82.5,7,
145,,Zapdos,,90,90,85,125,90,100,580,96.67,2,5
533,,Gurdurr,,85,105,85,40,50,40,405,67.5,6,
150,,Mewtwo,,106,110,90,154,90,130,680,113.33,6,
627,,Rufflet,,70,83,50,37,50,60,350,58.33,2,5
139,,Omastar,,70,60,125,115,115,55,425,85,1,
248,,Tyranitar,,100,134,110,95,100,61,600,100,6,
7,,Squirtle,,44,48,65,50,50,43,250,50,1,
428,,Lopunny,,65,76,84,54,96,105,480,80,2,5
281,,Kirlia,,38,35,35,65,55,50,278,46.33,2,5
687,,Malamar,,86,92,88,68,75,73,482,80.33,7,
485,,Heatran,,91,90,106,130,106,77,600,100,2,5
236,,Tyrogue,,35,35,35,35,35,35,210,35,2,5
283,,Surskit,,40,30,32,50,52,65,269,44.83,2,5
564,,Tirtouga,,54,78,103,53,45,22,355,59.17,6,
4,,Charmander,,39,52,43,60,50,65,309,51.5,6,
53,,Persian,,65,70,60,65,65,115,375,75,1,
331,,Cacnea,,50,85,40,85,40,35,335,55.83,7,
19,,Rattata,,30,56,35,25,35,72,253,42.17,6,
444,,Gabite,,68,90,65,50,55,82,410,68.33,2,5
728,,Popplio,,50,54,54,66,56,40,320,53.33,7,
282,,Gardevoir,,68,65,65,125,115,80,518,86.33,2,5
419,,Floatzel,,85,105,55,85,50,115,495,82.5,6,
718,C,Zygarde ,Complete Forme,216,100,121,91,95,85,708,118,7,
500,,Emboar,,110,123,65,100,65,65,528,88,2,5
40,,Wigglytuff,,140,70,45,85,50,45,435,72.5,7,
119,,Seaking,,80,92,65,65,80,68,450,75,2,5
19,A,Rattata ,Alolan Rattata,30,56,35,25,35,72,253,42.17,7,
113,,Chansey,,250,5,5,35,105,50,450,75,6,
594,,Alomomola,,165,75,80,40,45,65,470,78.33,7,
217,,Ursaring,,90,130,75,75,75,55,500,83.33,2,5
711,,Gourgeist ,Large Size,75,95,122,58,75,69,494,82.33,6,
115,M,Kangaskhan ,Mega Kangaskhan,105,125,100,60,100,100,590,98.33,7,
70,,Weepinbell,,65,90,50,85,45,55,390,65,7,
351,,Castform,,70,70,70,70,70,70,420,70,2,5
502,,Dewott,,75,75,60,83,60,60,413,68.83,6,
199,,Slowking,,95,75,80,100,110,30,490,81.67,7,
388,,Grotle,,75,89,85,55,65,36,405,67.5,2,5
447,,Riolu,,40,70,40,35,40,60,285,47.5,6,
257,M,Blaziken ,Mega Blaziken,80,160,80,130,80,100,630,105,7,
324,,Torkoal,,70,85,140,85,70,20,470,78.33,7,
301,,Delcatty,,70,65,65,55,55,90,400,66.67,7,
193,,Yanma,,65,65,45,75,45,95,390,65,6,
479,,Rotom ,Normal Rotom,50,50,77,95,77,91,440,73.33,6,
240,,Magby,,45,75,37,70,55,83,365,60.83,2,5
706,,Goodra,,90,100,70,110,150,80,600,100,7,
209,,Snubbull,,60,80,50,40,40,30,300,50,2,5
266,,Silcoon,,50,35,55,25,25,15,205,34.17,6,
437,,Bronzong,,67,89,116,79,116,33,500,83.33,2,5
505,,Watchog,,60,85,69,60,69,77,420,70,6,
687,,Malamar,,86,92,88,68,75,73,482,80.33,6,
10,,Caterpie,,45,30,35,20,20,45,195,32.5,6,
62,,Poliwrath,,90,85,95,70,90,70,500,83.33,2,5
4,,Charmander,,39,52,43,60,50,65,309,51.5,7,
453,,Croagunk,,48,61,40,61,40,50,300,50,2,5
469,,Yanmega,,86,76,86,116,56,95,515,85.83,6,
331,,Cacnea,,50,85,40,85,40,35,335,55.83,6,
189,,Jumpluff,,75,55,70,55,95,110,460,76.67,7,
102,,Exeggcute,,60,40,80,60,45,40,325,54.17,6,
1,,Bulbasaur,,45,49,49,65,65,45,318,53,2,5
446,,Munchlax,,135,85,40,40,85,5,390,65,2,5
474,,Porygon-Z,,85,80,70,135,75,90,535,89.17,2,5
148,,Dragonair,,61,84,65,70,70,70,350,70,1,
113,,Chansey,,250,5,5,35,105,50,450,75,7,
685,,Slurpuff,,82,80,86,85,75,72,480,80,6,
184,,Azumarill,,100,50,80,50,80,50,410,68.33,2,5
711,,Gourgeist ,Large Size,75,95,122,58,75,69,494,82.33,7,
115,M,Kangaskhan ,Mega Kangaskhan,105,125,100,60,100,100,590,98.33,6,
82,,Magneton,,50,60,95,120,120,70,395,79,1,
387,,Turtwig,,55,68,64,45,55,31,318,53,6,
302,M,Sableye ,Mega Sableye,50,85,125,85,115,20,480,80,7,
62,,Poliwrath,,90,85,95,70,70,70,410,82,1,
740,,Crabominable,,97,132,77,62,67,43,478,79.67,7,
131,,Lapras,,130,85,80,85,95,60,535,89.17,2,5
447,,Riolu,,40,70,40,35,40,60,285,47.5,7,
429,,Mismagius,,60,60,60,105,105,105,495,82.5,6,
193,,Yanma,,65,65,45,75,45,95,390,65,7,
86,,Seel,,65,45,55,45,70,45,325,54.17,2,5
505,,Watchog,,60,85,69,60,69,77,420,70,7,
636,,Larvesta,,55,85,55,50,55,60,360,60,6,
131,,Lapras,,130,85,80,95,95,60,450,90,1,
10,,Caterpie,,45,30,35,20,20,45,195,32.5,7,
757,,Salandit,,48,44,40,71,40,77,320,53.33,7,
174,,Igglybuff,,90,30,15,40,20,15,210,35,2,5
40,,Wigglytuff,,140,70,45,75,50,45,425,70.83,2,5
80,,Slowbro,,95,75,110,80,80,30,390,78,1,
106,,Hitmonlee,,50,120,53,35,35,87,345,69,1,
642,,Thundurus ,Incarnate Forme,79,115,70,125,80,111,580,96.67,6,
413,,Wormadam ,Trash Cloak,60,69,95,69,95,36,424,70.67,2,5
693,,Clawitzer,,71,73,88,120,89,59,500,83.33,6,
279,,Pelipper,,60,50,100,85,70,65,430,71.67,6,
184,,Azumarill,,100,50,80,60,80,50,420,70,7,
745,,Lycanroc ,Midday Form,75,115,65,55,65,112,487,81.17,7,
631,,Heatmor,,85,97,66,105,66,65,484,80.67,7,
24,,Arbok,,60,95,69,65,79,80,448,74.67,7,
9,,Blastoise,,79,83,100,85,85,78,425,85,1,
68,,Machamp,,90,130,80,65,85,55,505,84.17,6,
479,O,Rotom ,Heat Rotom,50,65,107,105,107,86,520,86.67,6,
711,,Gourgeist ,Average Size,65,90,122,58,75,84,494,82.33,6,
802,,Marshadow,,90,125,80,90,90,125,600,100,7,
389,,Torterra,,95,109,105,75,85,56,525,87.5,2,5
581,,Swanna,,75,87,63,87,63,98,473,78.83,6,
800,DM,Necrozma ,Dusk Mane,97,157,127,113,109,77,680,113.33,7,
598,,Ferrothorn,,74,94,131,54,116,20,489,81.5,2,5
192,,Sunflora,,75,75,55,105,85,30,425,70.83,7,
637,,Volcarona,,85,60,65,135,105,100,550,91.67,2,5
526,,Gigalith,,85,135,130,60,80,25,515,85.83,6,
106,,Hitmonlee,,50,120,53,35,110,87,455,75.83,7,
775,,Komala,,65,115,65,75,95,65,480,80,7,
345,,Lileep,,66,41,77,61,87,23,355,59.17,2,5
9,,Blastoise,,79,83,100,85,105,78,530,88.33,2,5
633,,Deino,,52,65,50,45,50,38,300,50,6,
79,,Slowpoke,,90,65,65,40,40,15,315,52.5,6,
126,,Magmar,,65,95,57,100,85,93,495,82.5,6,
56,,Mankey,,40,80,35,35,35,70,260,52,1,
271,,Lombre,,60,50,50,60,70,50,340,56.67,2,5
560,,Scrafty,,65,90,115,45,115,58,488,81.33,2,5
322,,Numel,,60,60,40,65,45,35,305,50.83,2,5
159,,Croconaw,,65,80,80,59,63,58,405,67.5,7,
111,,Rhyhorn,,80,85,95,30,30,25,345,57.5,2,5
338,,Solrock,,70,95,85,55,65,70,440,73.33,2,5
289,,Slaking,,150,160,100,95,65,100,670,111.67,2,5
560,,Scrafty,,65,90,115,45,115,58,488,81.33,6,
514,,Simisear,,75,98,63,98,63,101,498,83,2,5
65,M,Alakazam ,Mega Alakazam,55,50,65,175,105,150,600,100,7,
542,,Leavanny,,75,103,80,70,80,92,500,83.33,6,
636,,Larvesta,,55,85,55,50,55,60,360,60,7,
631,,Heatmor,,85,97,66,105,66,65,484,80.67,6,
3,,Venusaur,,80,82,83,100,100,80,525,87.5,6,
693,,Clawitzer,,71,73,88,120,89,59,500,83.33,7,
43,,Oddish,,45,50,55,75,75,30,255,51,1,
441,,Chatot,,76,65,45,92,42,91,411,68.5,7,
108,,Lickitung,,90,55,75,60,60,30,310,62,1,
40,,Wigglytuff,,140,70,45,85,50,45,435,72.5,6,
508,,Stoutland,,85,110,90,45,90,80,500,83.33,6,
711,,Gourgeist ,Average Size,65,90,122,58,75,84,494,82.33,7,
192,,Sunflora,,75,75,55,105,85,30,425,70.83,6,
86,,Seel,,65,45,55,45,70,45,325,54.17,6,
666,,Vivillon,,80,52,50,90,50,89,411,68.5,6,
526,,Gigalith,,85,135,130,60,80,25,515,85.83,7,
112,,Rhydon,,105,130,120,45,45,40,485,80.83,6,
11,,Metapod,,50,20,55,25,25,30,180,36,1,
638,,Cobalion,,91,90,129,90,72,108,580,96.67,6,
520,,Tranquill,,62,77,62,50,42,65,358,59.67,7,
106,,Hitmonlee,,50,120,53,35,110,87,455,75.83,6,
137,,Porygon,,65,60,70,75,75,40,310,62,1,
381,,Latios,,80,90,80,130,110,110,600,100,6,
42,,Golbat,,75,80,70,75,75,90,390,78,1,
567,,Archeops,,75,140,65,112,65,110,567,94.5,7,
368,,Gorebyss,,55,84,105,114,75,52,485,80.83,2,5
423,,Gastrodon,,111,83,68,92,82,39,475,79.17,6,
146,,Moltres,,90,100,90,125,85,90,580,96.67,2,5
42,,Golbat,,75,80,70,65,75,90,455,75.83,7,
493,,Arceus,,120,120,120,120,120,120,720,120,2,5
309,,Electrike,,40,45,40,65,40,65,295,49.17,2,5
479,W,Rotom ,Wash Rotom,50,65,107,105,107,86,520,86.67,7,
511,,Pansage,,50,53,48,53,48,64,316,52.67,2,5
479,,Rotom,,50,50,77,95,77,91,440,73.33,7,
542,,Leavanny,,75,103,80,70,80,92,500,83.33,7,
380,M,Latias ,Mega Latias,80,100,120,140,150,110,700,116.67,7,
726,,Torracat,,65,85,50,80,50,90,420,70,7,
258,,Mudkip,,50,70,50,50,50,40,310,51.67,6,
547,,Whimsicott,,60,67,85,77,75,116,480,80,7,
382,,Kyogre,,100,100,90,150,140,90,670,111.67,7,
96,,Drowzee,,60,48,45,43,90,42,328,54.67,2,5
28,,Sandslash,,75,100,110,45,55,65,450,75,6,
61,,Poliwhirl,,65,65,65,50,50,90,385,64.17,2,5
31,,Nidoqueen,,90,82,87,75,75,76,410,82,1,
311,,Plusle,,60,50,40,85,75,95,405,67.5,7,
386,S,Deoxys ,Speed Forme,50,95,90,95,90,180,600,100,6,
304,,Aron,,50,70,100,40,40,30,330,55,2,5
685,,Slurpuff,,82,80,86,85,75,72,480,80,7,
347,,Anorith,,45,95,50,40,50,75,355,59.17,2,5
426,,Drifblim,,150,80,44,90,54,80,498,83,6,
550,,Basculin,,70,92,65,80,55,98,460,76.67,2,5
540,,Sewaddle,,45,53,70,40,60,42,310,51.67,6,
112,,Rhydon,,105,130,120,45,45,40,485,80.83,7,
520,,Tranquill,,62,77,62,50,42,65,358,59.67,6,
436,,Bronzor,,57,24,86,24,86,23,300,50,2,5
104,,Cubone,,50,50,95,40,40,35,270,54,1,
307,,Meditite,,30,40,55,40,55,60,280,46.67,2,5
642,,Thundurus ,Incarnate Forme,79,115,70,125,80,111,580,96.67,7,
662,,Fletchinder,,62,73,55,56,52,84,382,63.67,7,
474,,Porygon-Z,,85,80,70,135,75,90,535,89.17,6,
381,,Latios,,80,90,80,130,110,110,600,100,7,
425,,Drifloon,,90,50,34,60,44,70,348,58,2,5
615,,Cryogonal,,70,50,30,95,135,105,485,80.83,2,5
341,,Corphish,,43,80,65,50,35,35,308,51.33,7,
539,,Sawk,,75,125,75,30,75,85,465,77.5,2,5
543,,Venipede,,30,45,59,30,39,57,260,43.33,7,
165,,Ledyba,,40,20,30,40,80,55,265,44.17,6,
6,MY,Charizard ,Mega Charizard Y,78,104,78,159,115,100,634,105.67,7,
350,,Milotic,,95,60,79,100,125,81,540,90,2,5
530,,Excadrill,,110,135,60,50,65,88,508,84.67,6,
163,,Hoothoot,,60,30,30,36,56,50,262,43.67,7,
42,,Golbat,,75,80,70,65,75,90,455,75.83,6,
554,,Darumaka,,70,90,45,15,45,50,315,52.5,7,
114,,Tangela,,65,55,115,100,40,60,435,72.5,2,5
13,,Weedle,,40,35,30,20,20,50,175,35,1,
622,,Golett,,59,74,50,35,50,35,303,50.5,6,
299,,Nosepass,,30,45,135,45,90,30,375,62.5,2,5
24,,Arbok,,60,85,69,65,65,80,359,71.8,1,
594,,Alomomola,,165,75,80,40,45,65,470,78.33,2,5
45,,Vileplume,,75,80,85,100,100,50,390,78,1,
380,M,Latias ,Mega Latias,80,100,120,140,150,110,700,116.67,6,
88,A,Grimer ,Alolan Grimer,80,80,50,40,50,25,325,54.17,7,
258,,Mudkip,,50,70,50,50,50,40,310,51.67,7,
617,,Accelgor,,80,70,40,100,60,145,495,82.5,6,
644,,Zekrom,,100,150,120,120,100,90,680,113.33,7,
28,,Sandslash,,75,100,110,45,55,65,450,75,7,
68,,Machamp,,90,130,80,65,85,55,505,84.17,7,
747,,Mareanie,,50,53,62,43,52,45,305,50.83,7,
230,,Kingdra,,75,95,95,95,95,85,540,90,6,
291,,Ninjask,,61,90,45,50,50,160,456,76,2,5
386,S,Deoxys ,Speed Forme,50,95,90,95,90,180,600,100,7,
581,,Swanna,,75,87,63,87,63,98,473,78.83,7,
577,,Solosis,,45,30,40,105,50,20,290,48.33,6,
426,,Drifblim,,150,80,44,90,54,80,498,83,7,
487,,Giratina ,Altered Forme,150,100,120,100,120,90,680,113.33,2,5
428,,Lopunny,,65,76,84,54,96,105,480,80,7,
540,,Sewaddle,,45,53,70,40,60,42,310,51.67,7,
259,,Marshtomp,,70,85,70,60,70,50,405,67.5,7,
502,,Dewott,,75,75,60,83,60,60,413,68.83,7,
474,,Porygon-Z,,85,80,70,135,75,90,535,89.17,7,
135,,Jolteon,,65,65,60,110,95,130,525,87.5,2,5
231,,Phanpy,,90,60,60,40,40,40,330,55,2,5
267,,Beautifly,,60,70,50,100,50,65,395,65.83,6,
534,,Conkeldurr,,105,140,95,55,65,45,505,84.17,6,
114,,Tangela,,65,55,115,100,40,60,435,72.5,6,
256,,Combusken,,60,85,60,85,60,55,405,67.5,6,
546,,Cottonee,,40,27,60,37,50,66,280,46.67,2,5
713,,Avalugg,,95,117,184,44,46,28,514,85.67,7,
70,,Weepinbell,,65,90,50,85,45,55,390,65,6,
488,,Cresselia,,120,70,120,75,130,85,600,100,7,
719,,Diancie,,50,100,150,100,150,50,600,100,7,
341,,Corphish,,43,80,65,50,35,35,308,51.33,6,
599,,Klink,,40,55,70,45,60,30,300,50,6,
653,,Fennekin,,40,45,40,62,60,60,307,51.17,6,
496,,Servine,,60,60,75,60,75,83,413,68.83,7,
15,,Beedrill,,65,90,40,45,80,75,395,65.83,7,
166,,Ledian,,55,35,50,55,110,85,390,65,6,
530,,Excadrill,,110,135,60,50,65,88,508,84.67,7,
194,,Wooper,,55,45,45,25,25,15,210,35,2,5
554,,Darumaka,,70,90,45,15,45,50,315,52.5,6,
542,,Leavanny,,75,103,80,70,70,92,490,81.67,2,5
83,,Farfetch'd,,52,65,55,58,62,60,352,58.67,2,5
548,,Petilil,,45,35,50,70,50,30,280,46.67,6,
6,MY,Charizard ,Mega Charizard Y,78,104,78,159,115,100,634,105.67,6,
28,,Sandslash,,75,100,110,55,55,65,405,81,1,
320,,Wailmer,,130,70,35,70,35,60,400,66.67,6,
412,,Burmy,,40,29,45,29,45,36,224,37.33,2,5
404,,Luxio,,60,85,49,60,49,60,363,60.5,2,5
294,,Loudred,,84,71,43,71,43,48,360,60,2,5
356,,Dusclops,,40,70,130,60,130,25,455,75.83,7,
323,,Camerupt,,70,100,70,105,75,40,460,76.67,2,5
47,,Parasect,,60,95,80,60,80,30,405,67.5,2,5
500,,Emboar,,110,123,65,100,65,65,528,88,6,
646,,Kyurem ,White Kyurem,125,120,90,170,100,95,700,116.67,2,5
733,,Toucannon,,80,120,75,75,75,60,485,80.83,7,
373,,Salamence,,95,135,80,110,80,100,600,100,2,5
666,,Vivillon,,80,52,50,90,50,89,411,68.5,7,
86,,Seel,,65,45,55,45,70,45,325,54.17,7,
709,,Trevenant,,85,110,76,65,82,56,474,79,6,
362,,Glalie,,80,80,80,80,80,80,480,80,6,
534,,Conkeldurr,,105,140,95,55,65,45,505,84.17,7,
689,,Barbaracle,,72,105,115,54,86,68,500,83.33,6,
713,,Avalugg,,95,117,184,44,46,28,514,85.67,6,
256,,Combusken,,60,85,60,85,60,55,405,67.5,7,
719,,Diancie,,50,100,150,100,150,50,600,100,6,
599,,Klink,,40,55,70,45,60,30,300,50,7,
479,,Rotom ,Mow Rotom,50,65,107,105,107,86,520,86.67,2,5
697,,Tyrantrum,,82,121,119,69,59,71,521,86.83,6,
15,,Beedrill,,65,90,40,45,80,75,395,65.83,6,
143,,Snorlax,,160,110,65,65,110,30,540,90,2,5
302,,Sableye,,50,75,75,65,65,50,380,63.33,2,5
150,,Mewtwo,,106,110,90,154,90,130,680,113.33,2,5
110,,Weezing,,65,90,120,85,70,60,490,81.67,2,5
227,,Skarmory,,65,80,140,40,70,70,465,77.5,2,5
454,,Toxicroak,,83,106,65,86,65,85,490,81.67,7,
395,,Empoleon,,84,86,88,111,101,60,530,88.33,2,5
548,,Petilil,,45,35,50,70,50,30,280,46.67,7,
422,,Shellos,,76,48,48,57,62,34,325,54.17,7,
293,,Whismur,,64,51,23,51,23,28,240,40,2,5
125,,Electabuzz,,65,83,57,95,85,105,490,81.67,6,
212,M,Scizor ,Mega Scizor,70,150,140,65,100,75,600,100,6,
595,,Joltik,,50,47,50,57,50,65,319,53.17,2,5
547,,Whimsicott,,60,67,85,77,75,116,480,80,6,
19,,Rattata,,30,56,35,25,25,72,218,43.6,1,
259,,Marshtomp,,70,85,70,60,70,50,405,67.5,6,
311,,Plusle,,60,50,40,85,75,95,405,67.5,6,
182,,Bellossom,,75,80,95,90,100,50,490,81.67,6,
508,,Stoutland,,85,100,90,45,90,80,490,81.67,2,5
20,,Raticate,,55,81,60,50,70,97,413,68.83,7,
227,,Skarmory,,65,80,140,40,70,70,465,77.5,7,
709,,Trevenant,,85,110,76,65,82,56,474,79,7,
362,,Glalie,,80,80,80,80,80,80,480,80,7,
248,M,Tyranitar ,Mega Tyranitar,100,164,150,95,120,71,700,116.67,6,
398,,Staraptor,,85,120,70,50,50,100,475,79.17,2,5
229,M,Houndoom ,Mega Houndoom,75,90,90,140,90,115,600,100,7,
662,,Fletchinder,,62,73,55,56,52,84,382,63.67,6,
12,,Butterfree,,60,45,50,90,80,70,395,65.83,7,
256,,Combusken,,60,85,60,85,60,55,405,67.5,2,5
42,,Golbat,,75,80,70,65,75,90,455,75.83,2,5
543,,Venipede,,30,45,59,30,39,57,260,43.33,6,
79,,Slowpoke,,90,65,65,40,40,15,315,52.5,7,
779,,Bruxish,,68,105,70,70,70,92,475,79.17,7,
447,,Riolu,,40,70,40,35,40,60,285,47.5,2,5
163,,Hoothoot,,60,30,30,36,56,50,262,43.67,6,
430,,Honchkrow,,100,125,52,105,52,71,505,84.17,6,
224,,Octillery,,75,105,75,105,75,45,480,80,2,5
720,,Hoopa ,Hoopa Confined,80,110,60,150,130,70,600,100,7,
586,,Sawsbuck,,80,100,70,60,70,95,475,79.17,7,
147,,Dratini,,41,64,45,50,50,50,300,50,7,
344,,Claydol,,60,70,105,70,120,75,500,83.33,2,5
19,,Rattata,,30,56,35,25,35,72,253,42.17,2,5
