Region,Family,Dex,Dex_Suffix,Name,Class
Alola,Bounsweet family,762,,Steenee,
Unova,Sawk family,539,,Sawk,
Hoenn,Carvanha family,318,,Carvanha,
Sinnoh,Palkia family,484,,Palkia,
Unova,Woobat family,527,,Woobat,
Alola,Wishiwashi family,746,,Wishiwashi,
Unova,Maractus family,556,,Maractus,
Alola,Special Rockruff family,745,D,Lycanroc,
Unova,Sewaddle family,541,,Swadloon,
Johto,Swinub family,473,,Mamoswine,
Kalos,Diancie family,719,,Diancie,
Kalos,Furfrou family,676,,Furfrou,
Kanto,Alolan Sandshrew family,27,A,Sandshrew,
Kanto,Zapdos family,145,,Zapdos,
Johto,Larvitar family,246,,Larvitar,
Kanto,Mewtwo family,150,,Mewtwo,
Kanto,Venonat family,48,,Venonat,
Sinnoh,Glameow family,432,,Purugly,
Kanto,Moltres family,146,,Moltres,
Kanto,Squirtle family,7,,Squirtle,
Kanto,Hitmon family,107,,Hitmonchan,
Unova,Pansage family,512,,Simisage,
Sinnoh,Shellos family,423,,Gastrodon,West Sea
Kanto,Scyther family,123,,Scyther,
Kalos,Tyrunt family,696,,Tyrunt,
Unova,Cottonee family,547,,Whimsicott,
Hoenn,Treecko family,253,,Grovyle,
Unova,Minccino family,572,,Minccino,
Hoenn,Wingull family,279,,Pelipper,
Johto,Gligar family,207,,Gligar,
Hoenn,Torkoal family,324,,Torkoal,
Sinnoh,Combee family,416,,Vespiquen,
Hoenn,Electrike family,310,,Manectric,
Hoenn,Shroomish family,285,,Shroomish,
Hoenn,Seedot family,274,,Nuzleaf,
Johto,Unown,201,Q,Unown Q,
Alola,Mimikyu family,778,,Mimikyu,
Alola,Dhelmise family,781,,Dhelmise,
Kanto,Tangela family,114,,Tangela,
Alola,Jangmo-o family,784,,Kommo-o,
Hoenn,Kyogre family,382,,Kyogre,
Hoenn,Trapinch family,330,,Flygon,
Kanto,Mankey family,57,,Primeape,
Kanto,Jigglypuff family,40,,Wigglytuff,
Kalos,Flabébé family,671,,Florges,
Hoenn,Barboach family,339,,Barboach,
Unova,Munna family,517,,Munna,
Sinnoh,Riolu family,447,,Riolu,
Unova,Frillish family,593,,Jellicent,
Unova,Shelmet family,617,,Accelgor,
Hoenn,Duskull family,355,,Duskull,
Kanto,Meowth family,53,,Persian,
Kanto,Poliwag family,186,,Politoed,
Kanto,Paras family,47,,Parasect,
Kanto,Abra family,64,,Kadabra,
Johto,Hoppip family,188,,Skiploom,
Sinnoh,Burmy family,412,S,Burmy,
Johto,Murkrow family,198,,Murkrow,
Hoenn,Deoxys,386,,Deoxys,Normal Forme
Kanto,Oddish family,45,,Vileplume,
Johto,Unown,201,EX,Unown !,
Kanto,Porygon family,233,,Porygon2,
Kanto,Seel family,86,,Seel,
Kalos,Honedge family,679,,Honedge,
Alola,Cutiefly family,743,,Ribombee,
Sinnoh,Giratina,487,O,Giratina,Origin Forme
Unova,Cubchoo family,614,,Beartic,
Unova,Purrloin family,510,,Liepard,
Kanto,Alolan Diglett family,51,A,Dugtrio,
Hoenn,Rayquaza family,384,,Rayquaza,
Kanto,Diglett family,50,,Diglett,
Hoenn,Groudon family,383,,Groudon,
Kanto,Alolan Geodude family,74,A,Geodude,
Unova,Klink family,601,,Klinklang,
Kanto,Machop family,68,,Machamp,
Alola,Buzzwole family,794,,Buzzwole,
Johto,Chinchou family,171,,Lanturn,
Hoenn,Regirock family,377,,Regirock,
Johto,Gligar family,472,,Gliscor,
Sinnoh,Shinx family,404,,Luxio,
Kanto,Kabuto family,140,,Kabuto,
Kanto,Jynx family,238,,Smoochum,
Alola,Fomantis family,753,,Fomantis,
Johto,Corsola family,222,,Corsola,
Unova,Sandile family,553,,Krookodile,
Alola,Rockruff family,745,,Lycanroc,
Kalos,Goomy family,704,,Goomy,
Kanto,Psyduck family,55,,Golduck,
Kanto,Magnemite family,81,,Magnemite,
Johto,Phanpy family,232,,Donphan,
Unova,Solosis family,578,,Duosion,
Alola,Blacephalon family,806,,Blacephalon,
Johto,Cyndaquil family,156,,Quilava,
Sinnoh,Stunky family,434,,Stunky,
Unova,Solosis family,577,,Solosis,
Kanto,Psyduck family,54,,Psyduck,
Johto,Girafarig family,203,,Girafarig,
Kanto,Eeveelution family,700,,Sylveon,
Unova,Pansage family,511,,Pansage,
Alola,Stufful family,760,,Bewear,
Kanto,Caterpie family,11,,Metapod,
Alola,Oricorio,741,,Oricorio,Baile Style
Hoenn,Sableye family,302,,Sableye,
Kalos,Scatterbug family,666,,Vivillon,
Hoenn,Whismur family,293,,Whismur,
Unova,Meloetta family,648,,Meloetta,Aria Forme
Kanto,Sandshrew family,27,,Sandshrew,
Johto,Teddiursa family,217,,Ursaring,
Alola,Rowlet family,724,,Decidueye,
Johto,Sentret family,162,,Furret,
Sinnoh,Gible family,444,,Gabite,
Kanto,Goldeen family,119,,Seaking,
Kanto,Exeggcute family,103,,Exeggutor,
Kalos,Skiddo family,672,,Skiddo,
Unova,Kyurem family,646,,Kyurem,
Kalos,Swirlix family,685,,Slurpuff,
Hoenn,Seedot family,273,,Seedot,
Hoenn,Wurmple family,267,,Beautifly,
Kanto,Horsea family,116,,Horsea,
Kanto,Nidoran family*,31,,Nidoqueen,
Unova,Archen family,567,,Archeops,
Johto,Wooper family,195,,Quagsire,
Kalos,Tyrunt family,697,,Tyrantrum,
Unova,Vanillite family,584,,Vanilluxe,
Kanto,Gastly family,92,,Gastly,
Hoenn,Carvanha family,319,,Sharpedo,
Johto,Aipom family,190,,Aipom,
Johto,Swinub family,220,,Swinub,
Unova,Mienfoo family,619,,Mienfoo,
Johto,Houndour family,229,,Houndoom,
Alola,Pikipek family,731,,Pikipek,
Hoenn,Baltoy family,343,,Baltoy,
Johto,Marill family,298,,Azurill,
Johto,Chikorita family,154,,Meganium,
Hoenn,Relicanth family,369,,Relicanth,
Johto,Mareep family,181,,Ampharos,
Johto,Mareep family,179,,Mareep,
Unova,Bouffalant family,626,,Bouffalant,
Hoenn,Poochyena family,262,,Mightyena,
Unova,Roggenrola family,525,,Boldore,
Johto,Spinarak family,167,,Spinarak,
Unova,Elgyem family,605,,Elgyem,
Unova,Lillipup family,507,,Herdier,
Kalos,Chespin family,652,,Chesnaught,
Kalos,Fletchling family,662,,Fletchinder,
Kanto,Voltorb family,100,,Voltorb,
Unova,Virizion family,640,,Virizion,
Sinnoh,Shinx family,403,,Shinx,
Hoenn,Surskit family,283,,Surskit,
Johto,Wobbuffet family,202,,Wobbuffet,
Hoenn,Beldum family,374,,Beldum,
Unova,Deino family,634,,Zweilous,
Alola,Rockruff family,744,Mn,Rockruff,
Unova,Tornadus family,641,,Tornadus,
Hoenn,Mudkip family,259,,Marshtomp,
Sinnoh,Rotom,479,,Rotom,Normal Rotom
Johto,Mantine family,226,,Mantine,
Hoenn,Ralts family,282,,Gardevoir,
Unova,Ferroseed family,597,,Ferroseed,
Johto,Sudowoodo family,438,,Bonsly,
Sinnoh,Snover family,459,,Snover,
Kanto,Hitmon family,106,,Hitmonlee,
Sinnoh,Riolu family,448,,Lucario,
Sinnoh,Bronzor family,436,,Bronzor,
Kanto,Magikarp family,130,,Gyarados,
Kanto,Weedle family,13,,Weedle,
Kanto,Jigglypuff family,174,,Igglybuff,
Sinnoh,Bidoof family,399,,Bidoof,
Unova,Tepig family,498,,Tepig,
Kanto,Tauros family,128,,Tauros,
Kanto,Chansey family,440,,Happiny,
Kanto,Sandshrew family,28,,Sandslash,
Kanto,Grimer family,88,,Grimer,
Unova,Patrat family,504,,Patrat,
Sinnoh,Arceus family,493,,Arceus,
Unova,Joltik family,595,,Joltik,
Unova,Venipede family,543,,Venipede,
Hoenn,Ralts family,475,,Gallade,
Johto,Spinarak family,168,,Ariados,
Kalos,Spritzee family,683,,Aromatisse,
Sinnoh,Shinx family,405,,Luxray,
Kanto,Venonat family,49,,Venomoth,
Hoenn,Ralts family,280,,Ralts,
Hoenn,Spheal family,365,,Walrein,
Kanto,Oddish family,182,,Bellossom,
Sinnoh,Uxie family,480,,Uxie,
Hoenn,Slakoth family,287,,Slakoth,
Johto,Celebi family,251,,Celebi,
Unova,Deerling family,586,A,Sawsbuck,Autumn Form
Johto,Ho-Oh family,250,,Ho-Oh,
Johto,Togepi family,176,,Togetic,
Kanto,Electabuzz family,466,,Electivire,
Johto,Sunkern family,192,,Sunflora,
Kalos,Helioptile family,694,,Helioptile,
Sinnoh,Hippopotas family,450,,Hippowdon,
Sinnoh,Hippopotas family,449,,Hippopotas,
Alola,Morelull family,756,,Shiinotic,
Alola,Rockruff family,745,Mn,Lycanroc,
Kalos,Zygarde family,718,,Zygarde,
Kanto,Aerodactyl family,142,,Aerodactyl,
Kalos,Honedge family,681,,Aegislash,
Unova,Timburr family,532,,Timburr,
Hoenn,Meditite family,308,,Medicham,
Johto,Unown,201,N,Unown N,
Sinnoh,Turtwig family,389,,Torterra,
Kanto,Alolan Vulpix family,37,A,Vulpix,
Kanto,Lickitung family,463,,Lickilicky,
Kanto,Ekans family,24,,Arbok,
Sinnoh,Manaphy* family,489,,Phione,
Sinnoh,Drifloon family,425,,Drifloon,
Unova,Terrakion family,639,,Terrakion,
Hoenn,Treecko family,252,,Treecko,
Alola,Celesteela family,797,,Celesteela,
Kanto,Porygon family,137,,Porygon,
Unova,Axew family,610,,Axew,
Alola,Mudbray family,749,,Mudbray,
Kanto,Pikachu family,25,,Pikachu,
Unova,Scraggy family,559,,Scraggy,
Alola,Pikipek family,732,,Trumbeak,
Unova,Meloetta family,648,P,Meloetta,Pirouette Forme
Hoenn,Spheal family,364,,Sealeo,
Kanto,Mew family,151,,Mew,
Hoenn,Slakoth family,288,,Vigoroth,
Hoenn,Swablu family,333,,Swablu,
Hoenn,Shuppet family,353,,Shuppet,
Sinnoh,Burmy family,414,S,Mothim,
Hoenn,Deoxys,386,D,Deoxys,Defense Forme
Hoenn,Spoink family,326,,Grumpig,
Unova,Trubbish family,568,,Trubbish,
Sinnoh,Cranidos family,408,,Cranidos,
Unova,Joltik family,596,,Galvantula,
Hoenn,Volbeat and Illumise* family,313,,Volbeat,
Kalos,Espurr family,678,,Meowstic,
Alola,Bounsweet family,763,,Tsareena,
Johto,Remoraid family,223,,Remoraid,
Hoenn,Mudkip family,260,,Swampert,
Kanto,Jigglypuff family,39,,Jigglypuff,
Kanto,Magmar family,240,,Magby,
Johto,Slugma family,218,,Slugma,
Unova,Timburr family,533,,Gurdurr,
Hoenn,Cacnea family,332,,Cacturne,
Kanto,Nidoran family*,33,,Nidorino,
Alola,Oricorio,741,Se,Oricorio,Sensu Style
Johto,Heracross family,214,,Heracross,
Sinnoh,Skorupi family,452,,Drapion,
Sinnoh,Rotom,479,L,Rotom,Mow Rotom
Kanto,Clefairy family,173,,Cleffa,
Johto,Sudowoodo family,185,,Sudowoodo,
Kalos,Flabébé family,670,,Floette,
Johto,Miltank family,241,,Miltank,
Sinnoh,Glameow family,431,,Glameow,
Unova,Petilil family,548,,Petilil,
Johto,Sunkern family,191,,Sunkern,
Hoenn,Torchic family,257,,Blaziken,
Kanto,Pikachu family,172,A,Pichu,
Sinnoh,Buizel family,419,,Floatzel,
Sinnoh,Darkrai family,491,,Darkrai,
Kanto,Pikachu family,25,A,Pikachu,
Unova,Gothita family,575,,Gothorita,
Unova,Victini family,494,,Victini,
Hoenn,Regice family,378,,Regice,
Unova,Scraggy family,560,,Scrafty,
Kanto,Krabby family,98,,Krabby,
Kanto,Ponyta family,78,,Rapidash,
Johto,Unown,201,G,Unown G,
Alola,Special Rockruff family,744,D,Rockruff,
Unova,Drilbur family,530,,Excadrill,
Kanto,Rhyhorn family,112,,Rhydon,
Sinnoh,Cranidos family,409,,Rampardos,
Unova,Pansear family,513,,Pansear,
Kanto,Doduo family,84,,Doduo,
Kanto,Tangela family,465,,Tangrowth,
Unova,Panpour family,515,,Panpour,
Hoenn,Nosepass family,299,,Nosepass,
Johto,Unown,201,O,Unown O,
Kanto,Bellsprout family,70,,Weepinbell,
Kanto,Nidoran family*,29,,Nidoran♀,
Hoenn,Nincada family,292,,Shedinja,
Alola,Mudbray family,750,,Mudsdale,
Alola,Grubbin family,738,,Vikavolt,
Sinnoh,Buneary family,428,,Lopunny,
Kanto,Meltan family,809,,Melmetal,
Hoenn,Wailmer family,320,,Wailmer,
Sinnoh,Turtwig family,388,,Grotle,
Unova,Dwebble family,557,,Dwebble,
Kanto,Pidgey family,18,,Pidgeot,
Kanto,Charmander family,5,,Charmeleon,
Unova,Gothita family,574,,Gothita,
Kalos,Helioptile family,695,,Heliolisk,
Hoenn,Trapinch family,328,,Trapinch,
Kanto,Geodude family,76,,Golem,
Sinnoh,Combee family,415,,Combee,
Alola,Litten family,726,,Torracat,
Johto,Unown,201,X,Unown X,
Alola,Popplio family,728,,Popplio,
Johto,Raikou family,243,,Raikou,
Kalos,Inkay family,686,,Inkay,
Kalos,Pancham family,674,,Pancham,
Alola,Salandit family,758,,Salazzle,
Hoenn,Lotad family,270,,Lotad,
Kanto,Dratini family,147,,Dratini,
Sinnoh,Bronzor family,437,,Bronzong,
Unova,Klink family,599,,Klink,
Alola,Fomantis family,754,,Lurantis,
Alola,Stufful family,759,,Stufful,
Kanto,Vulpix family,37,,Vulpix,
Johto,Sneasel family,461,,Weavile,
Unova,Tynamo family,603,,Eelektrik,
Alola,Tapu Koko family,785,,Tapu Koko,
Unova,Zorua family,571,,Zoroark,
Hoenn,Clamperl family,368,,Gorebyss,
Hoenn,Duskull family,356,,Dusclops,
Kanto,Hitmon family,236,,Tyrogue,
Sinnoh,Regigigas family,486,,Regigigas,
Hoenn,Lotad family,271,,Lombre,
Hoenn,Wurmple family,268,,Cascoon,
Johto,Misdreavus family,429,,Mismagius,
Kanto,Cubone family,105,,Marowak,
Kanto,Rhyhorn family,464,,Rhyperior,
Sinnoh,Kricketot family,401,,Kricketot,
Johto,Unown,201,R,Unown R,
Unova,Deerling family,585,W,Deerling,Winter Form
Sinnoh,Snover family,460,,Abomasnow,
Kalos,Litleo family,667,,Litleo,
Johto,Mantine family,458,,Mantyke,
Kanto,Slowpoke family,79,,Slowpoke,
Sinnoh,Gible family,445,,Garchomp,
Kalos,Carbink family,703,,Carbink,
Alola,Popplio family,729,,Brionne,
Kalos,Clauncher family,692,,Clauncher,
Kanto,Scyther family,212,,Scizor,
Johto,Chinchou family,170,,Chinchou,
Unova,Throh family,538,,Throh,
Hoenn,Seviper family,336,,Seviper,
Hoenn,Skitty family,301,,Delcatty,
Johto,Unown,201,Y,Unown Y,
Kanto,Abra family,65,,Alakazam,
Unova,Cryogonal family,615,,Cryogonal,
Hoenn,Snorunt family,362,,Glalie,
Kanto,Grimer family,89,,Muk,
Hoenn,Wingull family,278,,Wingull,
Sinnoh,Chimchar family,391,,Monferno,
Alola,Togedemaru family,777,,Togedemaru,
Sinnoh,Rotom,479,O,Rotom,Heat Rotom
Kanto,Abra family,63,,Abra,
Unova,Shelmet family,616,,Shelmet,
Hoenn,Bagon family,372,,Shelgon,
Kanto,Cubone family,104,,Cubone,
Sinnoh,Finneon family,456,,Finneon,
Unova,Rufflet family,627,,Rufflet,
Unova,Elgyem family,606,,Beheeyem,
Unova,Keldeo family,647,,Keldeo,
Johto,Unown,201,K,Unown K,
Hoenn,Roselia family,406,,Budew,
Unova,Cubchoo family,613,,Cubchoo,
Hoenn,Beldum family,375,,Metang,
Alola,Xurkitree family,796,,Xurkitree,
Alola,Bruxish family,779,,Bruxish,
Sinnoh,Mesprit family,481,,Mesprit,
Unova,Lillipup family,508,,Stoutland,
Kanto,Shellder family,90,,Shellder,
Kanto,Chansey family,113,,Chansey,
Alola,Wimpod family,768,,Golisopod,
Johto,Hoothoot family,164,,Noctowl,
Hoenn,Chimecho family,358,,Chimecho,
Kanto,Squirtle family,8,,Wartortle,
Johto,Ledyba family,165,,Ledyba,
Kanto,Hitmon family,237,,Hitmontop,
Alola,Magearna family,801,,Magearna,
Johto,Entei family,244,,Entei,
Kanto,Eeveelution family,471,,Glaceon,
Johto,Unown,201,S,Unown S,
Unova,Cobalion family,638,,Cobalion,
Unova,Deerling family,586,W,Sawsbuck,Winter Form
Unova,Litwick family,607,,Litwick,
Alola,Grubbin family,737,,Charjabug,
Kanto,Clefairy family,35,,Clefairy,
Hoenn,Taillow family,277,,Swellow,
Johto,Unown,201,,Unown A,
Sinnoh,Croagunk family,454,,Toxicroak,
Johto,Unown,201,U,Unown U,
Unova,Blitzle family,522,,Blitzle,
Kalos,Honedge family,680,,Doublade,
Alola,Poipole family,804,,Naganadel,
Sinnoh,Carnivine family,455,,Carnivine,
Unova,Zorua family,570,,Zorua,
Kalos,Scatterbug family,665,,Spewpa,
Alola,Tapu Fini family,788,,Tapu Fini,
Kanto,Alolan Diglett family,50,A,Diglett,
Unova,Gothita family,576,,Gothitelle,
Kalos,Pumpkaboo family,710,,Pumpkaboo,
Sinnoh,Piplup family,395,,Empoleon,
Alola,Sandygast family,770,,Palossand,
Kanto,Snorlax family,143,,Snorlax,
Kanto,Poliwag family,61,,Poliwhirl,
Unova,Oshawott family,502,,Dewott,
Hoenn,Surskit family,284,,Masquerain,
Alola,Yungoos family,734,,Yungoos,
Kanto,Lapras family,131,,Lapras,
Unova,Snivy family,496,,Servine,
Unova,Vullaby family,630,,Mandibuzz,
Kanto,Cubone family,105,A,Marowak,
Johto,Murkrow family,430,,Honchkrow,
Hoenn,Wurmple family,269,,Dustox,
Kanto,Bulbasaur family,2,,Ivysaur,
Alola,Dewpider family,752,,Araquanid,
Sinnoh,Shellos family,422,E,Shellos,East Sea
