Ldex,ID,ID_Ext,Name,Type,Type2,Female,Male,ID,Name,Unbreedable,ID,Name,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,ID_Ext,Name,WeightLbs,WeightKg,ID,Name,Experience type,Body,ID,ID_Ext,Name,Type1,Type2,Color,Name,ID,ID,ID_Ext,Name,Ability 1,Ability 2,Hidden,EvolutionLevel,ID,Name,ID,Name,Base friendship,ID,Name,Call_Rate_SM,Call_Rate_USUM,Habitat,Page,Ndex,Name,Type,Type2,Group,ID,Name,Type,Type2
#011,#011,11,Metapod,Bug,,0,1,538,Throh,,11,Metapod,Bug,—,15,3840,4096,4080,3855,3840,602,Tynamo,0.7 lbs.,0.3 kg,15,Beedrill,Medium Fast, Pokémon consisting of only a head,#201,201,Unown,Psychic,,Red,Goldeen,118,8,8,Wartortle,Torrent,,Rain Dish,14,#155,Cyndaquil,11,Metapod,70,27,Sandshrew,9,9, Grassland Pokémon,Page 3,#031,Nidoqueen,Poison,Ground,Group A,#049,Venomoth,Bug,Poison
#012,#012,12,Butterfree,Bug,Flying,0,1,539,Sawk,,12,Butterfree,Bug,—,15,3840,4096,4080,3855,3840,764,Comfey,0.7 lbs.,0.3 kg,16,Pidgey,Medium Slow, Pokémon consisting of only a head,#204,204,Pineco,Bug,,Red,Seaking,119,9,9,Blastoise,Torrent,,Rain Dish,14,#270,Lotad,12,Butterfree,70,35,Clefairy,6,6, Grassland Pokémon,Page 4,#032,Nidoran♂,Poison,,Group A,#050,Diglett,Ground,
#013,#013,13,Weedle,Bug,Poison,0,1,627,Rufflet,,13,Weedle,Bug,—,15,3840,4096,4080,3855,3840,746,"Wishiwashi
Solo Form",0.7 lbs.,0.3 kg,17,Pidgeotto,Medium Slow, Pokémon consisting of only a head,#205,205,Forretress,Bug,Steel,Red,Jynx,124,9,009M,Mega Blastoise,Mega Launcher,,,14,#273,Seedot,13,Weedle,70,37,Vulpix,9,9, Grassland Pokémon,Page 4,#033,Nidorino,Poison,,Group A,#051,Dugtrio,Ground,
#014,#014,14,Kakuna,Bug,Poison,0,1,628,Braviary,,14,Kakuna,Bug,—,15,3840,4096,4080,3855,3840,774R,"Minior
Core Form",0.7 lbs.,0.3 kg,18,Pidgeot,Medium Slow, Pokémon consisting of only a head,#266,266,Silcoon,Bug,,Red,Magmar,126,10,10,Caterpie,Shield Dust,,Run Away,14,#390,Chimchar,14,Kakuna,70,39,Jigglypuff,6,6, Grassland Pokémon,Page 4,#034,Nidoking,Poison,Ground,Group A,#081,Magnemite,Electric,Steel
#015,#015,15,Beedrill,Bug,Poison,0,1,25,"Pikachu
Original Cap",U,15,Beedrill,Bug,—,15,3840,4096,4080,3855,3840,187,Hoppip,1.1 lbs.,0.5 kg,19,Rattata,Medium Fast, Pokémon consisting of only a head,#268,268,Cascoon,Bug,,Red,Magikarp,129,11,11,Metapod,Shed Skin,,,14,#396,Starly,15,Beedrill,70,41,Zubat,15,15, Grassland Pokémon,Page 5,#084,Doduo,Normal,Flying,Group A,#082,Magneton,Electric,Steel
#016,#016,16,Pidgey,Normal,Flying,0,1,25,"Pikachu
Hoenn Cap",U,16,Pidgey,Flying,—,15,3840,4096,4080,3855,3840,682,Spritzee,1.1 lbs.,0.5 kg,21,Spearow,Medium Fast, Pokémon consisting of only a head,#337,337,Lunatone,Rock,Psychic,Red,Flareon,136,12,12,Butterfree,Compound Eyes,,Tinted Lens,14,#731,Pikipek,16,Pidgey,70,42,Golbat,9,9, Grassland Pokémon,Page 5,#085,Dodrio,Normal,Flying,Group A,#118,Goldeen,Water,
#017,#017,17,Pidgeotto,Normal,Flying,0,1,25,"Pikachu
Sinnoh Cap",U,17,Pidgeotto,Flying,—,15,3840,4096,4080,3855,3840,743,Ribombee,1.1 lbs.,0.5 kg,22,Fearow,Medium Fast, Pokémon consisting of only a head,#338,338,Solrock,Rock,Psychic,Red,Ledyba,165,13,13,Weedle,Shield Dust,,Run Away,15,#161,Sentret,17,Pidgeotto,70,46,Paras,9,9, Grassland Pokémon,Page 5,#276,Taillow,Normal,Flying,Group A,#119,Seaking,Water,
#018,#018,18,Pidgeot,Normal,Flying,0,1,25,"Pikachu
Unova Cap",U,18,Pidgeot,Flying,—,15,3840,4096,4080,3855,3840,433,Chingling,1.3 lbs.,0.6 kg,23,Ekans,Medium Fast, Pokémon consisting of only a head,#351,351,Castform,Normal,,Red,Ledian,166,14,14,Kakuna,Shed Skin,,,15,#179,Mareep,18,Pidgeot,70,47,Parasect,6,6, Grassland Pokémon,Page 5,#277,Swellow,Normal,Flying,Group A,#132,Ditto,Normal,
#019,#019,19,Rattata,Normal,,0,1,25,"Pikachu
Kalos Cap",U,19,Rattata,Field,—,15,3840,4096,4080,3855,3840,546,Cottonee,1.3 lbs.,0.6 kg,25,Pikachu,Medium Fast, Pokémon consisting of only a head,#353,353,Shuppet,Ghost,,Red,Ariados,168,15,15,Beedrill,Swarm,,Sniper,15,#360,Wynaut,19,Rattata,70,50,Diglett,9,9, Grassland Pokémon,Page 6,#114,Tangela,Grass,,Group A,#163,Hoothoot,Normal,Flying
 ,#019,019A,Rattata,Dark,Normal,0,1,25,"Pikachu
Alola Cap",U,20,Raticate,Field,—,15,3840,4096,4080,3855,3840,595,Joltik,1.3 lbs.,0.6 kg,26,Raichu,Medium Fast, Pokémon consisting of only a head,#362,362,Glalie,Ice,,Red,Yanma,193,15,015M,Mega Beedrill,Adaptability,,,15,#399,Bidoof,20,Raticate,70,51,Dugtrio,6,6, Grassland Pokémon,Page 6,#315,Roselia,Grass,Poison,Group A,#164,Noctowl,Normal,Flying
#020,#020,20,Raticate,Normal,,0,1,25,"Pikachu
Partner Cap",U,21,Spearow,Flying,—,15,3840,4096,4080,3855,3840,778,Mimikyu,1.5 lbs.,0.7 kg,27,Sandshrew,Medium Fast, Pokémon consisting of only a head,#366,366,Clamperl,Water,,Red,"Scizor
All forms",212,16,16,Pidgey,Keen Eye,Tangled Feet*,Big Pecks,15,#403,Shinx,21,Spearow,70,52,Meowth,9,9, Grassland Pokémon,Page 6,#191,Sunkern,Grass,,Group A,#170,Chinchou,Water,Electric
 ,#020,020A,Raticate,Dark,Normal,0,1,236,Tyrogue,U,22,Fearow,Flying,—,15,3840,4096,4080,3855,3840,50,Diglett,1.8 lbs.,0.8 kg,28,Sandslash,Medium Fast, Pokémon consisting of only a head,#429,429,Mismagius,Ghost,,Red,Slugma,218,17,17,Pidgeotto,Keen Eye,Tangled Feet*,Big Pecks,16,#001,Bulbasaur,22,Fearow,70,53,Persian,6,6, Grassland Pokémon,Page 6,#192,Sunflora,Grass,,Group A,#171,Lanturn,Water,Electric
#021,#021,21,Spearow,Normal,Flying,0,1,381,Latios,U,23,Ekans,Field,Dragon,20,5120,5376,5355,5140,5120,351,Castform,1.8 lbs.,0.8 kg,29,Nidoran♀,Medium Slow, Pokémon consisting of only a head,#436,436,Bronzor,Steel,Psychic,Red,Magcargo,219,18,18,Pidgeot,Keen Eye,Tangled Feet*,Big Pecks,16,#004,Charmander,23,Ekans,70,54,Psyduck,15,15, Grassland Pokémon,Page 7,#187,Hoppip,Grass,Flying,Group A,#201,Unown,Psychic,
#022,#022,22,Fearow,Normal,Flying,0,1,641,Tornadus,U,24,Arbok,Field,Dragon,20,5120,5376,5355,5140,5120,670,Floette,2.0 lbs.,0.9 kg,30,Nidorina,Medium Slow, Pokémon consisting of only a head,#479,479,Rotom,Electric,Ghost,Red,Octillery,224,18,018M,Mega Pidgeot,No Guard,,,16,#007,Squirtle,24,Arbok,70,55,Golduck,6,6, Grassland Pokémon,Page 7,#188,Skiploom,Grass,Flying,Group A,#206,Dunsparce,Normal,
#023,#023,23,Ekans,Poison,,0,1,642,Thundurus,U,172,Pichu,Undiscovered,—,10,2560,2816,2805,2570,2560,050A,Alolan Diglett,2.2 lbs.,1.0 kg,31,Nidoqueen,Medium Slow, Pokémon consisting of only a head,#544,544,Whirlipede,Bug,Poison,Red,Delibird,225,19,19,Rattata,Run Away,Guts,Hustle,16,#029,Nidoran♀,25,Pikachu,70,56,Mankey,9,9, Grassland Pokémon,Page 7,#189,Jumpluff,Grass,Flying,Group A,#220,Swinub,Ice,Ground
#024,#024,24,Arbok,Poison,,0,1,645,Landorus,U,25,Pikachu,Field,Fairy,10,2560,2816,2805,2570,2560,109,Koffing,2.2 lbs.,1.0 kg,32,Nidoran♂,Medium Slow, Pokémon consisting of only a head,#546,546,Cottonee,Grass,Fairy,Red,Porygon2,233,19,019A,Alolan Rattata,Gluttony,Hustle,Thick Fat,16,#032,Nidoran♂,26,Raichu,70,57,Primeape,6,6, Grassland Pokémon,Page 8,#043,Oddish,Grass,Poison,Group A,#221,Piloswine,Ice,Ground
#025,#025,25,Pikachu,Electric,,0,1,658,"Greninja
Ash-Greninja",U,26,Raichu,Field,Fairy,10,2560,2816,2805,2570,2560,174,Igglybuff,2.2 lbs.,1.0 kg,33,Nidorino,Medium Slow, Pokémon consisting of only a head,#577,577,Solosis,Psychic,,Red,Magby,240,20,20,Raticate,Run Away,Guts,Hustle,16,#063,Abra,27,Sandshrew,70,58,Growlithe,9,9, Grassland Pokémon,Page 8,#044,Gloom,Grass,Poison,Group A,#265,Wurmple,Bug,
#026,#026,26,Raichu,Electric,,1,7,1,Bulbasaur,,27,Sandshrew,Field,—,20,5120,5376,5355,5140,5120,188,Skiploom,2.2 lbs.,1.0 kg,34,Nidoking,Medium Slow, Pokémon consisting of only a head,#578,578,Duosion,Psychic,,Red,Ho-Oh,250,20,020A,Alolan Raticate,Gluttony,Hustle,Thick Fat,16,#152,Chikorita,28,Sandslash,70,60,Poliwag,9,9, Grassland Pokémon,Page 8,#045,Vileplume,Grass,Poison,Group A,#266,Silcoon,Bug,
 ,#026,026A,Raichu,Electric,Psychic,1,7,2,Ivysaur,,28,Sandslash,Field,—,20,5120,5376,5355,5140,5120,200,Misdreavus,2.2 lbs.,1.0 kg,35,Clefairy,Fast, Pokémon consisting of only a head,#597,597,Ferroseed,Grass,Steel,Red,Torchic,255,21,21,Spearow,Keen Eye,,Sniper,16,#252,Treecko,29,Nidoran♀,70,61,Poliwhirl,6,6, Grassland Pokémon,Page 8,#182,Bellossom,Grass,,Group A,#267,Beautifly,Bug,Flying
#027,#027,27,Sandshrew,Ground,,1,7,3,Venusaur,,29,Nidoran♀,Monster,Field,20,5120,5376,5355,5140,5120,358,Chimecho,2.2 lbs.,1.0 kg,36,Clefable,Fast, Pokémon consisting of only a head,#615,615,Cryogonal,Ice,,Red,Combusken,256,22,22,Fearow,Keen Eye,,Sniper,16,#255,Torchic,30,Nidorina,70,62,Poliwrath,0,0, Grassland Pokémon,Page 9,#023,Ekans,Poison,,Group A,#268,Cascoon,Bug,
 ,#027,027A,Sandshrew,Ice,Steel,1,7,4,Charmander,,30,Nidorina,Undiscovered,—,20,5120,5376,5355,5140,5120,577,Solosis,2.2 lbs.,1.0 kg,37,Vulpix,Medium Fast, Pokémon consisting of only a head,#616,616,Shelmet,Bug,,Red,"Blaziken
All forms",257,23,23,Ekans,Intimidate,Shed Skin,Unnerve,16,#258,Mudkip,31,Nidoqueen,70,63,Abra,9,9, Grassland Pokémon,Page 9,#024,Arbok,Poison,,Group A,#269,Dustox,Bug,Poison
#028,#028,28,Sandslash,Ground,,1,7,5,Charmeleon,,31,Nidoqueen,Undiscovered,—,20,5120,5376,5355,5140,5120,590,Foongus,2.2 lbs.,1.0 kg,38,Ninetales,Medium Fast, Pokémon consisting of only a head,#703,703,Carbink,Rock,Fairy,Red,Wurmple,265,24,24,Arbok,Intimidate,Shed Skin,Unnerve,16,#393,Piplup,32,Nidoran♂,70,64,Kadabra,6,6, Grassland Pokémon,Page 10,#174,Igglybuff,Normal,,Group A,#361,Snorunt,Ice,
 ,#028,028A,Sandslash,Ice,Steel,1,7,6,Charizard,,32,Nidoran♂,Monster,Field,20,5120,5376,5355,5140,5120,385,Jirachi,2.4 lbs.,1.1 kg,39,Jigglypuff,Fast, Pokémon consisting of only a head,#707,707,Klefki,Steel,Fairy,Red,"Medicham
All forms",308,172,172,Pichu,Static,,Lightning Rod,16,#506,Lillipup,33,Nidorino,70,66,Machop,9,9, Grassland Pokémon,Page 10,#039,Jigglypuff,Normal,,Group A,#362,Glalie,Ice,
#029,#029,29,Nidoran♀,Poison,,1,7,7,Squirtle,,33,Nidorino,Monster,Field,20,5120,5376,5355,5140,5120,292,Shedinja,2.6 lbs.,1.2 kg,40,Wigglytuff,Fast, Pokémon consisting of only a head,#710,710,Pumpkaboo,Ghost,Grass,Red,Carvanha,318,172,172,Spiky-eared Pichu,Static,,,16,#650,Chespin,34,Nidoking,70,67,Machoke,6,6, Grassland Pokémon,Page 10,#040,Wigglytuff,Normal,,Group A,#415,Combee,Bug,Flying
#030,#030,30,Nidorina,Poison,,1,7,8,Wartortle,,34,Nidoking,Monster,Field,20,5120,5376,5355,5140,5120,333,Swablu,2.6 lbs.,1.2 kg,41,Zubat,Medium Fast, Pokémon consisting of only a head,#764,764,Comfey,Fairy,,Red,"Camerupt
All forms",323,25,25,Pikachu,Static,,Lightning Rod,16,#653,Fennekin,35,Clefairy,140,72,Tentacool,15,15, Grassland Pokémon,Page 11,#179,Mareep,Electric,,Group A,#416,Vespiquen,Bug,Flying
#031,#031,31,Nidoqueen,Poison,Ground,1,7,9,Blastoise,,173,Cleffa,Undiscovered,—,10,2560,2816,2805,2570,2560,406,Budew,2.6 lbs.,1.2 kg,42,Golbat,Medium Fast, Pokémon consisting of only a head,#774,774,Minior,Rock,Flying,Red,Solrock,338,25,025Co,Cosplay Pikachu,Lightning Rod,,,16,#656,Froakie,36,Clefable,140,73,Tentacruel,6,6, Grassland Pokémon,Page 11,#180,Flaaffy,Electric,,Group A,#455,Carnivine,Grass,
#032,#032,32,Nidoran♂,Poison,,1,7,133,Eevee,,35,Clefairy,Fairy,—,10,2560,2816,2805,2570,2560,425,Drifloon,2.6 lbs.,1.2 kg,43,Oddish,Medium Slow, Pokémon consisting of only a head,#789,789,Cosmog,Psychic,,Red,Corphish,341,25,025O,Pikachu in a cap,Static,,,17,#495,Snivy,37,Vulpix,70,74,Geodude,9,9, Grassland Pokémon,Page 11,#181,Ampharos,Electric,,Group A,#456,Finneon,Water,
#033,#033,33,Nidorino,Poison,,1,7,134,Vaporeon,,36,Clefable,Fairy,—,10,2560,2816,2805,2570,2560,731,Pikipek,2.6 lbs.,1.2 kg,44,Gloom,Medium Slow, Pokémon consisting of only a head,#790,790,Cosmoem,Psychic,,Red,Crawdaunt,342,26,26,Raichu,Static,,Lightning Rod,17,#498,Tepig,38,Ninetales,70,75,Graveler,6,6, Grassland Pokémon,Page 12,#083,Farfetch'd,Normal,Flying,Group A,#457,Lumineon,Water,
#034,#034,34,Nidoking,Poison,Ground,1,7,135,Jolteon,,37,Vulpix,Field,—,20,5120,5376,5355,5140,5120,771,Pyukumuku,2.6 lbs.,1.2 kg,46,Paras,Medium Fast, Pokémon consisting of a head and legs,,,,,,Red,"Castform
Sunny Form",351S,26,026A,Alolan Raichu,Surge Surfer,,,17,#501,Oshawott,39,Jigglypuff,70,79,Slowpoke,9,9, Grassland Pokémon,Page 12,#108,Lickitung,Normal,,Group A,#462,Magnezone,Electric,Steel
#035,#035,35,Clefairy,Fairy,,1,7,136,Flareon,,38,Ninetales,Field,—,20,5120,5376,5355,5140,5120,490,Manaphy,3.1 lbs.,1.4 kg,47,Parasect,Medium Fast, Pokémon consisting of a head and legs,#043,43,Oddish,Grass,Poison,Red,"Latias
Normal",380,27,27,Sandshrew,Sand Veil,,Sand Rush,17,#661,Fletchling,40,Wigglytuff,70,80,Slowbro,3,3, Grassland Pokémon,Page 13,#123,Scyther,Bug,Flying,Group A,#473,Mamoswine,Ice,Ground
#036,#036,36,Clefable,Fairy,,1,7,138,Omanyte,,174,Igglybuff,Undiscovered,—,10,2560,2816,2805,2570,2560,175,Togepi,3.3 lbs.,1.5 kg,48,Venonat,Medium Fast, Pokémon consisting of a head and legs,#060,60,Poliwag,Water,,Red,"Groudon
All forms",383,27,027A,Alolan Sandshrew,Snow Cloak,,Slush Rush,17,#722,Rowlet,41,Zubat,70,81,Magnemite,9,9, Grassland Pokémon,Page 13,#212,Scizor,Bug,Steel,Group A,#478,Froslass,Ice,Ghost
#037,#037,37,Vulpix,Fire,,1,7,139,Omastar,,39,Jigglypuff,Fairy,—,10,2560,2816,2805,2570,2560,562,Yamask,3.3 lbs.,1.5 kg,49,Venomoth,Medium Fast, Pokémon consisting of a head and legs,#084,84,Doduo,Normal,Flying,Red,"Deoxys
All forms",386,28,28,Sandslash,Sand Veil,,Sand Rush,17,#725,Litten,42,Golbat,70,82,Magneton,6,6, Grassland Pokémon,Page 14,#096,Drowzee,Psychic,,Group A,#492,Shaymin,Grass,
 ,#037,037A,Vulpix,Ice,,1,7,140,Kabuto,,40,Wigglytuff,Fairy,—,10,2560,2816,2805,2570,2560,722,Rowlet,3.3 lbs.,1.5 kg,50,Diglett,Medium Fast, Pokémon consisting of a head and legs,#085,85,Dodrio,Normal,Flying,Red,Kricketot,401,28,028A,Alolan Sandslash,Snow Cloak,,Slush Rush,17,#728,Popplio,43,Oddish,70,86,Seel,—,9, Grassland Pokémon,Page 14,#097,Hypno,Psychic,,Group B,,,,
#038,#038,38,Ninetales,Fire,,1,7,141,Kabutops,,41,Zubat,Flying,—,15,3840,4096,4080,3855,3840,753,Fomantis,3.3 lbs.,1.5 kg,51,Dugtrio,Medium Fast, Pokémon consisting of a head and legs,#103,103,Exeggutor,Grass,Psychic,Red,Kricketune,402,29,29,Nidoran♀,Poison Point,Rivalry*,Hustle,18,#016,Pidgey,44,Gloom,70,87,Dewgong,—,6, Grassland Pokémon,Page 14,#316,Gulpin,Poison,,Group B,#035,Clefairy,Normal,
 ,#038,038A,Ninetales,Ice,Fairy,1,7,142,Aerodactyl,,42,Golbat,Flying,—,15,3840,4096,4080,3855,3840,755,Morelull,3.3 lbs.,1.5 kg,52,Meowth,Medium Fast, Pokémon consisting of a head and legs,#114,114,Tangela,Grass,,Red,"Wormadam
Trash Cloak",413S,30,30,Nidorina,Poison Point,Rivalry*,Hustle,18,#158,Totodile,45,Vileplume,70,88,Grimer,9,9, Grassland Pokémon,Page 14,#317,Swalot,Poison,,Group B,#036,Clefable,Normal,
#039,#039,39,Jigglypuff,Normal,Fairy,1,7,143,Snorlax,,169,Crobat,Flying,—,15,3840,4096,4080,3855,3840,283,Surskit,3.7 lbs.,1.7 kg,53,Persian,Medium Fast, Pokémon consisting of a head and legs,#137,137,Porygon,Normal,,Red,Magmortar,467,31,31,Nidoqueen,Poison Point,Rivalry*,Sheer Force,18,#165,Ledyba,46,Paras,70,89,Muk,6,6, Grassland Pokémon,Page 15,#115,Kangaskhan,Normal,,Group B,#039,Jigglypuff,Normal,
#040,#040,40,Wigglytuff,Normal,Fairy,1,7,152,Chikorita,,43,Oddish,Grass,—,20,5120,5376,5355,5140,5120,661,Fletchling,3.7 lbs.,1.7 kg,54,Psyduck,Medium Fast, Pokémon consisting of a head and legs,#194,194,Wooper,Water,Ground,Red,Porygon-Z,474,32,32,Nidoran♂,Poison Point,Rivalry*,Hustle,18,#183,Marill,47,Parasect,70,90,Shellder,9,9, Grassland Pokémon,Page 15,#203,Girafarig,Normal,Psychic,Group B,#040,Wigglytuff,Normal,
#041,#041,41,Zubat,Poison,Flying,1,7,153,Bayleef,,44,Gloom,Grass,—,20,5120,5376,5355,5140,5120,16,Pidgey,4.0 lbs.,1.8 kg,55,Golduck,Medium Fast, Pokémon consisting of a head and legs,#233,233,Porygon2,Normal,,Red,"Rotom
All forms",479,33,33,Nidorino,Poison Point,Rivalry*,Hustle,18,#187,Hoppip,48,Venonat,70,92,Gastly,9,9, Grassland Pokémon,Page 16,#128,Tauros,Normal,,Group B,#043,Oddish,Grass,Poison
#042,#042,42,Golbat,Poison,Flying,1,7,154,Meganium,,45,Vileplume,Grass,—,20,5120,5376,5355,5140,5120,191,Sunkern,4.0 lbs.,1.8 kg,56,Mankey,Medium Fast, Pokémon consisting of a head and legs,#255,255,Torchic,Fire,,Red,Tepig,498,34,34,Nidoking,Poison Point,Rivalry*,Sheer Force,18,#261,Poochyena,49,Venomoth,70,93,Haunter,6,6, Grassland Pokémon,Page 16,#241,Miltank,Normal,,Group B,#044,Gloom,Grass,Poison
#043,#043,43,Oddish,Grass,Poison,1,7,155,Cyndaquil,,182,Bellossom,Grass,—,20,5120,5376,5355,5140,5120,803,Poipole,4.0 lbs.,1.8 kg,57,Primeape,Medium Fast, Pokémon consisting of a head and legs,#273,273,Seedot,Grass,,Red,Pignite,499,173,173,Cleffa,Cute Charm,Magic Guard*,Friend Guard,18,#287,Slakoth,50,Diglett,70,94,Gengar,0,0, Grassland Pokémon,Page 17,#037,Vulpix,Fire,,Group B,#045,Vileplume,Grass,Poison
#044,#044,44,Gloom,Grass,Poison,1,7,156,Quilava,,46,Paras,Bug,Grass,20,5120,5376,5355,5140,5120,339,Barboach,4.2 lbs.,1.9 kg,58,Growlithe,Slow, Pokémon consisting of a head and legs,#285,285,Shroomish,Grass,,Red,Emboar,500,35,35,Clefairy,Cute Charm,Magic Guard*,Friend Guard,18,#387,Turtwig,51,Dugtrio,70,96,Drowzee,9,9, Grassland Pokémon,Page 17,#038,Ninetales,Fire,,Group B,#079,Slowpoke,Water,Psychic
#045,#045,45,Vileplume,Grass,Poison,1,7,157,Typhlosion,,47,Parasect,Bug,Grass,20,5120,5376,5355,5140,5120,441,Chatot,4.2 lbs.,1.9 kg,60,Poliwag,Medium Slow, Pokémon consisting of a head and legs,#298,298,Azurill,Normal,Fairy,Red,Pansear,513,36,36,Clefable,Cute Charm,Magic Guard*,Unaware,18,#761,Bounsweet,52,Meowth,70,97,Hypno,6,6, Grassland Pokémon,Page 17,#077,Ponyta,Fire,,Group B,#080,Slowbro,Water,Psychic
