Name,Dex,Dex_Suffix,Alt,Item,Class,LDex,LDex_Suffix,Type,Type2,Female,Male,Unbreedable,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,WeightLbs,WeightKg,Experience type,Body,Type1,Gen
Hawlucha,701,,,,,89,Co,Fighting,Flying,1,1,,Human-Like,,20,,,,5140,5120,47.4,21.5,Medium Fast,"bipedal, tailless form",Fighting,6
Gallade,475,,,,,160,,Psychic,Fighting,0,1,,Amorphous,,20,,,5355,5140,5120,114.6,52,Slow,"bipedal, tailless form",Psychic,4
Throh,538,,,,,44,,Fighting,,0,1,,Human-Like,,20,,,,5140,5120,122.4,55.5,Medium Fast,"bipedal, tailless form",Fighting,5
Togepi,175,,,,,46,,Fairy,,1,7,U,Undiscovered,,10,2560,2816,2805,2570,2560,3.3,1.5,Fast,"bipedal, tailless form",Fairy,2
Piloswine,221,,,,,196,,Ice,Ground,1,1,,Field,,20,5120,5376,5355,5140,5120,123,55.8,Slow,quadruped body,Ice,2
Shuppet,353,,,,,146,,Ghost,,1,1,,Amorphous,,25,,6656,6630,6425,6400,5.1,2.3,Fast,head,Ghost,3
Silvally,773,,,,Type: Dragon,204,,Normal,,,,U,Undiscovered,,120,,,,,30720,221.6,100.5,Slow,quadruped body,Normal,7
Pumpkaboo,710,,,,Super Size,63,Mo,Ghost,Grass,1,1,,Amorphous,,20,,,,5140,5120,33.1,15,Medium Fast,head,Ghost,6
Slowbro,80,M,,Slowbronite,Mega,80,,Water,Psychic,1,1,,Monster,Water 1,20,5120,5376,5355,5140,5120,173.1,78.5,Medium Fast,"bipedal, tailed form",Water,1
Ponyta,77,,,,,77,,Fire,,1,1,,Field,,20,5120,5376,5355,5140,5120,66.1,30,Medium Fast,quadruped body,Fire,1
Probopass,476,,,,,156,,Rock,Steel,1,1,,Mineral,,20,,,5355,5140,5120,749.6,340,Medium Fast,multiple bodies,Rock,4
Marowak,105,,,,,105,,Ground,,1,1,,Monster,,20,5120,5376,5355,5140,5120,99.2,45,Medium Fast,"bipedal, tailed form",Ground,1
Kyogre,382,,,,,198,,Water,,,,U,Undiscovered,,120,,30976,30855,30840,30720,776,352,Slow,fins,Water,3
Honedge,679,,,,,117,Ce,Steel,Ghost,1,1,,Mineral,,20,,,,5140,5120,4.4,2,Medium Fast,head and a base,Steel,6
Flabébé,669,,,,Orange Flower,68,Ce,Fairy,,1,0,,Fairy,,20,,,,5140,5120,0.2,0.1,Medium Fast,head and arms,Fairy,6
Salamence,373,M,,Salamencite,Mega,189,,Dragon,Flying,1,1,,Dragon,,40,,10496,10455,10280,10240,226.2,102.6,Slow,quadruped body,Dragon,3
Cinccino,573,,,,,79,,Normal,,3,1,,Field,,15,,,,3855,3840,16.5,7.5,Fast,quadruped body,Normal,5
Arceus,493,,,,Type: Dark,,,Normal,,,,U,Undiscovered,,120,,,30855,30840,30720,705.5,320,Slow,quadruped body,Normal,4
Silvally,773,,,,Type: Grass,204,,Normal,,,,U,Undiscovered,,120,,,,,30720,221.6,100.5,Slow,quadruped body,Normal,7
Registeel,379,,,,,195,,Steel,,,,U,Undiscovered,,80,,20736,20655,20560,20480,451.9,205,Slow,"bipedal, tailless form",Steel,3
Dewott,502,,,,,8,,Water,,1,7,,Field,,20,,,,5140,5120,54,24.5,Medium Slow,"bipedal, tailed form",Water,5
Furret,162,,,,,20,,Normal,,1,1,,Field,,15,3840,4096,4080,3855,3840,71.6,32.5,Medium Fast,quadruped body,Normal,2
Pikachu,25,,,,Libre,25,,Electric,,1,1,,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,quadruped body,Electric,1
Drowzee,96,,,,,96,,Psychic,,1,1,,Human-Like,,20,5120,5376,5355,5140,5120,71.4,32.4,Medium Fast,"bipedal, tailless form",Psychic,1
Slowking,199,,,,,82,,Water,Psychic,1,1,,Monster,Water 1,20,5120,5376,5355,5140,5120,175.3,79.5,Medium Fast,"bipedal, tailed form",Water,2
Cresselia,488,,,,,,,Psychic,,1,0,U,Undiscovered,,120,,,30855,30840,30720,188.7,85.6,Slow,serpentine bodies,Psychic,4
Drapion,452,,,,,128,,Poison,Dark,1,1,,Bug,Water 3,20,,,5355,5140,5120,135.6,61.5,Slow,insectoid body,Poison,4
Eevee,133,,,,,133,,Normal,,1,7,,Field,,35,8960,9216,9180,8995,8960,14.3,6.5,Medium Fast,quadruped body,Normal,1
Vigoroth,288,,,,,37,,Normal,,1,1,,Field,,15,,4096,4080,3855,3840,102.5,46.5,Slow,"bipedal, tailed form",Normal,3
Silvally,773,,,,Type: Ground,204,,Normal,,,,U,Undiscovered,,120,,,,,30720,221.6,100.5,Slow,quadruped body,Normal,7
Absol,359,M,,Absolite,Mega,152,,Dark,,1,1,,Field,,25,,6656,6630,6425,6400,103.6,47,Medium Slow,quadruped body,Dark,3
Gigalith,526,,,,,32,,Rock,,1,1,,Mineral,,15,,,,3855,3840,573.2,260,Medium Slow,tentacles or a multiped body,Rock,5
Scraggy,559,,,,,65,,Dark,Fighting,1,1,,Field,Dragon,15,,,,3855,3840,26,11.8,Medium Fast,"bipedal, tailed form",Dark,5
Tentacool,72,,,,,72,,Water,Poison,1,1,,Water 3,,20,5120,5376,5355,5140,5120,100.3,45.5,Slow,tentacles or a multiped body,Water,1
Charjabug,737,,,,,28,,Bug,Electric,1,1,,Bug,,15,,,,,3840,23.1,10.5,Medium Fast,serpentine bodies,Bug,7
Dunsparce,206,,,,,52,,Normal,,1,1,,Field,,20,5120,5376,5355,5140,5120,30.9,14,Medium Fast,serpentine bodies,Normal,2
Gourgeist,711,,,,Small Size,64,Mo,Ghost,Grass,1,1,,Amorphous,,20,,,,5140,5120,20.9,9.5,Medium Fast,head and a base,Ghost,6
Deino,633,,,,,139,,Dark,Dragon,1,1,,Dragon,,40,,,,10280,10240,38.1,17.3,Slow,quadruped body,Dark,5
Vivillon,666,,,,Meadow Pattern,22,Ce,Bug,Flying,1,1,,Bug,,15,,,,3855,3840,37.5,17,Medium Fast,two or more pairs of wings,Bug,6
Trumbeak,732,,,,,11,,Normal,Flying,1,1,,Flying,,15,,,,,3840,32.6,14.8,Medium Fast,single pair of wings,Normal,7
Doduo,84,,,,,84,,Normal,Flying,1,1,,Flying,,20,5120,5376,5355,5140,5120,86.4,39.2,Medium Fast,head and legs,Normal,1
Ampharos,181,M,,Ampharosite,Mega,55,,Electric,Dragon,1,1,,Monster,Field,20,5120,5376,5355,5140,5120,135.6,61.5,Medium Slow,"bipedal, tailed form",Electric,2
Hoopa,720,,,,Confined,152,Ce,Psychic,Ghost,,,U,Undiscovered,,120,,,,30840,30720,19.8,9,Slow,head and arms,Psychic,6
Vibrava,329,,,,,117,,Ground,Dragon,1,1,,Bug,,20,,5376,5355,5140,5120,33.7,15.3,Medium Slow,two or more pairs of wings,Ground,3
Mamoswine,473,,,,,205,,Ice,Ground,1,1,,Field,,20,,,5355,5140,5120,641.5,291,Slow,quadruped body,Ice,4
Tropius,357,,,,,150,,Grass,Flying,1,1,,Monster,Grass,25,,6656,6630,6425,6400,220.5,100,Slow,quadruped body,Grass,3
Palossand,770,,,,,187,,Ghost,Ground,1,1,,Amorphous,,15,,,,,3840,551.2,250,Medium Fast,serpentine bodies,Ghost,7
Groudon,383,,,,,199,,Ground,,,,U,Undiscovered,,120,,30976,30855,30840,30720,2094.4,950,Slow,"bipedal, tailed form",Ground,3
Aipom,190,,,,,123,,Normal,,1,1,,Field,,20,5120,5376,5355,5140,5120,25.4,11.5,Fast,"bipedal, tailed form",Normal,2
Nuzleaf,274,,,,,23,,Grass,Dark,1,1,,Field,Grass,15,,4096,4080,3855,3840,61.7,28,Medium Slow,"bipedal, tailless form",Grass,3
Deerling,585,,,,Summer Form,91,,Normal,Grass,1,1,,Field,,20,,,,5140,5120,43,19.5,Medium Fast,quadruped body,Normal,5
Lugia,249,,,,,252,,Psychic,Flying,,,U,Undiscovered,,120,30720,30976,30855,30840,30720,476.2,216,Slow,single pair of wings,Psychic,2
Sylveon,700,,,,,85,Co,Fairy,,1,7,,Field,,35,,,,8995,8960,51.8,23.5,Medium Fast,quadruped body,Fairy,6
Eevee,133,Pa,,,Partner,133,,Normal,,1,7,,Field,,35,8960,9216,9180,8995,8960,14.3,6.5,Medium Fast,quadruped body,Normal,1
Tyranitar,248,,,,,251,,Rock,Dark,1,1,,Monster,,40,10240,10496,10455,10280,10240,445.3,202,Slow,"bipedal, tailed form",Rock,2
Hoothoot,163,,,,,15,,Normal,Flying,1,1,,Flying,,15,3840,4096,4080,3855,3840,46.7,21.2,Medium Fast,single pair of wings,Normal,2
Deerling,585,,,,Autumn Form,91,,Normal,Grass,1,1,,Field,,20,,,,5140,5120,43,19.5,Medium Fast,quadruped body,Normal,5
Castform,351,H,,,Snowy Form,142,,Ice,,1,1,,Fairy,Amorphous,25,,6656,6630,6425,6400,1.8,0.8,Medium Fast,head,Normal,3
Silvally,773,,,,Type: Fighting,204,,Normal,,,,U,Undiscovered,,120,,,,,30720,221.6,100.5,Slow,quadruped body,Normal,7
Smeargle,235,,,,,159,,Normal,,1,1,,Field,,20,5120,5376,5355,5140,5120,127.9,58,Fast,"bipedal, tailed form",Normal,2
Lunala,792,,,,,292,,Psychic,Ghost,,,U,Undiscovered,,120,,,,,30720,264.6,120,Slow,single pair of wings,Psychic,7
Milotic,350,,,,,141,,Water,,1,1,,Water 1,Dragon,20,,5376,5355,5140,5120,357.1,162,Erratic,serpentine bodies,Water,3
Mewtwo,150,MY,Y,,Mega  Y,150,,Psychic,,,,U,Undiscovered,,120,30720,30976,30855,30840,30720,269,122,Slow,"bipedal, tailed form",Psychic,1
Pidgeot,18,,,,,18,,Normal,Flying,1,1,,Flying,,15,3840,4096,4080,3855,3840,87.1,39.5,Medium Slow,single pair of wings,Normal,1
Komala,775,,,,,222,,Normal,,1,1,,Field,,20,,,,,5120,43.9,19.9,Slow,"bipedal, tailless form",Normal,7
Vanilluxe,584,,,,,90,,Ice,,1,1,,Mineral,,20,,,,5140,5120,126.8,57.5,Slow,multiple bodies,Ice,5
Druddigon,621,,,,,127,,Dragon,,1,1,,Dragon,Monster,30,,,,7710,7680,306.4,139,Medium Fast,"bipedal, tailed form",Dragon,5
Linoone,264,,,,,13,,Normal,,1,1,,Field,,15,,4096,4080,3855,3840,71.6,32.5,Medium Fast,quadruped body,Normal,3
Totodile,158,,,,,7,,Water,,1,7,,Monster,Water 1,20,5120,5376,5355,5140,5120,20.9,9.5,Medium Slow,"bipedal, tailed form",Water,2
Zekrom,644,,,,,150,,Dragon,Electric,,,U,Undiscovered,,120,,,,30840,30720,760.6,345,Slow,"bipedal, tailed form",Dragon,5
Electrode,101,,,,,101,,Electric,,,,,Mineral,,20,5120,5376,5355,5140,5120,146.8,66.6,Medium Fast,head,Electric,1
Regice,378,,,,,194,,Ice,,,,U,Undiscovered,,80,,20736,20655,20560,20480,385.8,175,Slow,"bipedal, tailless form",Ice,3
Meloetta,648,,,,Aria Forme,154,,Normal,Psychic,,,U,Undiscovered,,120,,,,30840,30720,14.3,6.5,Slow,"bipedal, tailless form",Normal,5
Purrloin,509,,,,,15,,Dark,,1,1,,Field,,20,,,,5140,5120,22.3,10.1,Medium Fast,quadruped body,Dark,5
Cradily,346,,,,,134,,Rock,Grass,1,7,,Water 3,,30,,7936,7905,7710,7680,133.2,60.4,Erratic,head and a base,Rock,3
Entei,244,,,,,244,,Fire,,,,U,Undiscovered,,80,20480,20736,20655,20560,20480,436.5,198,Slow,quadruped body,Fire,2
Bayleef,153,,,,,2,,Grass,,1,7,,Monster,Grass,20,5120,5376,5355,5140,5120,34.8,15.8,Medium Slow,quadruped body,Grass,2
Slugma,218,,,,,216,,Fire,,1,1,,Amorphous,,20,5120,5376,5355,5140,5120,77.2,35,Medium Fast,serpentine bodies,Fire,2
Raichu,26,A,,,Alolan,,,Electric,Psychic,1,1,,Field,Fairy,10,2560,2816,2805,2570,2560,66.1,30,Medium Fast,"bipedal, tailed form",Electric,1
Volcanion,721,,,,,153,Ce,Fire,Water,,,U,Undiscovered,,120,,,,30840,30720,429.9,195,Slow,quadruped body,Fire,6
Vivillon,666,,,,Poké Ball Pattern,22,Ce,Bug,Flying,1,1,,Bug,,15,,,,3855,3840,37.5,17,Medium Fast,two or more pairs of wings,Bug,6
Nosepass,299,,,,,60,,Rock,,1,1,,Mineral,,20,,5376,5355,5140,5120,213.8,97,Medium Fast,"bipedal, tailless form",Rock,3
Mankey,56,,,,,56,,Fighting,,1,1,,Field,,20,5120,5376,5355,5140,5120,61.7,28,Medium Fast,"bipedal, tailed form",Fighting,1
Reshiram,643,,,,Overdrive mode,149,,Dragon,Fire,,,U,Undiscovered,,120,,,,30840,30720,727.5,330,Slow,single pair of wings,Dragon,5
Furfrou,676,,,,Heart Trim,93,Ce,Normal,,1,1,,Field,,20,,,,5140,5120,61.7,28,Medium Fast,quadruped body,Normal,6
Toucannon,733,,,,,12,,Normal,Flying,1,1,,Flying,,15,,,,,3840,57.3,26,Medium Fast,single pair of wings,Normal,7
Gastrodon,423,,,,West Sea,61,,Water,Ground,1,1,,Water 1,Amorphous,20,,,5355,5140,5120,65.9,29.9,Medium Fast,serpentine bodies,Water,4
Lilligant,549,,,,,55,,Grass,,1,0,,Grass,,20,,,,5140,5120,35.9,16.3,Medium Fast,head and a base,Grass,5
Munna,517,,,,,23,,Psychic,,1,1,,Field,,10,,,,2570,2560,51.4,23.3,Fast,quadruped body,Psychic,5
Ninetales,38,A,,,Alolan,,,Ice,Fairy,3,1,,Field,,20,5120,5376,5355,5140,5120,43.9,19.9,Medium Fast,quadruped body,Fire,1
Electivire,466,,,,,199,,Electric,,1,3,,Human-Like,,25,,,6630,6425,6400,305.6,138.6,Medium Fast,"bipedal, tailed form",Electric,4
Giratina,487,O,,,Origin Forme,210,,Ghost,Dragon,,,U,Undiscovered,,120,,,30855,30840,30720,1433,650,Slow,tentacles or a multiped body,Ghost,4
Sharpedo,319,,,,,98,,Water,Dark,1,1,,Water 2,,20,,5376,5355,5140,5120,195.8,88.8,Slow,fins,Water,3
Jumpluff,189,,,,,69,,Grass,Flying,1,1,,Fairy,Grass,20,5120,5376,5355,5140,5120,6.6,3,Medium Slow,"bipedal, tailed form",Grass,2
Palkia,484,,,,,150,,Water,Dragon,,,U,Undiscovered,,120,,,30855,30840,30720,740.8,336,Slow,"bipedal, tailed form",Water,4
Sandshrew,27,A,,,Alolan,,,Ice,Steel,1,1,,Field,,20,5120,5376,5355,5140,5120,26.5,12,Medium Fast,"bipedal, tailed form",Ground,1
Mawile,303,,,,,69,,Steel,Fairy,1,1,,Field,Fairy,20,,5376,5355,5140,5120,25.4,11.5,Fast,"bipedal, tailless form",Steel,3
Kakuna,14,,,,,14,,Bug,Poison,1,1,,Bug,,15,3840,4096,4080,3855,3840,22,10,Medium Fast,serpentine bodies,Bug,1
Porygon2,233,,,,,221,,Normal,,,,,Mineral,,20,5120,5376,5355,5140,5120,71.6,32.5,Medium Fast,head and legs,Normal,2
Farfetch'd,83,,,,,83,,Normal,Flying,1,1,,Flying,Field,20,5120,5376,5355,5140,5120,33.1,15,Medium Fast,single pair of wings,Normal,1
Rowlet,722,,,,,1,,Grass,Flying,1,7,,Flying,,15,,,,,3840,3.3,1.5,Medium Slow,single pair of wings,Grass,7
Burmy,412,,,,Plant Cloak,45,,Bug,,1,1,,Bug,,15,,,4080,3855,3840,7.5,3.4,Medium Fast,head and a base,Bug,4
Amaura,698,,,,,66,Co,Rock,Ice,1,7,,Monster,,30,,,,7710,7680,55.6,25.2,Medium Fast,quadruped body,Rock,6
Onix,95,,,,,95,,Rock,Ground,1,1,,Mineral,,25,6400,6656,6630,6425,6400,463,210,Medium Fast,serpentine bodies,Rock,1
Machop,66,,,,,66,,Fighting,,1,3,,Human-Like,,20,5120,5376,5355,5140,5120,43,19.5,Medium Slow,"bipedal, tailed form",Fighting,1
Tapu Koko,785,,,,,285,,Electric,Fairy,,,U,Undiscovered,,15,,,,,3840,45.2,20.5,Slow,head and arms,Electric,7
Squirtle,7,,,,,7,,Water,,1,7,,Monster,Water 1,20,5120,5376,5355,5140,5120,19.8,9,Medium Slow,"bipedal, tailed form",Water,1
Gourgeist,711,,,,Super Size,64,Mo,Ghost,Grass,1,1,,Amorphous,,20,,,,5140,5120,86,39,Medium Fast,head and a base,Ghost,6
Elekid,239,,,,,156,,Electric,,1,3,U,Undiscovered,,25,6400,6656,6630,6425,6400,51.8,23.5,Medium Fast,"bipedal, tailless form",Electric,2
Weavile,461,,,,,145,,Dark,Ice,1,1,,Field,,20,,,5355,5140,5120,75,34,Medium Slow,"bipedal, tailed form",Dark,4
Vanillite,582,,,,,88,,Ice,,1,1,,Mineral,,20,,,,5140,5120,12.6,5.7,Slow,head and a base,Ice,5
Togedemaru,777,,,,,225,,Electric,Steel,1,1,,Field,Fairy,10,,,,,2560,7.3,3.3,Medium Fast,"bipedal, tailed form",Electric,7
Flabébé,669,,,,White Flower,68,Ce,Fairy,,1,0,,Fairy,,20,,,,5140,5120,0.2,0.1,Medium Fast,head and arms,Fairy,6
Cranidos,408,,,,,36,,Rock,,1,7,,Monster,,30,,,7905,7710,7680,69.4,31.5,Erratic,"bipedal, tailed form",Rock,4
Quagsire,195,,,,,57,,Water,Ground,1,1,,Water 1,Field,20,5120,5376,5355,5140,5120,165.3,75,Medium Fast,"bipedal, tailed form",Water,2
Regigigas,486,,,,,,,Normal,,,,U,Undiscovered,,120,,,30855,30840,30720,925.9,420,Slow,"bipedal, tailless form",Normal,4
Spearow,21,,,,,21,,Normal,Flying,1,1,,Flying,,15,3840,4096,4080,3855,3840,4.4,2,Medium Fast,single pair of wings,Normal,1
Combusken,256,,,,,5,,Fire,Fighting,1,7,,Field,,20,,5376,5355,5140,5120,43,19.5,Medium Slow,"bipedal, tailed form",Fire,3
Xerneas,716,,,,Active Mode,148,Mo,Fairy,,,,U,Undiscovered,,120,,,,30840,30720,474,215,Slow,quadruped body,Fairy,6
Blitzle,522,,,,,28,,Electric,,1,1,,Field,,20,,,,5140,5120,65.7,29.8,Medium Fast,quadruped body,Electric,5
Beedrill,15,,,,,15,,Bug,Poison,1,1,,Bug,,15,3840,4096,4080,3855,3840,65,29.5,Medium Fast,two or more pairs of wings,Bug,1
Surskit,283,,,,,32,,Bug,Water,1,1,,Water 1,Bug,15,,4096,4080,3855,3840,3.7,1.7,Medium Fast,insectoid body,Bug,3
Geodude,74,,,,,74,,Rock,Ground,1,1,,Mineral,,15,3840,4096,4080,3855,3840,44.1,20,Medium Slow,head and arms,Rock,1
Lycanroc,745,Mn,,,Midnight Form,104,,Rock,,1,1,,Field,,15,,,,,3840,55.1,25,Medium Fast,quadruped body,Rock,7
Kyurem,646,B,,,Black,152,,Dragon,Ice,,,U,Undiscovered,,120,,,,30840,30720,716.5,325,Slow,"bipedal, tailed form",Dragon,5
Zygarde,718,C,,,Complete Forme,150,Mo,Dragon,Ground,,,U,Undiscovered,,120,,,,30840,30720,1344.8,610,Slow,"bipedal, tailed form",Dragon,6
Zangoose,335,,,,,123,,Normal,,1,1,,Field,,20,,5376,5355,5140,5120,88.8,40.3,Erratic,"bipedal, tailed form",Normal,3
Noctowl,164,,,,,16,,Normal,Flying,1,1,,Flying,,15,3840,4096,4080,3855,3840,89.9,40.8,Medium Fast,single pair of wings,Normal,2
Silvally,773,,,,Type: Normal,204,,Normal,,,,U,Undiscovered,,120,,,,,30720,221.6,100.5,Slow,quadruped body,Normal,7
Geodude,74,A,,,Alolan,,,Rock,Electric,1,1,,Mineral,,15,3840,4096,4080,3855,3840,44.1,20,Medium Slow,head and arms,Rock,1
Landorus,645,,,,Incarnate Forme,151,,Ground,Flying,0,1,U,Undiscovered,,120,,,,30840,30720,149.9,68,Slow,head and arms,Ground,5
Golbat,42,,,,,42,,Poison,Flying,1,1,,Flying,,15,3840,4096,4080,3855,3840,121.3,55,Medium Fast,single pair of wings,Poison,1
Shelmet,616,,,,,122,,Bug,,1,1,,Bug,,15,,,,3855,3840,17,7.7,Medium Fast,head,Bug,5
