Classification,Name,Type,Ability,Form_Type,Form_Ability,Item,ID,ID_EXT,NAME
Regional,Geodude, Rock  Ground ,"Rock Head or Sturdy
Sand Veil (Hidden)", Rock  Electric ,"Magnet Pull or Sturdy
Galvanize (Hidden)",,52,52,Meowth
Regional,Graveler, Rock  Ground ,"Rock Head or Sturdy
Sand Veil (Hidden)", Rock  Electric ,"Magnet Pull or Sturdy
Galvanize (Hidden)",,52,052A,Meowth (Alolan Meowth)
Regional,Golem, Rock  Ground ,"Rock Head or Sturdy
Sand Veil (Hidden)", Rock  Electric ,"Magnet Pull or Sturdy
Galvanize (Hidden)",,53,53,Persian
Regional,Grimer, Poison ,"Stench or Sticky Hold
Poison Touch (Hidden)", Poison  Dark ,"Poison Touch or Gluttony
Power of Alchemy (Hidden)",,53,053A,Persian (Alolan Persian)
Regional,Muk, Poison ,"Stench or Sticky Hold
Poison Touch (Hidden)", Poison  Dark ,"Poison Touch or Gluttony
Power of Alchemy (Hidden)",,54,54,Psyduck
Regional,Exeggutor, Grass  Psychic ,"Chlorophyll
Harvest (Hidden)", Grass  Dragon ,"Frisk
Harvest (Hidden)",,55,55,Golduck
Regional,Marowak, Ground ,"Rock Head or Lightning Rod
Battle Armor (Hidden)", Fire  Ghost ,"Cursed Body or Lightning Rod
Rock Head (Hidden)",,56,56,Mankey
Ultra Burst,Dusk Mane Necrozma,Psychic  Steel,Prism Armor,Psychic  Dragon,Neuroforce,Ultranecrozium Z,57,57,Primeape
Ultra Burst,Dawn Wings Necrozma,Psychic  Steel,Prism Armor,Psychic  Dragon,Neuroforce,Ultranecrozium Z,58,58,Growlithe
,,,,,,,59,59,Arcanine
,,,,,,,60,60,Poliwag
,,,,,,,61,61,Poliwhirl
,,,,,,,62,62,Poliwrath
,,,,,,,63,63,Abra
,,,,,,,64,64,Kadabra
,,,,,,,65,65,Alakazam
,,,,,,,65,065M,Alakazam (Mega Alakazam)
,,,,,,,66,66,Machop
,,,,,,,67,67,Machoke
,,,,,,,68,68,Machamp
,,,,,,,69,69,Bellsprout
,,,,,,,70,70,Weepinbell
,,,,,,,71,71,Victreebel
,,,,,,,72,72,Tentacool
,,,,,,,73,73,Tentacruel
,,,,,,,74,74,Geodude
,,,,,,,74,074A,Geodude (Alolan Geodude)
,,,,,,,75,75,Graveler
,,,,,,,75,075A,Graveler (Alolan Graveler)
,,,,,,,76,76,Golem
,,,,,,,76,076A,Golem (Alolan Golem)
,,,,,,,77,77,Ponyta
,,,,,,,78,78,Rapidash
,,,,,,,79,79,Slowpoke
,,,,,,,80,80,Slowbro
,,,,,,,80,080M,Slowbro (Mega Slowbro)
,,,,,,,81,81,Magnemite
,,,,,,,82,82,Magneton
,,,,,,,83,83,Farfetch'd
,,,,,,,84,84,Doduo
,,,,,,,85,85,Dodrio
,,,,,,,86,86,Seel
,,,,,,,87,87,Dewgong
,,,,,,,88,88,Grimer
,,,,,,,88,088A,Grimer (Alolan Grimer)
,,,,,,,89,89,Muk
,,,,,,,89,089A,Muk (Alolan Muk)
,,,,,,,90,90,Shellder
,,,,,,,91,91,Cloyster
,,,,,,,92,92,Gastly
,,,,,,,93,93,Haunter
,,,,,,,94,94,Gengar
,,,,,,,94,094M,Gengar (Mega Gengar)
,,,,,,,95,95,Onix
,,,,,,,96,96,Drowzee
,,,,,,,97,97,Hypno
,,,,,,,98,98,Krabby
,,,,,,,99,99,Kingler
,,,,,,,100,100,Voltorb
,,,,,,,101,101,Electrode
,,,,,,,102,102,Exeggcute
,,,,,,,103,103,Exeggutor
,,,,,,,103,103A,Exeggutor (Alolan Exeggutor)
,,,,,,,104,104,Cubone
,,,,,,,105,105,Marowak
,,,,,,,105,105A,Marowak (Alolan Marowak)
,,,,,,,106,106,Hitmonlee
,,,,,,,107,107,Hitmonchan
,,,,,,,108,108,Lickitung
,,,,,,,109,109,Koffing
,,,,,,,110,110,Weezing
,,,,,,,111,111,Rhyhorn
,,,,,,,112,112,Rhydon
,,,,,,,113,113,Chansey
,,,,,,,114,114,Tangela
,,,,,,,115,115,Kangaskhan
,,,,,,,115,115M,Kangaskhan (Mega Kangaskhan)
,,,,,,,116,116,Horsea
,,,,,,,117,117,Seadra
,,,,,,,118,118,Goldeen
,,,,,,,119,119,Seaking
,,,,,,,120,120,Staryu
,,,,,,,121,121,Starmie
,,,,,,,122,122,Mr. Mime
,,,,,,,123,123,Scyther
,,,,,,,124,124,Jynx
,,,,,,,125,125,Electabuzz
,,,,,,,126,126,Magmar
,,,,,,,127,127,Pinsir
,,,,,,,127,127M,Pinsir (Mega Pinsir)
,,,,,,,128,128,Tauros
,,,,,,,129,129,Magikarp
,,,,,,,130,130,Gyarados
,,,,,,,130,130M,Gyarados (Mega Gyarados)
,,,,,,,131,131,Lapras
,,,,,,,132,132,Ditto
,,,,,,,133,133,Eevee
,,,,,,,133,133Pa,Eevee (Partner Eevee)
,,,,,,,134,134,Vaporeon
,,,,,,,135,135,Jolteon
,,,,,,,136,136,Flareon
,,,,,,,137,137,Porygon
,,,,,,,138,138,Omanyte
,,,,,,,139,139,Omastar
,,,,,,,140,140,Kabuto
,,,,,,,141,141,Kabutops
,,,,,,,142,142,Aerodactyl
,,,,,,,142,142M,Aerodactyl (Mega Aerodactyl)
,,,,,,,143,143,Snorlax
,,,,,,,144,144,Articuno
,,,,,,,145,145,Zapdos
,,,,,,,146,146,Moltres
,,,,,,,147,147,Dratini
,,,,,,,148,148,Dragonair
,,,,,,,149,149,Dragonite
,,,,,,,150,150,Mewtwo
,,,,,,,150,150MX,Mewtwo (Mega Mewtwo X)
,,,,,,,150,150MY,Mewtwo (Mega Mewtwo Y)
,,,,,,,151,151,Mew
,,,,,,,152,152,Chikorita
,,,,,,,153,153,Bayleef
,,,,,,,154,154,Meganium
,,,,,,,155,155,Cyndaquil
,,,,,,,156,156,Quilava
,,,,,,,157,157,Typhlosion
,,,,,,,158,158,Totodile
,,,,,,,159,159,Croconaw
,,,,,,,160,160,Feraligatr
,,,,,,,161,161,Sentret
,,,,,,,162,162,Furret
,,,,,,,163,163,Hoothoot
,,,,,,,164,164,Noctowl
,,,,,,,165,165,Ledyba
,,,,,,,166,166,Ledian
,,,,,,,167,167,Spinarak
,,,,,,,168,168,Ariados
,,,,,,,169,169,Crobat
,,,,,,,170,170,Chinchou
,,,,,,,171,171,Lanturn
,,,,,,,172,172,Pichu
,,,,,,,173,173,Cleffa
,,,,,,,174,174,Igglybuff
,,,,,,,175,175,Togepi
,,,,,,,176,176,Togetic
,,,,,,,177,177,Natu
,,,,,,,178,178,Xatu
,,,,,,,179,179,Mareep
,,,,,,,180,180,Flaaffy
,,,,,,,181,181,Ampharos
,,,,,,,181,181M,Ampharos (Mega Ampharos)
,,,,,,,182,182,Bellossom
,,,,,,,183,183,Marill
,,,,,,,184,184,Azumarill
,,,,,,,185,185,Sudowoodo
,,,,,,,186,186,Politoed
,,,,,,,187,187,Hoppip
,,,,,,,188,188,Skiploom
,,,,,,,189,189,Jumpluff
,,,,,,,190,190,Aipom
,,,,,,,191,191,Sunkern
,,,,,,,192,192,Sunflora
,,,,,,,193,193,Yanma
,,,,,,,194,194,Wooper
,,,,,,,195,195,Quagsire
,,,,,,,196,196,Espeon
,,,,,,,197,197,Umbreon
,,,,,,,198,198,Murkrow
,,,,,,,199,199,Slowking
,,,,,,,200,200,Misdreavus
,,,,,,,201,201,Unown
,,,,,,,202,202,Wobbuffet
,,,,,,,203,203,Girafarig
,,,,,,,204,204,Pineco
,,,,,,,205,205,Forretress
,,,,,,,206,206,Dunsparce
,,,,,,,207,207,Gligar
,,,,,,,208,208,Steelix
,,,,,,,208,208M,Steelix (Mega Steelix)
,,,,,,,209,209,Snubbull
,,,,,,,210,210,Granbull
,,,,,,,211,211,Qwilfish
,,,,,,,212,212,Scizor
,,,,,,,212,212M,Scizor (Mega Scizor)
,,,,,,,213,213,Shuckle
,,,,,,,214,214,Heracross
,,,,,,,214,214M,Heracross (Mega Heracross)
,,,,,,,215,215,Sneasel
,,,,,,,216,216,Teddiursa
,,,,,,,217,217,Ursaring
,,,,,,,218,218,Slugma
,,,,,,,219,219,Magcargo
,,,,,,,220,220,Swinub
,,,,,,,221,221,Piloswine
,,,,,,,222,222,Corsola
,,,,,,,223,223,Remoraid
,,,,,,,224,224,Octillery
,,,,,,,225,225,Delibird
,,,,,,,226,226,Mantine
,,,,,,,227,227,Skarmory
,,,,,,,228,228,Houndour
,,,,,,,229,229,Houndoom
,,,,,,,229,229M,Houndoom (Mega Houndoom)
,,,,,,,230,230,Kingdra
,,,,,,,231,231,Phanpy
,,,,,,,232,232,Donphan
,,,,,,,233,233,Porygon2
,,,,,,,234,234,Stantler
,,,,,,,235,235,Smeargle
,,,,,,,236,236,Tyrogue
,,,,,,,237,237,Hitmontop
,,,,,,,238,238,Smoochum
,,,,,,,239,239,Elekid
,,,,,,,240,240,Magby
,,,,,,,241,241,Miltank
,,,,,,,242,242,Blissey
,,,,,,,243,243,Raikou
,,,,,,,244,244,Entei
,,,,,,,245,245,Suicune
,,,,,,,246,246,Larvitar
,,,,,,,247,247,Pupitar
,,,,,,,248,248,Tyranitar
,,,,,,,248,248M,Tyranitar (Mega Tyranitar)
,,,,,,,249,249,Lugia
,,,,,,,250,250,Ho-Oh
,,,,,,,251,251,Celebi
,,,,,,,252,252,Treecko
,,,,,,,253,253,Grovyle
,,,,,,,254,254,Sceptile
,,,,,,,254,254M,Sceptile (Mega Sceptile)
,,,,,,,255,255,Torchic
,,,,,,,256,256,Combusken
,,,,,,,257,257,Blaziken
,,,,,,,257,257M,Blaziken (Mega Blaziken)
,,,,,,,258,258,Mudkip
,,,,,,,259,259,Marshtomp
,,,,,,,260,260,Swampert
,,,,,,,260,260M,Swampert (Mega Swampert)
,,,,,,,261,261,Poochyena
,,,,,,,262,262,Mightyena
,,,,,,,263,263,Zigzagoon
,,,,,,,264,264,Linoone
,,,,,,,265,265,Wurmple
,,,,,,,266,266,Silcoon
,,,,,,,267,267,Beautifly
,,,,,,,268,268,Cascoon
,,,,,,,269,269,Dustox
,,,,,,,270,270,Lotad
,,,,,,,271,271,Lombre
,,,,,,,272,272,Ludicolo
,,,,,,,273,273,Seedot
,,,,,,,274,274,Nuzleaf
,,,,,,,275,275,Shiftry
,,,,,,,276,276,Taillow
,,,,,,,277,277,Swellow
,,,,,,,278,278,Wingull
,,,,,,,279,279,Pelipper
,,,,,,,280,280,Ralts
,,,,,,,281,281,Kirlia
,,,,,,,282,282,Gardevoir
,,,,,,,282,282M,Gardevoir (Mega Gardevoir)
,,,,,,,283,283,Surskit
,,,,,,,284,284,Masquerain
,,,,,,,285,285,Shroomish
,,,,,,,286,286,Breloom
,,,,,,,287,287,Slakoth
,,,,,,,288,288,Vigoroth
,,,,,,,289,289,Slaking
,,,,,,,290,290,Nincada
,,,,,,,291,291,Ninjask
,,,,,,,292,292,Shedinja
,,,,,,,293,293,Whismur
,,,,,,,294,294,Loudred
,,,,,,,295,295,Exploud
,,,,,,,296,296,Makuhita
,,,,,,,297,297,Hariyama
,,,,,,,298,298,Azurill
,,,,,,,299,299,Nosepass
,,,,,,,300,300,Skitty
,,,,,,,301,301,Delcatty
,,,,,,,302,302,Sableye
,,,,,,,302,302M,Sableye (Mega Sableye)
,,,,,,,303,303,Mawile
,,,,,,,303,303M,Mawile (Mega Mawile)
,,,,,,,304,304,Aron
,,,,,,,305,305,Lairon
,,,,,,,306,306,Aggron
,,,,,,,306,306M,Aggron (Mega Aggron)
,,,,,,,307,307,Meditite
,,,,,,,308,308,Medicham
,,,,,,,308,308M,Medicham (Mega Medicham)
,,,,,,,309,309,Electrike
,,,,,,,310,310,Manectric
,,,,,,,310,310M,Manectric (Mega Manectric)
,,,,,,,311,311,Plusle
,,,,,,,312,312,Minun
,,,,,,,313,313,Volbeat
,,,,,,,314,314,Illumise
,,,,,,,315,315,Roselia
,,,,,,,316,316,Gulpin
,,,,,,,317,317,Swalot
,,,,,,,318,318,Carvanha
,,,,,,,319,319,Sharpedo
,,,,,,,319,319M,Sharpedo (Mega Sharpedo)
,,,,,,,320,320,Wailmer
,,,,,,,321,321,Wailord
,,,,,,,322,322,Numel
,,,,,,,323,323,Camerupt
,,,,,,,323,323M,Camerupt (Mega Camerupt)
,,,,,,,324,324,Torkoal
,,,,,,,325,325,Spoink
,,,,,,,326,326,Grumpig
,,,,,,,327,327,Spinda
,,,,,,,328,328,Trapinch
,,,,,,,329,329,Vibrava
,,,,,,,330,330,Flygon
,,,,,,,331,331,Cacnea
,,,,,,,332,332,Cacturne
,,,,,,,333,333,Swablu
,,,,,,,334,334,Altaria
,,,,,,,334,334M,Altaria (Mega Altaria)
,,,,,,,335,335,Zangoose
,,,,,,,336,336,Seviper
,,,,,,,337,337,Lunatone
,,,,,,,338,338,Solrock
,,,,,,,339,339,Barboach
,,,,,,,340,340,Whiscash
,,,,,,,341,341,Corphish
,,,,,,,342,342,Crawdaunt
,,,,,,,343,343,Baltoy
,,,,,,,344,344,Claydol
,,,,,,,345,345,Lileep
,,,,,,,346,346,Cradily
,,,,,,,347,347,Anorith
,,,,,,,348,348,Armaldo
,,,,,,,349,349,Feebas
,,,,,,,350,350,Milotic
,,,,,,,351,351,Castform
,,,,,,,352,352,Kecleon
,,,,,,,353,353,Shuppet
,,,,,,,354,354,Banette
,,,,,,,354,354M,Banette (Mega Banette)
,,,,,,,355,355,Duskull
,,,,,,,356,356,Dusclops
,,,,,,,357,357,Tropius
,,,,,,,358,358,Chimecho
,,,,,,,359,359,Absol
,,,,,,,359,359M,Absol (Mega Absol)
,,,,,,,360,360,Wynaut
,,,,,,,361,361,Snorunt
,,,,,,,362,362,Glalie
,,,,,,,362,362M,Glalie (Mega Glalie)
,,,,,,,363,363,Spheal
,,,,,,,364,364,Sealeo
,,,,,,,365,365,Walrein
,,,,,,,366,366,Clamperl
,,,,,,,367,367,Huntail
,,,,,,,368,368,Gorebyss
,,,,,,,369,369,Relicanth
,,,,,,,370,370,Luvdisc
,,,,,,,371,371,Bagon
,,,,,,,372,372,Shelgon
,,,,,,,373,373,Salamence
,,,,,,,373,373M,Salamence (Mega Salamence)
,,,,,,,374,374,Beldum
,,,,,,,375,375,Metang
,,,,,,,376,376,Metagross
,,,,,,,376,376M,Metagross (Mega Metagross)
,,,,,,,377,377,Regirock
,,,,,,,378,378,Regice
,,,,,,,379,379,Registeel
,,,,,,,380,380,Latias
,,,,,,,380,380M,Latias (Mega Latias)
,,,,,,,381,381,Latios
,,,,,,,381,381M,Latios (Mega Latios)
,,,,,,,382,382,Kyogre
,,,,,,,382,382P,Kyogre (Primal Kyogre)
,,,,,,,383,383,Groudon
,,,,,,,383,383P,Groudon (Primal Groudon)
,,,,,,,384,384,Rayquaza
,,,,,,,384,384M,Rayquaza (Mega Rayquaza)
,,,,,,,385,385,Jirachi
,,,,,,,386,386,Deoxys (Normal Forme)
,,,,,,,386,386A,Deoxys (Attack Forme)
,,,,,,,386,386D,Deoxys (Defense Forme)
,,,,,,,386,386S,Deoxys (Speed Forme)
,,,,,,,387,387,Turtwig
,,,,,,,388,388,Grotle
,,,,,,,389,389,Torterra
,,,,,,,390,390,Chimchar
,,,,,,,391,391,Monferno
,,,,,,,392,392,Infernape
,,,,,,,393,393,Piplup
,,,,,,,394,394,Prinplup
,,,,,,,395,395,Empoleon
,,,,,,,396,396,Starly
,,,,,,,397,397,Staravia
,,,,,,,398,398,Staraptor
,,,,,,,399,399,Bidoof
,,,,,,,400,400,Bibarel
,,,,,,,401,401,Kricketot
,,,,,,,402,402,Kricketune
,,,,,,,403,403,Shinx
,,,,,,,404,404,Luxio
,,,,,,,405,405,Luxray
,,,,,,,406,406,Budew
,,,,,,,407,407,Roserade
,,,,,,,408,408,Cranidos
,,,,,,,409,409,Rampardos
,,,,,,,410,410,Shieldon
,,,,,,,411,411,Bastiodon
,,,,,,,412,412,Burmy
,,,,,,,413,413,Wormadam (Plant Cloak)
,,,,,,,413,413G,Wormadam (Sandy Cloak)
,,,,,,,413,413S,Wormadam (Trash Cloak)
,,,,,,,414,414,Mothim
,,,,,,,415,415,Combee
,,,,,,,416,416,Vespiquen
,,,,,,,417,417,Pachirisu
,,,,,,,418,418,Buizel
,,,,,,,419,419,Floatzel
,,,,,,,420,420,Cherubi
,,,,,,,421,421,Cherrim
,,,,,,,422,422,Shellos
,,,,,,,423,423,Gastrodon
,,,,,,,424,424,Ambipom
,,,,,,,425,425,Drifloon
,,,,,,,426,426,Drifblim
,,,,,,,427,427,Buneary
,,,,,,,428,428,Lopunny
,,,,,,,428,428M,Lopunny (Mega Lopunny)
,,,,,,,429,429,Mismagius
,,,,,,,430,430,Honchkrow
,,,,,,,431,431,Glameow
,,,,,,,432,432,Purugly
,,,,,,,433,433,Chingling
,,,,,,,434,434,Stunky
,,,,,,,435,435,Skuntank
,,,,,,,436,436,Bronzor
,,,,,,,437,437,Bronzong
,,,,,,,438,438,Bonsly
,,,,,,,439,439,Mime Jr.
,,,,,,,440,440,Happiny
,,,,,,,441,441,Chatot
,,,,,,,442,442,Spiritomb
,,,,,,,443,443,Gible
,,,,,,,444,444,Gabite
,,,,,,,445,445,Garchomp
,,,,,,,445,445M,Garchomp (Mega Garchomp)
,,,,,,,446,446,Munchlax
,,,,,,,447,447,Riolu
,,,,,,,448,448,Lucario
,,,,,,,448,448M,Lucario (Mega Lucario)
,,,,,,,449,449,Hippopotas
,,,,,,,450,450,Hippowdon
,,,,,,,451,451,Skorupi
,,,,,,,452,452,Drapion
,,,,,,,453,453,Croagunk
,,,,,,,454,454,Toxicroak
,,,,,,,455,455,Carnivine
,,,,,,,456,456,Finneon
,,,,,,,457,457,Lumineon
,,,,,,,458,458,Mantyke
,,,,,,,459,459,Snover
,,,,,,,460,460,Abomasnow
,,,,,,,460,460M,Abomasnow (Mega Abomasnow)
,,,,,,,461,461,Weavile
,,,,,,,462,462,Magnezone
,,,,,,,463,463,Lickilicky
,,,,,,,464,464,Rhyperior
,,,,,,,465,465,Tangrowth
,,,,,,,466,466,Electivire
,,,,,,,467,467,Magmortar
,,,,,,,468,468,Togekiss
,,,,,,,469,469,Yanmega
,,,,,,,470,470,Leafeon
