Name,Gen,Description,English,Japanese Kana,Japanese Rōmaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized
Aggronite,VI,Allows Aggron to Mega Evolve into Mega Aggron.,Yellow Shard,きいろいかけら,Kiiroi Kakera,Tesson Jaune,Gelbstück,Coccio Giallo*,Parte Amarilla*,노랑조각,Norang Jogak,黃色碎片 / 黄色碎片,Huángsè Suìpiàn / Wòhngsīk Seuipin
Aguav Berry,III,"When HP falls below 25%, restores 50% HP, but confuses Pokémon that dislike bitter food (12.5% when below 50% before Gen. VII).",Green Shard,みどりのかけら,Midori no Kakera,Tesson Vert,Grünstück,Coccio Verde,Parte Verde,초록조각,Chorok Jogak,綠色碎片 / 绿色碎片,Lǜsè Suìpiàn / Luhksīk Seuipin
Air Balloon,V,Gives the holder an immunity to Ground-type moves but is popped when the holder is hit by any non-Ground-type attacks.,Exp. Share*,がくしゅうそうち,Gakushū Sōchi,Multi Exp,EP-Teiler,Condividi Esp.*,Repartir Exp,학습장치,Hakseup Jangchi,學習裝置 / 学习装置,Xuéxí Zhuāngzhì / Hohkjaahp Jōngji
Air Mail,IV,A red- and blue-striped stationery. To be held by a Pokémon for delivery.,Normal Box,きのはこ,Ki no Hako,Coffre Normal,Schachtel,Scat. Normale,Caja Normal,나무상자,Namu Sangja,—,—
Alakazite,VI,Allows Alakazam to Mega Evolve into Mega Alakazam.,Gorgeous Box,きりのはこ,Kiri no Hako,Coffre Luxe,Schatulle,Scat. Lusso,Caja Grande,오동나무상자,Odongnamu Sangja,—,—
Aloraichium Z,VII,Allows Alolan Raichu to upgrade Thunderbolt to the special Z-Move Stoked Sparksurfer.,Slowpoke Tail*,おいしいシッポ,Oishii Shippo,Queueramolos,Flegmonrute,Codaslowpoke,Colaslowpoke,맛있는꼬리,Masinneun Kkori,美味尾巴,Měiwèi Wěiba/Měiwèi Yǐba / Méihmeih Méihbā
Altarianite,VI,Allows Altaria to Mega Evolve into Mega Altaria.,Honey,あまいミツ,Amai Mitsu,Miel,Honig,Miele,Miel,달콤한꿀,Dalkomhan Kkul,甜甜蜜,Tiántián Mì / Tìhmtìhm Maht
Amaze Mulch,VI,"Combines the effects of Boost Mulch, Rich Mulch, and Surprise Mulch: Causes an applied Berry patch's soil to dry quicker, increases final Berry harvest by 2 Berries, and makes Berry mutations more likely.",Time Flute,ときのふえ,Toki no Fue,Flute du Temps,Zeitflöte,Flauto Tempo,Fl. Tiempo,—,—,—,—
Ampharosite,VI,Allows Ampharos to Mega Evolve into Mega Ampharos.,Poké Snack,ポケまんま,Poké Manma,Poké Snack,Pokésnack,Poké Snack,Poké Dulce,—,—,—,—
Amulet Coin,II,Doubles the earned money after a battle against a Trainer.,Growth Mulch,すくすくこやし,Sukusuku Koyashi,Fertipousse,Wachsmulch,Fertilrapido,Abono Rápido,무럭무럭비료,Mureokmureok Biryo,速速肥,Sùsù Féi / Chūkchūk Fèih
Antidote,I,Heals the poisoning of a Pokémon.,Damp Mulch,じめじめこやし,Jimejime Koyashi,Fertihumide,Feuchtmulch,Fertilidro,Abono Lento,축축이비료,Chukchug'i Biryo,濕濕肥 / 湿湿肥,Shīshī Féi / Sāpsāp Fèih
Apicot Berry,III,Raises Special Defense when HP is below ⅓.,Stable Mulch,ながながこやし,Naganaga Koyashi,Fertistable,Stabilmulch,Fertilsaldo,Abono Fijador*,오래오래비료,Orae-orae Biryo,久久肥,Jiǔjiǔ Féi / Gáugáu Fèih
Apricorn Box,IV,Contains Apricorns.,Gooey Mulch,ねばねばこやし,Nebaneba Koyashi,Fertiglu,Neumulch,Fertilcolla,Abono Brote,끈적끈적비료,Kkeunjeok-kkeunjeok Biryo,黏黏肥 / 粘粘肥,Niánnián Féi / Nīmnīm Fèih
Aqua Suit,VI,Allows the player to ride Kyogre in the Cave of Origin and fly into space on Rayquaza.,Root Fossil,ねっこのカセキ,Nekko no Kaseki,Fossile Racine*,Wurzelfossil,Radifossile,Fósil Raíz,뿌리화석,Ppuri Hwaseok,根狀化石 / 根状化石,Gēnzhuàng Huàshí / Gānjohng Fasehk
Armor Fossil,IV,A Fossil from which a Shieldon can be resurrected.,Claw Fossil,ツメのカセキ,Tsume no Kaseki,Fossile Griffe*,Klauenfossil,Fossilunghia,Fósil Garra,발톱화석,Baltop Hwaseok,爪子化石,Zhuǎzi Huàshí / Jáaují Fasehk
Aspear Berry,III,Removes the frozen condition from a Pokémon.,Helix Fossil,かいのカセキ,Kai no Kaseki,Fossile Nautile,Helixfossil,Helixfossile,Fósil Helix,조개화석,Jogae Hwaseok,貝殼化石 / 贝壳化石,Bèiké Huàshí / Buihok Fasehk
Assault Vest,VI,Raises Sp. Def but prevents the use of status moves.,Dome Fossil,こうらのカセキ,Kōra no Kaseki,Fossile Dôme*,Domfossil,Domofossile,Fósil Domo,껍질화석,Kkeopjil Hwaseok,甲殼化石 / 甲壳化石,Jiǎké Huàshí / Gaaphok Fasehk
Audinite,VI,Allows Audino to Mega Evolve into Mega Audino.,Old Amber,ひみつのコハク,Himitsu no Kohaku,Vieil Ambre,Altbernstein,Ambra Antica,Ambar Viejo,비밀의호박,Bimirui Hobak,秘密琥珀,Mìmì Hǔpò / Beimaht Fúpaak
AuroraTicket,III,Event item that allows player to catch Deoxys.,Armor Fossil,たてのカセキ,Tate no Kaseki,Fossile Armure*,Panzerfossil,Fossilscudo,Fósil Coraza,방패의화석,Bangpae-ui Hwaseok,盾甲化石,Dùnjiǎ Huàshí / Téuhngaap Fasehk
Awakening,I,Awakens a sleeping Pokémon.,Skull Fossil,ずがいのカセキ,Zugai no Kaseki,Fossile Crâne*,Kopffossil,Fossilcranio,Fósil Cráneo,두개의화석,Dugae-ui Hwaseok,頭蓋化石 / 头盖化石,Tóugài Huàshí / Tàuhgoi Fasehk
Azure Flute,IV,Key Item used to access the Hall of Origin and face Arceus.,Odd Keystone,かなめいし,Kaname Ishi,Clé de Voûte,Spiritkern,Roccianima,Piedra Espíritu*,쐐기돌,Sswaegi Dol,楔石,Xiē Shí / Sit Sehk
,,,Cover Fossil,ふたのカセキ,Futa no Kaseki,Fossile Plaque*,Schildfossil,Fossiltappo,Fósil Tapa,덮개화석,Deopgae Hwaseok,背蓋化石 / 背盖化石,Bèigài Huàshí / Buihgoi Fasehk
,,,Plume Fossil,はねのカセキ,Hane no Kaseki,Fossile Plume*,Federfossil,Fossilpiuma,Fósil Pluma,날개화석,Nalgae Hwaseok,羽毛化石,Yǔmáo Huàshí / Yúhmòuh Fasehk
Babiri Berry,IV,Reduces damage from a super effective Steel-type move by 50%.,Pass Orb,デルダマ,Derudama,Offrisphère,Transferorb,Passabilia,Regalosfera,딜구슬,Dil Guseul,釋出之玉 / 释出之玉,Shìchū-zhī Yù / Sīkchēut-jī Yúk
Balm Mushroom,V,"Can be sold for 25000.
Note: Formatted as BalmMushroom in Generation V.",Ability Capsule,とくせいカプセル,Tokusei Capsule,Pilule Talent,Fähigk.-Kapsel,Capsula Abilità,Cáps. Habilidad,특성캡슐,Teukseong Capsule,特性膠囊 / 特性胶囊,Tèxìng Jiāonáng / Dahksing Gāaunòhng
Banettite,VI,Allows Banette to Mega Evolve into Mega Banette.,Rich Mulch,たわわこやし,Tawawa Koyashi,Fertibondance,Sprießmulch,Fertilflorido,Abono Fértil,주렁주렁비료,Jureong-jureong Biryo,碩果肥 / 硕果肥,Shuòguǒ Féi / Sehkgwó Fèih
Basement Key,II,Allows the player to access the basement of the Goldenrod Tunnel.,Surprise Mulch,びっくりこやし,Bikkuri Koyashi,Fertistantané,Wundermulch,Fertilsorpresa,Abono Sorpresa,깜놀비료,Kkamnol Biryo,吃驚肥 / 吃惊肥,Chījīng Féi / Hekgīng Fèih
Basement Key,III,Allows the player to access New Mauville.,Boost Mulch,ぐんぐんこやし,Gungun Koyashi,Fertibérance,Wuchermulch,Fertilcopioso,Abono Fructífero,부쩍부쩍비료,Bujjeok-bujjeok Biryo,勁勁肥 / 劲劲肥,Jìnjìn Féi / Gihnggihng Fèih
Bead Mail,III,A bead-printed stationery. To be held by a Pokémon for delivery.,Amaze Mulch,とんでもこやし,Tondemo Koyashi,Fertiprodige,Ultramulch,Fertilprodigio,Abono Insólito,기절초풍비료,Gijeolchopung Biryo,超效肥,Chāoxiào Féi / Chīuhaauh Fèih
Beast Ball,VII,Allows the player to catch wild Pokémon; works better on Ultra Beasts.,Discount Coupon,バーゲンチケット,Bargain Ticket,Bon Réduction,Rabattmarke,Buono sconto,Vale Descuento,바겐세일티켓,Bargain Ticket,折價券 / 折价券,Zhéjià Quàn / Jitga Gyun
Beedrillite,VI,Allows Beedrill to Mega Evolve into Mega Beedrill.,Strange Souvenir,ふしぎなおきもの,Fushigina Okimono,Bibelot Bizarre,Skurriloskulptur,Strano ninnolo,Estatuilla Rara,이상한장식품,Isanghae Jangsikpum,神秘擺設 / 神秘摆设,Shénmì Bǎishè / Sàhnbei Báaichit
Belue Berry,III,Poffin and Pokéblock ingredient.,Jaw Fossil,アゴのカセキ,Ago no Kaseki,Fossile Mâchoire,Kieferfossil,Fossilmascella,Fósil Mandíbula,턱화석,Teok Hwaseok,顎之化石 / 颚之化石,È-zhī Huàshí / Ngohk-jī Fasehk
Berry,II,Restores 10 HP. A Pokémon can use it automatically if it is holding it.,Sail Fossil,ヒレのカセキ,Hire no Kaseki,Fossile Nageoire,Flossenfossil,Fossilpinna,Fósil Aleta,지느러미화석,Jineuleomi Hwaseok,鰭之化石 / 鳍之化石,Qí-zhī Huàshí / Kèih-jī Fasehk
Berry Juice,II,Restores 20 HP.,Bottle Cap,ぎんのおうかん,Gin no Ōkan,Capsule d'Argent,Silberkronkorken,Tappo d'argento,Chapa Plateada,은왕관,Eun Wanggwan,銀色王冠 / 银色王冠,Yínsè Wángguān / Ngàhnsīk Wòhnggūn
Berry Pots,IV,Allows Berry growth while traveling.,Gold Bottle Cap,きんのおうかん,Kin no Ōkan,Capsule d'Or,Goldkronkorken,Tappo d'oro,Chapa Dorada,금왕관,Geum Wanggwan,金色王冠,Jīnsè Wángguān / Gāmsīk Wòhnggūn
Berry Pouch,III,Holds Berries.,Festival Ticket,フェスチケット,Fest Ticket,Festicket,Festival-Ticket,Festicket,Festicupón,페스티켓,Fest Ticket,圓慶票 / 圆庆票,Yuánqìng Piào / Yùhnhing Piu
Berserk Gene,II,Confuses the holder and raises Attack.,Red Nectar,くれないのミツ,Kurenai no Mitsu,Nectar Rouge,Roter Nektar,Nettare rosso,Néctar Rojo,다홍꿀,Dahong Kkul,朱紅色花蜜,Zhūhóng-sè Huāmì / Jyūhùhng-sīk Fāmaht
Bicycle,I,"Can be used to travel quickly. Cannot be ridden in swamps, or in very tall grass.",Yellow Nectar,やまぶきのミツ,Yamabuki no Mitsu,Nectar Jaune,Gelber Nektar,Nettare giallo,Néctar Amarillo,진노랑꿀,Jinnorang Kkul,金黃色花蜜 / 金黄色花蜜,Jīnhuáng-sè Huāmì / Gāmwòhng-sīk Fāmaht
Big Malasada,VII,"Used to heal poison, paralysis, sleep, burn, freeze, and confusion.",Pink Nectar,うすもものミツ,Usumomo no Mitsu,Nectar Rose,Rosa Nektar,Nettare rosa,Néctar Rosa,연분홍꿀,Yeonbunhong Kkul,桃粉色花蜜,Táofěn-sè Huāmì / Tòuhfán-sīk Fāmaht
Big Mushroom,II,Can be sold for 2500.,Purple Nectar,むらさきのミツ,Murasaki no Mitsu,Nectar Mauve,Purpurner Nektar,Nettare viola,Néctar Violeta,보라꿀,Bora Kkul,蘭紫色花蜜 / 兰紫色花蜜,Lánzǐ-sè Huāmì / Làahnjí-sīk Fāmaht
Big Nugget,V,Can be sold for 30000.,,,,,,,,,,,
Big Pearl,II,Can be sold for 3750.,Sun Stone,たいようのいし,Taiyō no Ishi,Pierre Soleil*,Sonnenstein,Pietrasolare,Piedra Solar,태양의돌,Taeyang-ui Dol,日之石,Rì-zhī Shí / Yaht-jī Sehk
Big Root,IV,Increases the amount of HP restored when an HP-draining move is used by 30%.,Moon Stone,つきのいし,Tsuki no Ishi,Pierre Lune,Mondstein,Pietralunare,Piedra Lunar,달의돌,Dar-ui Dol,月之石,Yuè-zhī Shí / Yuht-jī Sehk
Bike Voucher,I,Used to pay for a Bicycle.,Fire Stone,ほのおのいし,Honō no Ishi,Pierre Feu,Feuerstein,Pietrafocaia,Piedra Fuego,불꽃의돌,Bulkkoch-ui Dol,火之石,Huǒ-zhī Shí / Fó-jī Sehk
Binding Band,V,Increases the end of turn damage of partially trapping moves from 1/16 to ⅛ of the target's maximum HP.,Thunder Stone*,かみなりのいし,Kaminari no Ishi,Pierre Foudre*,Donnerstein,Pietratuono,Piedra Trueno*,천둥의돌,Cheondung-ui Dol,雷之石,Léi-zhī Shí / Lèuih-jī Sehk
Bitter Berry,II,Heals confusion.,Water Stone,みずのいし,Mizu no Ishi,Pierre Eau,Wasserstein,Pietraidrica,Piedra Agua,물의돌,Murui Dol,水之石,Shuǐ-zhī Shí / Séui-jī Sehk
Black Apricorn,II,"If taken to Kurt, he will make the player a Fast Ball. Also, Apricorn Drink ingredient.
Note: Formatted as Blk Apricorn prior to Generation VI.",Leaf Stone,リーフのいし,Leaf no Ishi,Pierre Plante*,Blattstein,Pietrafoglia,Piedra Hoja,리프의돌,Leaf-ui Dol,葉之石 / 叶之石,Yè-zhī Shí / Yihp-jī Sehk
Black Belt,II,"Raises the power of Fighting-type moves.
Note: Formatted as Blackbelt in Generation II.",Shiny Stone,ひかりのいし,Hikari no Ishi,Pierre Éclat,Leuchtstein,Pietrabrillo,Piedra Día,빛의돌,Bichui Dol,光之石,Guāng-zhī Shí / Gwōng-jī Sehk
Black Glasses,II,"Raises the power of Dark-type moves.
Note: Formatted as BlackGlasses prior to Generation VI.",Dusk Stone,やみのいし,Yami no Ishi,Pierre Nuit,Finsterstein,Neropietra,Piedra Noche,어둠의돌,Eodumui Dol,暗之石,Àn-zhī Shí / Am-jī Sehk
Black Flute,III,Repels wild Pokémon.RSEFRLGDPPtHGSS Can be sold for 8000.BWB2W2 Increases the level of wild Pokémon by one to three levels.ORAS,Dawn Stone,めざめいし,Mezame Ishi,Pierre Aube,Funkelstein,Pietralbore,Piedra Alba,각성의돌,Gakseong-ui Dol,覺醒之石 / 觉醒之石,Juéxǐng-zhī Shí / Gokséng-jī Sehk
Black Sludge,IV,Restores 1/16 of the Pokémon's maximum HP each turn when held by Poison-type Pokémon; damages all other types by ⅛ of maximum HP each turn.,Ice Stone,こおりのいし,Kōri no Ishi,Pierre Glace,Eisstein,Pietragelo,Piedra Hielo,얼음의돌,Eoreum-ui Dol,冰之石,Bīng-zhī Shí / Bīng-jī Sehk
Blastoisinite,VI,Allows Blastoise to Mega Evolve into Mega Blastoise.,,,,,,,,,,,
Blazikenite,VI,Allows Blaziken to Mega Evolve into Mega Blaziken.,Tiny Mushroom*,ちいさなキノコ,Chiisana Kinoko,Petit Champi,Minipilz,Piccolo Fungo,Mini Seta,작은버섯,Jageun Beoseot,小蘑菇,Xiǎo Mógū / Síu Mòhgū
Bloom Mail,IV,A flower-printed stationery. To be held by a Pokémon for delivery.,Big Mushroom,おおきなキノコ,Ōkina Kinoko,Gros Champi,Riesenpilz,Grande Fungo,Seta Grande,큰버섯,Keun Beoseot,大蘑菇,Dà Mógū / Daaih Mòhgū
Blue Apricorn,II,"If taken to Kurt, he will make the player a Lure Ball. Also, Apricorn Drink ingredient.
Note: Formatted as Blu Apricorn prior to Generation VI.",Pearl,しんじゅ,Shinju,Perle,Perle,Perla,Perla,진주,Jinju,珍珠,Zhēnzhū / Jānjyū
Blue Card,II,Allows player to answer daily question on Buena's show to get points exchangeable for items.,Big Pearl,おおきなしんじゅ,Ōkina Shinju,Grande Perle,Riesenperle,Grande Perla,Perla Grande,큰진주,Keun Jinju,大珍珠,Dà Zhēnzhū / Daaih Jānjyū
Blue Flute,III,"Awakens sleeping Pokémon when used, can be used an unlimited number of times. May be used in battle or in the field.RSEFRLGColoXDDPPtHGSSORAS Can be sold for 7000.BWB2W2",Stardust,ほしのすな,Hoshi no Suna,Poussière Étoile*,Sternenstaub,Polvostella,Polvoestelar,별의모래,Byeorui Morae,星星沙子,Xīngxīng Shāzi / Sīngsīng Sājí
Blue Orb,III,Used to awaken Kyogre. It also turns Kyogre into Primal Kyogre during battle when holding the item.ORAS,Star Piece,ほしのかけら,Hoshi no Kakera,Morceau d'Étoile*,Sternenstück,Pezzo Stella,Trozo Estrella*,별의조각,Byeorui Jogak,星星碎片,Xīngxīng Suìpiàn / Sīngsīng Seuipín
Blue Petal,VII,A blue petal required to complete Mina's Trial.,Gold Leaf,きんのはっぱ,Kin no Happa,Feuille D'Or,Goldblatt,Fogliadoro,Hoja Dorada,금빛나뭇잎,Geumbit Namunnip,—,—
Blue Scarf,III,Raises the Beautiful condition.,Silver Leaf,ぎんのはっぱ,Gin no Happa,Feuille Arg.,Silberblatt,Fogliargento,Hoja Plata,은빛나뭇잎,Eunbit Namunnip,—,—
Blue Shard,III,Exchangeable for a variety of services.,Brick Piece,かわらのかけら,Kawara no Kakera,Morc. Brique,Ziegelstein,Mattoncino,Ladrillo,기와조각,Giwa Jogak,—,—
Bluesky Mail,IV,A sky-print mail. To be held by a Pokémon for delivery.,Nugget,きんのたま,Kin no Tama,Pepite,Nugget,Pepita,Pepita,금구슬,Geum Guseul,金珠,Jīnzhū / Gāmjyū
Blu ID Badge,III,One of four keys needed to unlock the north door of Realgam Tower.,Heart Scale,ハートのウロコ,Heart no Uroko,Écaille Cœur*,Herzschuppe,Squama Cuore,Escama Corazón*,하트비늘,Heart Bineul,心之鱗片 / 心之鳞片,Xīn-zhī Línpiàn / Sām-jī Lèuhnpin
Bluk Berry,III,Poffin and Pokéblock ingredient.,Rare Bone,きちょうなホネ,Kichōna Hone,Os Rare,Steinknochen,Osso Raro,Hueso Raro,귀중한뼈,Gwijunghan Ppyeo,貴重骨頭 / 贵重骨头,Guìzhòng Gǔtou / Gwaijuhng Gwāttàuh
Bonsly Card,III,Allows play of the card in Battle Bingo.,Pretty Wing,きれいなハネ,Kireina Hane,Jolie Aile,Prachtfeder,Piumabella,Pluma Bella*,고운날개,Goun Nalgae,美麗之羽 / 美丽之羽,Měilì-zhī Yǔ / Méihlaih-jī Yúh
Bonsly Photo,III,The Battle Bingo prize for winning/using the Bonsly Card.,Balm Mushroom*,かおるキノコ,Kaoru Kinoko,Champi Suave,Duftpilz,Profumfungo,Seta Aroma,향기버섯,Hyanggi Beoseot,芳香蘑菇,Fāngxiāng Mógū / Fōnghēung Mòhgū
Boost Mulch,VI,"When applied to a Berry patch, causes the soil to dry out in 4 hours.",Big Nugget,でかいきんのたま,Dekai Kin no Tama,Maxi Pépite,Riesennugget,Granpepita,Maxipepita,큰금구슬,Keun Geum Guseul,巨大金珠,Jùdà Jīnzhū / Geuihdaaih Gāmjyū
Bottle Cap,VII,Can be traded to Mr. Hyper to maximize one of a Pokémon's IVs in Hyper Training.,Pearl String,おだんごしんじゅ,Odango Shinju,Perle Triple,Triperle,Trittiperla,Sarta Perlas,경단진주,Gyeongdan Jinju,丸子珍珠,Wánzi Zhēnzhū / Yùhnjí Jānjyū
Brick Mail,IV,A brick pattern stationery. To be held by a Pokémon for delivery.,Comet Shard,すいせいのかけら,Suisei no Kakera,Morceau Comète*,Kometstück,Pezzo Cometa,Fragmento Cometa*,혜성조각,Hyeseong Jogak,彗星碎片,Huìxīng Suìpiàn / Seuihsīng Seuipín
Brick Piece,II,Can be sold for 50.,Relic Copper,こだいのどうか,Kodai no Dōka,Vieux Sou,Alter Heller,Soldantico,Real Cobre,고대의동화,Godae-yi Donghwa,古代銅幣 / 古代铜币,Gǔdài Tóngbì / Gúdoih Tùhngbaih
BridgeMail D,V,Stationary with a red drawbridge print. To be held by a Pokémon for delivery.,Relic Silver,こだいのぎんか,Kodai no Ginka,Vieil Écu,Alter Taler,Ducatantico,Real Plata,고대의은화,Godae-yi Eunhwa,古代銀幣 / 古代银币,Gǔdài Yínbì / Gúdoih Ngàhnbaih
BridgeMail M,V,Stationary with an arched bridge print. To be held by a Pokémon for delivery.,Relic Gold,こだいのきんか,Kodai no Kinka,Vieux Ducat,Alter Dukat,Doblonantico,Real Oro,고대의금화,Godae-yi Geumhwa,古代金幣 / 古代金币,Gǔdài Jīnbì / Gúdoih Gāmbaih
BridgeMail S,V,Stationary with a sky-piercing bridge print. To be held by a Pokémon for delivery.,Relic Vase,こだいのツボ,Kodai no Tsubo,Vieux Vase,Alte Vase,Vasantico,Ánfora,고대의항아리,Godae-yi Hang'ari,古代之壺 / 古代之壶,Gǔdài-zhī Hú / Gúdoih-jī Wùh
BridgeMail T,V,Stationary with a steel suspension bridge print. To be held by a Pokémon for delivery.,Relic Band,こだいのうでわ,Kodai no Udewa,Vieux Bijou,Alter Reif,Bracciantico,Brazal,고대의팔찌,Godae-yi Paljji,古代手鐲 / 古代手镯,Gǔdài Shǒuzhuó / Gúdoih Sáujuhk
BridgeMail V,V,Stationary with a brick bridge print. To be held by a Pokémon for delivery.,Relic Statue,こだいのせきぞう,Kodai no Sekizō,Vieux Santon,Alte Statue,Statuantica,Efigie Antigua*,고대의석상,Godae-yi Seoksang,古代石像,Gǔdài Shíxiàng / Gúdoih Sehkjeuhng
Bright Powder,II,"Lowers the opponent's accuracy.
Note: Formatted as BrightPowder prior to Generation VI.",Relic Crown,こだいのおうかん,Kodai no Ōkan,Vieux Tortil,Alte Krone,Coronantica,Corona Antigua*,고대의왕관,Godae-yi Wanggwan,古代王冠,Gǔdài Wángguàn / Gúdoih Wòhnggūn
Bubble Mail,IV,Stationery with a bubble print. To be held by a Pokémon for delivery.,,,,,,,,,,,
Bug Gem,V,"Increases the power of the holder's first Bug-type move by 50%, and is consumed after use.",Bright Powder*,ひかりのこな,Hikari no Kona,Poudre Claire*,Blendpuder,Luminpolvere,Polvo Brillo,반짝가루,Banjjak Garu,光粉,Guāngfěn / Gwōngfán
Bug Memory,VII,Makes Silvally a Bug-type Pokémon and makes Multi-Attack a Bug-type move.,Quick Claw,せんせいのツメ,Sensei no Tsume,Vive Griffe,Flinkklaue,Rapidartigli,Garra Rápida,선제공격손톱,Seonjegonggyeok Sontop,先制之爪,Xiānzhì-zhī Zhuǎ / Sīnjai-jī Jáau
Buginium Z,VII,Allows a Pokémon to upgrade their Bug-type damaging moves to the Z-Move Savage Spin-Out or upgrade their Bug-type status moves into Z-Moves. Makes Arceus a Bug-type Pokémon.,King's Rock,おうじゃのしるし,Ōja no Shirushi,Roche Royale,King-Stein,Roccia Di Re,Roca del Rey,왕의징표석,Wang-ui Jingpyoseok,王者之證 / 王者之证,Wángzhě-zhī Zhèng / Wòhngjé-jī Jing
Burn Drive,V,Makes Techno Blast a Fire-type move when held by Genesect.,Silver Powder*,ぎんのこな,Gin no Kona,Poudre Argentée*,Silberstaub,Argenpolvere,Polvo Plata,은빛가루,Eunbit Garu,銀粉 / 银粉,Yínfěn / Ngàhnfán
Burn Heal,I,Heals a burn.,Amulet Coin,おまもりこばん,Omamori Koban,Piece Rune,Münzamulett,Monetamuleto,Moneda Amuleto*,부적금화,Bujeok Geumhwa,護符金幣 / 护符金币,Hùfú Jīnbì / Wuhfùh Gāmbaih
Burnt Berry,II,Thaws out a frozen Pokémon.,Cleanse Tag,きよめのおふだ,Kiyome no Ofuda,Rune Purifiante*,Schutzband,Velopuro,Amuleto,순결의부적,Sun-gyeorui Bujeok,潔淨之符 / 洁净之符,Jiéjìng-zhī Fú / Gitjihng-jī Fùh
,,,Smoke Ball,けむりだま,Kemuri Dama,Boule Fumée*,Rauchball,Palla Fumo,Bola Humo,연막탄,Yeonmaktan,煙霧球 / 烟雾球,Yānwù Qiú / Yīnmouh Kàuh
,,,Everstone,かわらずのいし,Kawarazu no Ishi,Pierre Stase,Ewigstein,Pietrastante,Piedra Eterna*,변함없는돌,Byeonhameomneun Dol,不變之石 / 不变之石,Bùbiàn-zhī Shí / Bātbin-jī Sehk
Calcium,I,Raises the Special Attack of a Pokémon.,Focus Band,きあいのハチマキ,Kiai no Hachimaki,Bandeau,Fokus-Band,Bandana,Cinta Focus,기합의머리띠,Gihabui Meoritti,氣勢頭帶 / 气势头带,Qìshì Tóudài / Heisai Tàuhdaai
