Name,Gen,Gen2,Description,Note,NameStar,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Fire Memory,7,,Makes Silvally a Fire-type Pokémon and makes Multi-Attack a Fire-type move.,,FALSE,ファイヤーメモリ,Fire Memory,ROM Feu,Feuer-Disc,ROM Fuoco,Disco Fuego,파이어메모리,Fire Memory,"火焰記憶碟*
火焰存储碟","Huǒyàn Jìyìdié / Fóyihm Geiyīkdihp*
Huǒyàn Cúnchǔdié",3
Bonsly Photo,3,,The Battle Bingo prize for winning/using the Bonsly Card.,,FALSE,ウソハチ・フォト,Usohachi Photo,Photo Manzai,Mobai-Foto,Foto Bonsly,Foto Bonsly,,,,,0
X Accuracy 2,5,,Sharply raises a Pokémon's accuracy. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Wepear Berry,3,,Pokéblock and Poffin ingredient.,,FALSE,セシナのみ,Seshina no Mi,Baie Repoi,Nirbebeere,Baccapera,Baya Peragu,서배열매,Seobae Yeolmae,西梨果,Xīlí Guǒ / Sāilèih Gwó,0
Lum Berry,3,,Cures any status condition.,,FALSE,ラムのみ,Ramu no Mi,Baie Prine,Prunusbeere,Baccaprugna,Baya Ziuela,리샘열매,Risaem Yeolmae,木子果,Mùzi Guǒ / Muhkjí Gwó,0
Black Sludge,4,,Restores 1/16 of the Pokémon's maximum HP each turn when held by Poison-type Pokémon; damages all other types by ⅛ of maximum HP each turn.,,FALSE,くろいヘドロ,Kuroi Hedoro,Boue Noire,Giftschleim,Fangopece,Lodo Negro,검은진흙,Geomeun Jinheuk,黑色污泥,Hēi-sè Wūní / Hāak-sīk Wūnàih,0
Pokéblock Kit,6,,Allows the player to make and store Pokéblocks.,,FALSE,ポロックキット,Polock Kit,Kit Pokébloc,Pokériegel-Set,Kit Pokémelle,Kit de Pokécubos,포켓몬스넥키트,Pokémon Snack Kit,"寶可方塊組合*
宝可方块套装","Bǎokě Fāngkuài Zǔhé / Bóuhó Fōngfaai Jóuhahp*
Bǎokě Fāngkuài Tàozhuāng",3
TM,,,,,,わざマシン,Waza Machine,CT,TM,MT,MT,기술머신,Gisul Machine,招式學習器 / 招式学习器,Zhāoshì Xuéxíqì / Jīusīk Hohkjaahphei,0
Joy Scent,3,,"Reduces heart gauge by a small amount, but increases friendship.",,FALSE,ルンルンのかおり,Runrun no Kaori,P. Doux,Froh-E.,Olio di Pino,Ar. Alegría,,,,,0
Eviolite,5,,Raises the holder's Defense and Special Defense by 50% if the holder is capable of evolving.,,FALSE,しんかのきせき,Shinka no Kiseki,Évoluroc,Evolith,Evolcondensa,Mineral Evol,진화의 휘석,Jinhwa-yi Hwiseok,進化奇石 / 进化奇石,Jìnhuà Qíshí / Jeunfa Kèihsehk,0
DNA Splicers,5,,"Combines and separates Kyurem with Reshiram or Zekrom, transforming them into White Kyurem or Black Kyurem, respectively.",,FALSE,いでんしのくさび,Gene Wedge,Pointeau ADN,DNS-Keil,Cuneo DNA,Punta ADN,유전자쐐기,Yujeonja Swae-gi,基因之楔,Jīyīn-zhī Xiē / Gēiyān-jī Sit,0
Poison Barb,2,,Raises the power of Poison-type moves.,,FALSE,どくバリ,Doku Bari,Pic Venin,Giftstich,Velenaculeo,Flecha Venenosa,독바늘,Dokbaneul,毒針 / 毒针,Dúzhēn / Duhkjām,0
Dropped Item,5,,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy/girl.,,FALSE,わすれもの,Forgotten Item,Objet Trouvé,Fundsache,Oggetto Perso,Obj. Perdido,잊은물건,Ijeun Mulgeon,遺忘物 / 遗忘物,Yíwàng Wù / Wàihmòhng Maht,0
Fairium Z,7,,Allows a Pokémon to upgrade their Fairy-type damaging moves to the Z-Move Twinkle Tackle or upgrade their Fairy-type status moves into Z-Moves. Makes Arceus a Fairy-type Pokémon.,,FALSE,フェアリーＺ,Fairy-Z,Nymphézélite,Sylphium Z,Follectium Z,Feeristal Z,페어리Z,Fairy-Z,妖精Ｚ,Yāojing-Z / Yíujīng-Z,0
Basement Key,3,,Allows the player to access New Mauville.,,FALSE,ちかのカギ,Chika no Kagi,Clé Sous-Sol,Kelleröffner,Chiave sotterr.,Llave del Sótano,지하열쇠,Jiha Yeolsoe,地下鑰匙 / 地下钥匙,Dìxià Yàoshi / Deihhah Yeuhksìh,28
Teru-sama,2,,A group of dummy items. Unobtainable during normal gameplay.,,FALSE,,,,,,,,,,,
Pecha Berry,3,,Cures poison.,,FALSE,モモンのみ,Momon no Mi,Baie Pecha,Pirsifbeere,Baccapesca,Baya Meloc,복슝열매,Boksyung Yeolmae,桃桃果,Táotáo Guǒ / Tòuhtòuh Gwó,0
Seal Bag,,,,,,シールぶくろ,Seal Bukuro,Sac Sceaux,Stickertüte,Bollosacca,Bolsa Sellos,실주머니,Seal Jumeoni,貼紙袋 / 贴纸袋,Tiēzhǐ Dài / Tipjí Doih,0
Acro Bike,3,,A bicycle with which the player can do tricks such as jump sideways.,,FALSE,ダートじてんしゃ,Dirt Jitensha,Vélo Cross,Kunstrad,Bici da cross,Bici Acrobática,더트자전거,Dirt Jajeongeo,越野自行車 / 越野自行车,Yuèyě Zìxíngchē / Yuhtyéh Jihhàhngchē,32
Aspear Berry,3,,Removes the frozen condition from a Pokémon.,,FALSE,ナナシのみ,Nanashi no Mi,Baie Willia,Wilbirbeere,Baccaperina,Baya Perasi,배리열매,Baeri Yeolmae,利木果,Lìmù Guǒ / Leihmuhk Gwó,0
Moon Shard,3,,Allows Eevee to evolve into Umbreon in Pokémon XD: Gale of Darkness.,,FALSE,つきのかけら,Tsuki no Kakera,Eclat Lune,Mondsplitter,Coccio Lunare,Ápice Luna,,,,,0
Electric Gem,5,,"Increases the power of the holder's first Electric-type move by 50%, and is consumed after use.",,FALSE,でんきのジュエル,Denki no Jewel,Joyau Électr,Elektrojuwel,Bijouelettro,Gema Eléctrica,전기주얼,Jeongi Jewel,電之寶石 / 电之宝石,Diàn-zhī Bǎoshí / Dihn-jī Bóusehk,16
Kommonium Z,7,,Allows Kommo-o to upgrade Clanging Scales to the special Z-Move Clangorous Soulblaze.,,FALSE,ジャラランガＺ,Jararanga-Z,Ékaïzélite,Grandirasium Z,Kommonium Z,Kommostal Z,짜랑고우거Z,Jjaranggougeo-Z,杖尾鱗甲龍Ｚ / 杖尾鳞甲龙Ｚ,Zhàngwěilínjiǎlóng-Z / Jeuhngméihlèuhngaaplùhng-Z,0
Muscle Band,4,,Raises the power of physical moves.,,FALSE,ちからのハチマキ,Chikara no Hachimaki,Bandeau Muscle,Muskelband,Muscolbanda,Cinta Fuerte,힘의머리띠,Himui Meoritti,力量頭帶 / 力量头带,Lìliàng Tóudài / Lihkleuhng Tàuhdaai,128
Dragon Scale,2,,A hold item that allows Seadra to evolve when traded.,,FALSE,りゅうのウロコ,Ryū no Uroko,Écaille Draco,Drachenhaut,Squama Drago,Escamadragón,용의비늘,Yong-ui Bineul,龍之鱗片 / 龙之鳞片,Lóng zhī línpiàn / Lùhng-jī Lèuhnpin,128
Coupon 2,4,,Used to obtain the Pokétch in Jubilife City.,,FALSE,ひきかえけん２,Hikikaeken 2,Bon 2,Kupon 2,Coupon 2,Cupón 2,교환권 2,Gyohwangwon 2,兌換券２ / 兑换券２,Duìhuàn Quàn 2 / Deuiwuhn Hyun 2,0
Roto Stealth,,,,,,かくれポン,Kakure Pon,Moti-Camouflage,Schutzbon,Repelle'n'roll,Cupón Sigilo, ???, ???,隱身碰碰 / 隐身碰碰,Yǐnshēn Pèngpèng / Yánsān Pungpung,0
Soft Sand,2,,Raises the power of Ground-type moves.,,FALSE,やわらかいすな,Yawarakai Suna,Sable Doux,Pudersand,Sabbia Soffice,Arena Fina,부드러운모래,Budeureoun Morae,柔軟沙子 / 柔软沙子,Róuruǎn Shāzi / Yàuhyúhn Sājí,32
Berry Pots,4,,Allows Berry growth while traveling.,,FALSE,きのみプランター,Kinomi Planter,Plante Baies,Pflanzset,Piantabacche,Plantabayas,나무열매플랜터,Namu Yeolmae Planter,樹果種植盆 / 树果种植盆,Shùguǒ Zhòngzhí Pén / Syuhgwó Júngjihk Pùhn,0
Key to Room 6,6,,Opens Room 6 of the Abandoned ShipRSE/Sea MauvilleORAS.,Called Rm. 6 Key in Generation III.,FALSE,ろくごうしつのカギ,Roku-gō Shitsu no Kagi,Clé Salle 6,R6-Schlüssel,Chiave stanza 6,Ll. Habitación 6,육호실열쇠,Yuk-hosil Yeolsoe,"６號客房的鑰匙 /
６号客房的钥匙",6 Hào Kèfáng-de Yàoshi / 6 Houh Haakfóng-dīk Yeuhksìh,1616
Yellow Apricorn,2,,"If taken to Kurt, he will make the player a Moon Ball out of it.",Formatted as Ylw Apricorn prior to Generation VI.,FALSE,きぼんぐり,Ki Bonguri,Noigrume Jne,Aprikoko Glb,Ghicocca Gialla,Bonguri Amarillo,노랑규토리,Norang Gyutori,黃球果 / 黄球果,Huáng Qiúguǒ / Wòhng Kàuhgwó,1072
Wise Glasses,4,,Raises the power of special moves.,,FALSE,ものしりメガネ,Monoshiri Megane,Lunettes Sages,Schlauglas,Saviocchiali,Gafas Especiales,박식안경,Baksik An-gyeong,博識眼鏡 / 博识眼镜,Bóshì Yǎnjìng / Boksīk Ngáahngeng,144
Tanga Berry,3,,Lowers effectiveness of a super effective Bug-type move.,,FALSE,タンガのみ,Tanga no Mi,Baie Panga,Tanigabeere,Baccaitan,Baya Yecana,리체열매,Riche Yeolmae,扁櫻果 / 扁樱果,Biǎnyīng Guǒ / Bínyīng Gwó,0
Oak's Parcel,1,,Deliver to Professor Oak to receive a Pokédex.,,FALSE,,,,,,,,,,,
Pink Bow,2,,Raises the power of Normal-type moves.,,FALSE,ピンクのリボン,Pink no Ribbon,Ruban Rose,Rosa Band,Fiocco Rosa,Lazo Rosa,핑크빛리본,Pink-bit Ribon,,,0
Tidal Bell,4,,Allows the Kimono Girls to summon Lugia.,,FALSE,うみなりのスズ,Uminari no Suzu,Glas tempête,Gischtglocke,Camp. Onda,Camp. Oleaje,해명의방울,Haemyeong-ui Bang-ul,海聲鈴鐺 / 海声铃铛,Hǎishēng Língdāng / Hóisīng Lìhngdōng,0
Cheri Berry,3,,Heals paralysis.,,FALSE,クラボのみ,Kurabo no Mi,Baie Ceriz,Amrenabeere,Baccaliegia,Baya Zreza,버치열매,Beochi Yeolmae,櫻子果 / 樱子果,Yīngzi Guǒ / Yīngjí Gwó,0
Voice Case 1,3,,Heals a Combusken in Agate Village.,,FALSE,こえカプセル１,Koe Capsule 1,Boite Cri 1,Stimmbox 1,Disco Verso 1,Grabación 1,,,,,0
Yellow Nectar,7,,Changes Oricorio to its Pom-Pom Style.,,FALSE,やまぶきのミツ,Yamabuki no Mitsu,Nectar Jaune,Gelber Nektar,Nettare giallo,Néctar Amarillo,진노랑꿀,Jinnorang Kkul,金黃色花蜜 / 金黄色花蜜,Jīnhuáng-sè Huāmì / Gāmwòhng-sīk Fāmaht,0
Lycanium Z,7,,Allows Lycanroc to upgrade Stone Edge to the special Z-Move Splintered Stormshards.,,FALSE,ルガルガンＺ,Lugarugan-Z,Lougarozélite,Wolwerockium Z,Lycanrochium Z,Lycanrostal Z,루가루암Z,Rugaruam-Z,鬃岩狼人Ｚ,Zōngyánlángrén-Z / Jūngngàahmlòhngyàhn-Z,0
Red Chain,4,,A mythical chain linked to the legendary Pokémon of the Sinnoh region. Unobtainable without cheating.,,FALSE,あかいくさり,Akai Kusari,Chaîne Rouge,Rote Kette,Rossocatena,Cadena Roja,빨강쇠사슬,Ppalgang Soesaseul,紅色鎖鏈 / 红色锁链,Hóng-sè Suǒliàn / Hùhng-sīk Sólín,0
Tiny Mushroom,2,,Exchangeable in return for services.,Formatted as TinyMushroom prior to Generation VI.,FALSE,ちいさなキノコ,Chiisana Kinoko,Petit Champi,Minipilz,Piccolo Fungo,Mini Seta,작은버섯,Jageun Beoseot,小蘑菇,Xiǎo Mógū / Síu Mòhgū,1024
Groundium Z,7,,Allows a Pokémon to upgrade their Ground-type damaging moves to the Z-Move Tectonic Rage or upgrade their Ground-type status moves into Z-Moves. Makes Arceus a Ground-type Pokémon.,,FALSE,ジメンＺ,Ground-Z,Terrazélite,Terrium Z,Terrium Z,Geostal Z,땅Z,Ttang-Z,地面Ｚ,Dìmiàn-Z / Deihmín-Z,0
Grassium Z,7,,Allows a Pokémon to upgrade their Grass-type damaging moves to the Z-Move Bloom Doom or upgrade their Grass-type status moves into Z-Moves. Makes Arceus a Grass-type Pokémon.,,FALSE,クサＺ,Grass-Z,Florazélite,Botanium Z,Herbium Z,Fitostal Z,풀Z,Pul-Z,草Ｚ,Cǎo-Z / Chóu-Z,0
X Attack 2,5,,Sharply raises a Pokémon's Attack. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Fast Ball,2,,A type of Poké Ball that works better on Pokémon that try to flee.,,FALSE,スピードボール,Speed Ball,Speed Ball,Turboball,Rapid Ball,Rapid Ball,스피드볼,Speed Ball,速度球,Sùdù Qiú / Chūkdouh Kàuh,0
Bead Mail,3,,A bead-printed stationery. To be held by a Pokémon for delivery.,,FALSE,トレジャーメール,Treasure Mail,Lettre Bulle,Perlenbrief,Mess. Perle,Carta Imagen,,,,,0
Explorer Kit,4,,A Key Item which can be used to go to Sinnoh Underground.,,FALSE,たんけんセット,Tanken Set,Explorakit,Forschersack,Esplorokit,Kit Explor.,탐험세트,Tamheom Set,"探險組合*
探险套装","Tànxiǎn Zǔhé / Taamhím Jóuhahp*
Tànxiǎn Tàozhuāng",3
Jail Key,3,,The key to jail cells in Pyrite Town.,,FALSE,ろうやのカギ,Rōya no Kagi,Cle de la Prison,Zellenschlüssel,Chiave Celle,Llave Celdas,,,,,0
Dream Ball,5,,Used to catch Pokémon in Entralink.,,FALSE,ドリームボール,Dream Ball,Rêve Ball,Traumball,Dream Ball,Ensueño Ball,드림볼,Dream Ball,夢境球 / 梦境球,Mèngjìng Qiú / Muhnggíng Kàuh,0
Roto Encounter,,,,,,みっけポン,Mikke Pon,Moti-Appât,Lockbon,Incontra'n'roll,Cupón Reclamo, ???, ???,相遇碰碰,Xiāngyù Pèngpèng / Sēungyuh Pungpung,0
N-Lunarizer,,,,,,ネクロプラスルナ,Necro Plus Luna,Necroluna,Necrolun,Necrolunix,Necroluna,네크로플러스루나,Necro Plus Luna,奈克洛露奈合體器 / 奈克洛露奈合体器,Nàikèluò Lùnài Hétǐqì / Noihhāklok Louhnoih Hahptáihei,0
Tropic Mail,3,,Mail with a picture of Bellossom. To be held by a Pokémon for delivery.,,FALSE,トロピカルメール,Tropical Mail,Lettre Tropi,Tropenbrief,Mess. Tropic,Carta Tropical,,,,,0
Deep Sea Scale,3,,A hold item that allows Clamperl to evolve into Gorebyss when traded.,Formatted as DeepSeaScale prior to Generation VI.,FALSE,しんかいのウロコ,Shinkai no Uroko,Écaille Océan,Abyssplatte,Squamabissi,Escama Marina,심해의비늘,Simhae-ui Bineul,深海鱗片 / 深海鳞片,Shēnhǎi Línpiàn / Sāmhói Lèuhnpin,1152
RageCandyBar,2,,"In Johto, can be exchanged for TM64.",,FALSE,,,,,,,,,,,
PRZCureBerry,2,,Cures paralysis.,,FALSE,まひなおしのみ,Mahinaoshi no Mi,Baie AntiPAR,AntiPARBeere,Baccantipar.,Antiparabaya,마비치료열매,Mabi Chiryo Yeolmae,,,0
Never-Melt Ice,2,,Raises the power of Ice-type moves.,Formatted as NeverMeltIce prior to Generation VI.,FALSE,とけないこおり,Tokenai Kōri,Glace Éternelle,Ewiges Eis,Gelomai,Antiderretir,녹지않는얼음,Nokji Anneun Eoreum,不融冰,Bù Róng Bīng / Bāt Yùhng Bīng,1152
Ability Capsule,6,,Allows a Pokémon with two Abilities to switch between these Abilities.,,FALSE,とくせいカプセル,Tokusei Capsule,Pilule Talent,Fähigk.-Kapsel,Capsula Abilità,Cáps. Habilidad,특성캡슐,Teukseong Capsule,特性膠囊 / 特性胶囊,Tèxìng Jiāonáng / Dahksing Gāaunòhng,0
Like Mail,5,,Stationary designed for writing recommendations. To be held by a Pokémon for delivery.,,FALSE,おすすめメール,Osusume Mail,Lettre Avis,Insiderbrief,Mess. Sugg.,C. Gustos,추천메일,Chucheon Mail,推薦郵件 / 推荐邮件,Tuījiàn Yóujiàn / Tēuijin Yàuhgín,0
Stable Mulch,4,,Extends the time ripened Berries will stay on the plant before falling.,,FALSE,ながながこやし,Naganaga Koyashi,Fertistable,Stabilmulch,Fertilsaldo,Abono Fijador,오래오래비료,Orae-orae Biryo,久久肥,Jiǔjiǔ Féi / Gáugáu Fèih,16
Full Heal,1,,Cures any status condition.,,FALSE,なんでもなおし,Nandemo Naoshi,Total Soin,Hyperheiler,Cura Totale,Cura Total,만병통치약,Manbyeongtongchiyak,萬靈藥 / 万灵药,Wànlíngyào / Maahnlìhngyeuhk,0
Normal Gem,5,,"Increases the power of the holder's first Normal-type move by 50%, and is consumed after use.",,FALSE,ノーマルジュエル,Normal Jewel,Joyau Normal,Normaljuwel,Bijounormale,Gema Normal,노말주얼,Normal Jewel,一般寶石 / 一般宝石,Yībān Bǎoshí / Yātbūn Bóusehk,16
Dusk Stone,4,,"Can be used to evolve Misdreavus, Murkrow, Lampent, and Doublade.",,FALSE,やみのいし,Yami no Ishi,Pierre Nuit,Finsterstein,Neropietra,Piedra Noche,어둠의돌,Eodumui Dol,暗之石,Àn-zhī Shí / Am-jī Sehk,0
Vs. Recorder,4,,Used to record and replay battles.,,FALSE,バトルレコーダー,Battle Recorder,Magnéto VS,Kampfkamera,Registradati,Cámara Lucha,배틀레코더,Battle Recorder,對戰記錄器 / 对战记录器,Duìzhàn Jìlù Qì / Deuijin Geiluhk Hei,0
Paralyze Heal,1,,Heals paralysis.,Called Parlyz Heal prior to Generation VI.,FALSE,まひなおし,Mahi Naoshi,Anti-Para,Para-Heiler,Antiparalisi,Antiparalizador,마비치료제,Mabi Chiryoje,解麻藥 / 解麻药,Jiěmáyào / Gáaimàhyeuhk,16
Gold Berry,2,,Restores 30 HP.,,FALSE,おうごんのみ,Ōgon no Mi,Baie Doree,Goldbeere,Bacca Oro,Baya Dorada,황금열매,Hwanggeum Yeolmae,,,0
Growth Mulch,4,,"Causes Berries to grow faster, but makes the soil dry faster.",,FALSE,すくすくこやし,Sukusuku Koyashi,Fertipousse,Wachsmulch,Fertilrapido,Abono Rápido,무럭무럭비료,Mureokmureok Biryo,速速肥,Sùsù Féi / Chūkchūk Fèih,0
Secret Key,1,,Allows access to the Cinnabar Gym.,,FALSE,ひみつのカギ,Himitsu no Kagi,Clé Secrète, ?-Öffner,Chiave Segreta,Ll. Secreta,비밀의열쇠,Bimirui Yeolsoe,秘密鑰匙 / 秘密钥匙,Mìmì Yàoshi / Beimaht Yeuhksìh,0
Mosaic Mail,4,,Mail with a rainbow pattern. To be held by a Pokémon for delivery.,,FALSE,モザイクメール,Mosaic Mail,Lettremosaik,Mosaikbrief,Mess. Iride,Car. Mosaico,모자이크메일,Mosaic Mail,,,0
Intriguing Stone,6,,Can be exchanged for a Sun StoneXY/PidgeotiteORAS.,,FALSE,すごそうないし,Sugosōna Ishi,Pierre Insolite,Kurioser Stein,Sasso suggestivo,Piedra Insólita,대단할듯한돌,Daedanhaldeushan Dol,似珍石,Sì Zhēnshí / Chíh Jānsehk,0
Buginium Z,7,,Allows a Pokémon to upgrade their Bug-type damaging moves to the Z-Move Savage Spin-Out or upgrade their Bug-type status moves into Z-Moves. Makes Arceus a Bug-type Pokémon.,,FALSE,ムシＺ,Bug-Z,Insectozélite,Insectium Z,Insectium Z,Insectostal Z,벌레Z,Beolle-Z,蟲Ｚ / 虫Ｚ,Chóng-Z / Chùhng-Z,0
Metal Coat,2,,Raises the power of Steel-type moves. Allows Onix and Scyther to evolve when traded.,,FALSE,メタルコート,Metal Coat,Peau Metal,Metallmantel,Metalcoperta,Revest. Metálico,금속코트,Geumsok Coat,金屬膜 / 金属膜,Jīnshǔ Mó / Gāmsuhk Mohk,16
Roto Hatch,,,,,,タマゴふかポン,Tamago fuka Pon,Moti-Couveuse,Brutbon,Cova'n'roll,Cupón Eclosión, ???, ???,孵蛋碰碰,Fūdàn Pèngpèng / Fūdaahn Pungpung,0
Fame Checker,3,,"Records information on famous people, such as Gym Leaders.",,FALSE,ボイスチェッカー,Voice Checker,Memorydex,Ruhmesdatei,PokéVIP,Memorín,,,,,0
Brick Mail,4,,A brick pattern stationery. To be held by a Pokémon for delivery.,,FALSE,ブリックメール,Brick Mail,Lettre Brik,Ziegelbrief,Mess. Muro,Carta Pared,브릭메일,Brick Mail,,,0
