ID_1,HEX_1,Name_1,Pokcet_1,Translation_1,Type_1,ID_2,HEX_2,Name_2,Pokcet_2,ID_3,HEX_3,Name_3,Pokcet_3,ID_3Colo,HEX_3Colo,Name_3Colo,Pokcet_3Colo,ID_3XD,HEX_3XD,Name_3XD,Pokcet_3XD,ID_4,HEX_4,Name_4,Pokcet_4,ID_5,HEX_5,Name_5,Pokcet_5,ID_6,HEX_6,Name_6,Pokcet_6,ID_7,HEX_7,Name_7,Pokcet_7,ID_7LG,HEX_7LG,Name_7LG,Pokcet_7LG
10,0x0A,Moon Stone,,,,10,0x0A,Burn Heal,Items pocket,10,0x000A,Timer Ball,Poké Balls pocket,10,0x000A,Timer Ball,Poké Balls pocket,10,0x000A,Timer Ball,Poké Balls pocket,10,0x000A,Timer Ball,Poké Balls pocket,10,0x000A,Timer Ball,Poké Balls pocket,10,0x000A,Timer Ball,Items pocket,10,0x000A,Timer Ball,Items pocket,10,0x000A,Timer Ball,Unknown pocket
11,0x0B,Antidote,,,,11,0x0B,Ice Heal,Items pocket,11,0x000B,Luxury Ball,Poké Balls pocket,11,0x000B,Luxury Ball,Poké Balls pocket,11,0x000B,Luxury Ball,Poké Balls pocket,11,0x000B,Luxury Ball,Poké Balls pocket,11,0x000B,Luxury Ball,Poké Balls pocket,11,0x000B,Luxury Ball,Items pocket,11,0x000B,Luxury Ball,Items pocket,11,0x000B,Luxury Ball,Unknown pocket
12,0x0C,Burn Heal,,,,12,0x0C,Awakening,Items pocket,12,0x000C,Premier Ball,Poké Balls pocket,12,0x000C,Premier Ball,Poké Balls pocket,12,0x000C,Premier Ball,Poké Balls pocket,12,0x000C,Premier Ball,Poké Balls pocket,12,0x000C,Premier Ball,Poké Balls pocket,12,0x000C,Premier Ball,Items pocket,12,0x000C,Premier Ball,Items pocket,12,0x000C,Premier Ball,Unknown pocket
13,0x0D,Ice Heal,,,,13,0x0D,Parlyz Heal,Items pocket,13,0x000D,Potion,Items pocket,13,0x000D,Potion,Items pocket,13,0x000D,Potion,Items pocket,13,0x000D,Dusk Ball,Poké Balls pocket,13,0x000D,Dusk Ball,Poké Balls pocket,13,0x000D,Dusk Ball,Items pocket,13,0x000D,Dusk Ball,Items pocket,13,0x000D,Dusk Ball,Unknown pocket
14,0x0E,Awakening,,,,14,0x0E,Full Restore,Items pocket,14,0x000E,Antidote,Items pocket,14,0x000E,Antidote,Items pocket,14,0x000E,Antidote,Items pocket,14,0x000E,Heal Ball,Poké Balls pocket,14,0x000E,Heal Ball,Poké Balls pocket,14,0x000E,Heal Ball,Items pocket,14,0x000E,Heal Ball,Items pocket,14,0x000E,Heal Ball,Unknown pocket
15,0x0F,Parlyz Heal,,,,15,0x0F,Max Potion,Items pocket,15,0x000F,Burn Heal,Items pocket,15,0x000F,Burn Heal,Items pocket,15,0x000F,Burn Heal,Items pocket,15,0x000F,Quick Ball,Poké Balls pocket,15,0x000F,Quick Ball,Poké Balls pocket,15,0x000F,Quick Ball,Items pocket,15,0x000F,Quick Ball,Items pocket,15,0x000F,Quick Ball,Unknown pocket
16,0x10,Full Restore,,,,16,0x10,Hyper Potion,Items pocket,16,0x0010,Ice Heal,Items pocket,16,0x0010,Ice Heal,Items pocket,16,0x0010,Ice Heal,Items pocket,16,0x0010,Cherish Ball,Poké Balls pocket,16,0x0010,Cherish Ball,Poké Balls pocket,16,0x0010,Cherish Ball,Items pocket,16,0x0010,Cherish Ball,Items pocket,16,0x0010,Cherish Ball,Unknown pocket
17,0x11,Max Potion,,,,17,0x11,Super Potion,Items pocket,17,0x0011,Awakening,Items pocket,17,0x0011,Awakening,Items pocket,17,0x0011,Awakening,Items pocket,17,0x0011,Potion,Medicine pocket,17,0x0011,Potion,Medicine pocket,17,0x0011,Potion,Medicine pocket,17,0x0011,Potion,Medicine pocket,17,0x0011,Potion,Medicine pocket
18,0x12,Hyper Potion,,,,18,0x12,Potion,Items pocket,18,0x0012,Parlyz Heal,Items pocket,18,0x0012,Parlyz Heal,Items pocket,18,0x0012,Parlyz Heal,Items pocket,18,0x0012,Antidote,Medicine pocket,18,0x0012,Antidote,Medicine pocket,18,0x0012,Antidote,Medicine pocket,18,0x0012,Antidote,Medicine pocket,18,0x0012,Antidote,Medicine pocket
19,0x13,Super Potion,,,,19,0x13,Escape Rope,Items pocket,19,0x0013,Full Restore,Items pocket,19,0x0013,Full Restore,Items pocket,19,0x0013,Full Restore,Items pocket,19,0x0013,Burn Heal,Medicine pocket,19,0x0013,Burn Heal,Medicine pocket,19,0x0013,Burn Heal,Medicine pocket,19,0x0013,Burn Heal,Medicine pocket,19,0x0013,Burn Heal,Medicine pocket
20,0x14,Potion,,,,20,0x14,Repel,Items pocket,20,0x0014,Max Potion,Items pocket,20,0x0014,Max Potion,Items pocket,20,0x0014,Max Potion,Items pocket,20,0x0014,Ice Heal,Medicine pocket,20,0x0014,Ice Heal,Medicine pocket,20,0x0014,Ice Heal,Medicine pocket,20,0x0014,Ice Heal,Medicine pocket,20,0x0014,Ice Heal,Medicine pocket
21,0x15,BoulderBadge,,,,21,0x15,Max Elixer,Items pocket,21,0x0015,Hyper Potion,Items pocket,21,0x0015,Hyper Potion,Items pocket,21,0x0015,Hyper Potion,Items pocket,21,0x0015,Awakening,Medicine pocket,21,0x0015,Awakening,Medicine pocket,21,0x0015,Awakening,Medicine pocket,21,0x0015,Awakening,Medicine pocket,21,0x0015,Awakening,Medicine pocket
22,0x16,CascadeBadge,,,,22,0x16,Fire Stone,Items pocket,22,0x0016,Super Potion,Items pocket,22,0x0016,Super Potion,Items pocket,22,0x0016,Super Potion,Items pocket,22,0x0016,Parlyz Heal,Medicine pocket,22,0x0016,Parlyz Heal,Medicine pocket,22,0x0016,Paralyze Heal,Medicine pocket,22,0x0016,Paralyze Heal,Medicine pocket,22,0x0016,Paralyze Heal,Medicine pocket
23,0x17,ThunderBadge,,,,23,0x17,Thunderstone,Items pocket,23,0x0017,Full Heal,Items pocket,23,0x0017,Full Heal,Items pocket,23,0x0017,Full Heal,Items pocket,23,0x0017,Full Restore,Medicine pocket,23,0x0017,Full Restore,Medicine pocket,23,0x0017,Full Restore,Medicine pocket,23,0x0017,Full Restore,Medicine pocket,23,0x0017,Full Restore,Medicine pocket
24,0x18,RainbowBadge,,,,24,0x18,Water Stone,Items pocket,24,0x0018,Revive,Items pocket,24,0x0018,Revive,Items pocket,24,0x0018,Revive,Items pocket,24,0x0018,Max Potion,Medicine pocket,24,0x0018,Max Potion,Medicine pocket,24,0x0018,Max Potion,Medicine pocket,24,0x0018,Max Potion,Medicine pocket,24,0x0018,Max Potion,Medicine pocket
25,0x19,SoulBadge,,,,25,0x19,Teru-sama,Items pocket,25,0x0019,Max Revive,Items pocket,25,0x0019,Max Revive,Items pocket,25,0x0019,Max Revive,Items pocket,25,0x0019,Hyper Potion,Medicine pocket,25,0x0019,Hyper Potion,Medicine pocket,25,0x0019,Hyper Potion,Medicine pocket,25,0x0019,Hyper Potion,Medicine pocket,25,0x0019,Hyper Potion,Medicine pocket
26,0x1A,MarshBadge,,,,26,0x1A,HP Up,Items pocket,26,0x001A,Fresh Water,Items pocket,26,0x001A,Fresh Water,Items pocket,26,0x001A,Fresh Water,Items pocket,26,0x001A,Super Potion,Medicine pocket,26,0x001A,Super Potion,Medicine pocket,26,0x001A,Super Potion,Medicine pocket,26,0x001A,Super Potion,Medicine pocket,26,0x001A,Super Potion,Medicine pocket
27,0x1B,VolcanoBadge,,,,27,0x1B,Protein,Items pocket,27,0x001B,Soda Pop,Items pocket,27,0x001B,Soda Pop,Items pocket,27,0x001B,Soda Pop,Items pocket,27,0x001B,Full Heal,Medicine pocket,27,0x001B,Full Heal,Medicine pocket,27,0x001B,Full Heal,Medicine pocket,27,0x001B,Full Heal,Medicine pocket,27,0x001B,Full Heal,Medicine pocket
28,0x1C,EarthBadge,,,,28,0x1C,Iron,Items pocket,28,0x001C,Lemonade,Items pocket,28,0x001C,Lemonade,Items pocket,28,0x001C,Lemonade,Items pocket,28,0x001C,Revive,Medicine pocket,28,0x001C,Revive,Medicine pocket,28,0x001C,Revive,Medicine pocket,28,0x001C,Revive,Medicine pocket,28,0x001C,Revive,Medicine pocket
29,0x1D,Escape Rope,,,,29,0x1D,Carbos,Items pocket,29,0x001D,Moomoo Milk,Items pocket,29,0x001D,Moomoo Milk,Items pocket,29,0x001D,Moomoo Milk,Items pocket,29,0x001D,Max Revive,Medicine pocket,29,0x001D,Max Revive,Medicine pocket,29,0x001D,Max Revive,Medicine pocket,29,0x001D,Max Revive,Medicine pocket,29,0x001D,Max Revive,Medicine pocket
30,0x1E,Repel,,,,30,0x1E,Lucky Punch,Items pocket,30,0x001E,EnergyPowder,Items pocket,30,0x001E,EnergyPowder,Items pocket,30,0x001E,EnergyPowder,Items pocket,30,0x001E,Fresh Water,Medicine pocket,30,0x001E,Fresh Water,Medicine pocket,30,0x001E,Fresh Water,Medicine pocket,30,0x001E,Fresh Water,Medicine pocket,30,0x001E,Fresh Water,Medicine pocket
31,0x1F,Old Amber,,,,31,0x1F,Calcium,Items pocket,31,0x001F,Energy Root,Items pocket,31,0x001F,Energy Root,Items pocket,31,0x001F,Energy Root,Items pocket,31,0x001F,Soda Pop,Medicine pocket,31,0x001F,Soda Pop,Medicine pocket,31,0x001F,Soda Pop,Medicine pocket,31,0x001F,Soda Pop,Medicine pocket,31,0x001F,Soda Pop,Medicine pocket
32,0x20,Fire Stone,,,,32,0x20,Rare Candy,Items pocket,32,0x0020,Heal Powder,Items pocket,32,0x0020,Heal Powder,Items pocket,32,0x0020,Heal Powder,Items pocket,32,0x0020,Lemonade,Medicine pocket,32,0x0020,Lemonade,Medicine pocket,32,0x0020,Lemonade,Medicine pocket,32,0x0020,Lemonade,Medicine pocket,32,0x0020,Lemonade,Medicine pocket
33,0x21,Thunderstone,,,,33,0x21,X Accuracy,Items pocket,33,0x0021,Revival Herb,Items pocket,33,0x0021,Revival Herb,Items pocket,33,0x0021,Revival Herb,Items pocket,33,0x0021,Moomoo Milk,Medicine pocket,33,0x0021,Moomoo Milk,Medicine pocket,33,0x0021,Moomoo Milk,Medicine pocket,33,0x0021,Moomoo Milk,Medicine pocket,33,0x0021,Moomoo Milk,Medicine pocket
34,0x22,Water Stone,,,,34,0x22,Leaf Stone,Items pocket,34,0x0022,Ether,Items pocket,34,0x0022,Ether,Items pocket,34,0x0022,Ether,Items pocket,34,0x0022,EnergyPowder,Medicine pocket,34,0x0022,EnergyPowder,Medicine pocket,34,0x0022,Energy Powder,Medicine pocket,34,0x0022,Energy Powder,Medicine pocket,34,0x0022,Energy Powder,Medicine pocket
35,0x23,HP Up,,,,35,0x23,Metal Powder,Items pocket,35,0x0023,Max Ether,Items pocket,35,0x0023,Max Ether,Items pocket,35,0x0023,Max Ether,Items pocket,35,0x0023,Energy Root,Medicine pocket,35,0x0023,Energy Root,Medicine pocket,35,0x0023,Energy Root,Medicine pocket,35,0x0023,Energy Root,Medicine pocket,35,0x0023,Energy Root,Medicine pocket
36,0x24,Protein,,,,36,0x24,Nugget,Items pocket,36,0x0024,Elixir,Items pocket,36,0x0024,Elixir,Items pocket,36,0x0024,Elixir,Items pocket,36,0x0024,Heal Powder,Medicine pocket,36,0x0024,Heal Powder,Medicine pocket,36,0x0024,Heal Powder,Medicine pocket,36,0x0024,Heal Powder,Medicine pocket,36,0x0024,Heal Powder,Medicine pocket
37,0x25,Iron,,,,37,0x25,Poké Doll,Items pocket,37,0x0025,Max Elixir,Items pocket,37,0x0025,Max Elixir,Items pocket,37,0x0025,Max Elixir,Items pocket,37,0x0025,Revival Herb,Medicine pocket,37,0x0025,Revival Herb,Medicine pocket,37,0x0025,Revival Herb,Medicine pocket,37,0x0025,Revival Herb,Medicine pocket,37,0x0025,Revival Herb,Medicine pocket
38,0x26,Carbos,,,,38,0x26,Full Heal,Items pocket,38,0x0026,Lava Cookie,Items pocket,38,0x0026,Lava Cookie,Items pocket,38,0x0026,Lava Cookie,Items pocket,38,0x0026,Ether,Medicine pocket,38,0x0026,Ether,Medicine pocket,38,0x0026,Ether,Medicine pocket,38,0x0026,Ether,Medicine pocket,38,0x0026,Ether,Medicine pocket
39,0x27,Calcium,,,,39,0x27,Revive,Items pocket,39,0x0027,Blue Flute,Items pocket,39,0x0027,Blue Flute,Items pocket,39,0x0027,Blue Flute,Items pocket,39,0x0027,Max Ether,Medicine pocket,39,0x0027,Max Ether,Medicine pocket,39,0x0027,Max Ether,Medicine pocket,39,0x0027,Max Ether,Medicine pocket,39,0x0027,Max Ether,Medicine pocket
40,0x28,Rare Candy,,,,40,0x28,Max Revive,Items pocket,40,0x0028,Yellow Flute,Items pocket,40,0x0028,Yellow Flute,Items pocket,40,0x0028,Yellow Flute,Items pocket,40,0x0028,Elixir,Medicine pocket,40,0x0028,Elixir,Medicine pocket,40,0x0028,Elixir,Medicine pocket,40,0x0028,Elixir,Medicine pocket,40,0x0028,Elixir,Medicine pocket
41,0x29,Dome Fossil,,,,41,0x29,Guard Spec.,Items pocket,41,0x0029,Red Flute,Items pocket,41,0x0029,Red Flute,Items pocket,41,0x0029,Red Flute,Items pocket,41,0x0029,Max Elixir,Medicine pocket,41,0x0029,Max Elixir,Medicine pocket,41,0x0029,Max Elixir,Medicine pocket,41,0x0029,Max Elixir,Medicine pocket,41,0x0029,Max Elixir,Medicine pocket
42,0x2A,Helix Fossil,,,,42,0x2A,Super Repel,Items pocket,42,0x002A,Black Flute,Items pocket,42,0x002A,Black Flute,Items pocket,42,0x002A,Black Flute,Items pocket,42,0x002A,Lava Cookie,Medicine pocket,42,0x002A,Lava Cookie,Medicine pocket,42,0x002A,Lava Cookie,Medicine pocket,42,0x002A,Lava Cookie,Medicine pocket,42,0x002A,Lava Cookie,Medicine pocket
43,0x2B,Secret Key,,,,43,0x2B,Max Repel,Items pocket,43,0x002B,White Flute,Items pocket,43,0x002B,White Flute,Items pocket,43,0x002B,White Flute,Items pocket,43,0x002B,Berry Juice,Medicine pocket,43,0x002B,Berry Juice,Medicine pocket,43,0x002B,Berry Juice,Medicine pocket,43,0x002B,Berry Juice,Medicine pocket,43,0x002B,Berry Juice,Medicine pocket
44,0x2C,?????,,,,44,0x2C,Dire Hit,Items pocket,44,0x002C,Berry Juice,Items pocket,44,0x002C,Berry Juice,Items pocket,44,0x002C,Berry Juice,Items pocket,44,0x002C,Sacred Ash,Medicine pocket,44,0x002C,Sacred Ash,Medicine pocket,44,0x002C,Sacred Ash,Medicine pocket,44,0x002C,Sacred Ash,Medicine pocket,44,0x002C,Sacred Ash,Medicine pocket
45,0x2D,Bike Voucher,,,,45,0x2D,Teru-sama,Items pocket,45,0x002D,Sacred Ash,Items pocket,45,0x002D,Sacred Ash,Items pocket,45,0x002D,Sacred Ash,Items pocket,45,0x002D,HP Up,Medicine pocket,45,0x002D,HP Up,Medicine pocket,45,0x002D,HP Up,Medicine pocket,45,0x002D,HP Up,Medicine pocket,45,0x002D,HP Up,Unknown pocket
46,0x2E,X Accuracy,,,,46,0x2E,Fresh Water,Items pocket,46,0x002E,Shoal Salt,Items pocket,46,0x002E,Shoal Salt,Items pocket,46,0x002E,Shoal Salt,Items pocket,46,0x002E,Protein,Medicine pocket,46,0x002E,Protein,Medicine pocket,46,0x002E,Protein,Medicine pocket,46,0x002E,Protein,Medicine pocket,46,0x002E,Protein,Unknown pocket
47,0x2F,Leaf Stone,,,,47,0x2F,Soda Pop,Items pocket,47,0x002F,Shoal Shell,Items pocket,47,0x002F,Shoal Shell,Items pocket,47,0x002F,Shoal Shell,Items pocket,47,0x002F,Iron,Medicine pocket,47,0x002F,Iron,Medicine pocket,47,0x002F,Iron,Medicine pocket,47,0x002F,Iron,Medicine pocket,47,0x002F,Iron,Unknown pocket
48,0x30,Card Key,,,,48,0x30,Lemonade,Items pocket,48,0x0030,Red Shard,Items pocket,48,0x0030,Red Shard,Items pocket,48,0x0030,Red Shard,Items pocket,48,0x0030,Carbos,Medicine pocket,48,0x0030,Carbos,Medicine pocket,48,0x0030,Carbos,Medicine pocket,48,0x0030,Carbos,Medicine pocket,48,0x0030,Carbos,Unknown pocket
49,0x31,Nugget,,,,49,0x31,X Attack,Items pocket,49,0x0031,Blue Shard,Items pocket,49,0x0031,Blue Shard,Items pocket,49,0x0031,Blue Shard,Items pocket,49,0x0031,Calcium,Medicine pocket,49,0x0031,Calcium,Medicine pocket,49,0x0031,Calcium,Medicine pocket,49,0x0031,Calcium,Medicine pocket,49,0x0031,Calcium,Unknown pocket
50,0x32,PP Up*,,,,50,0x32,Teru-sama,Items pocket,50,0x0032,Yellow Shard,Items pocket,50,0x0032,Yellow Shard,Items pocket,50,0x0032,Yellow Shard,Items pocket,50,0x0032,Rare Candy,Medicine pocket,50,0x0032,Rare Candy,Medicine pocket,50,0x0032,Rare Candy,Medicine pocket,50,0x0032,Rare Candy,Medicine pocket,50,0x0032,Rare Candy,Unknown pocket
51,0x33,Poké Doll,,,,51,0x33,X Defend,Items pocket,51,0x0033,Green Shard,Items pocket,51,0x0033,Green Shard,Items pocket,51,0x0033,Green Shard,Items pocket,51,0x0033,PP Up,Medicine pocket,51,0x0033,PP Up,Medicine pocket,51,0x0033,PP Up,Medicine pocket,51,0x0033,PP Up,Medicine pocket,51,0x0033,PP Up,Unknown pocket
52,0x34,Full Heal,,,,52,0x34,X Speed,Items pocket,52,0x0034,unknown,Unknown pocket,52,0x0034,unknown,Unknown pocket,52,0x0034,unknown,Unknown pocket,52,0x0034,Zinc,Medicine pocket,52,0x0034,Zinc,Medicine pocket,52,0x0034,Zinc,Medicine pocket,52,0x0034,Zinc,Medicine pocket,52,0x0034,Zinc,Unknown pocket
53,0x35,Revive,,,,53,0x35,X Special,Items pocket,53,0x0035,unknown,Unknown pocket,53,0x0035,unknown,Unknown pocket,53,0x0035,unknown,Unknown pocket,53,0x0035,PP Max,Medicine pocket,53,0x0035,PP Max,Medicine pocket,53,0x0035,PP Max,Medicine pocket,53,0x0035,PP Max,Medicine pocket,53,0x0035,PP Max,Unknown pocket
54,0x36,Max Revive,,,,54,0x36,Coin Case,Key items pocket,54,0x0036,unknown,Unknown pocket,54,0x0036,unknown,Unknown pocket,54,0x0036,unknown,Unknown pocket,54,0x0036,Old Gateau,Medicine pocket,54,0x0036,Old Gateau,Medicine pocket,54,0x0036,Old Gateau,Medicine pocket,54,0x0036,Old Gateau,Medicine pocket,54,0x0036,Old Gateau,Medicine pocket
55,0x37,Guard Spec.,,,,55,0x37,Itemfinder,Key items pocket,55,0x0037,unknown,Unknown pocket,55,0x0037,unknown,Unknown pocket,55,0x0037,unknown,Unknown pocket,55,0x0037,Guard Spec.,Battle items pocket,55,0x0037,Guard Spec.,Items pocket,55,0x0037,Guard Spec.,Items pocket,55,0x0037,Guard Spec.,Items pocket,55,0x0037,Guard Spec.,Unknown pocket
56,0x38,Super Repel,,,,56,0x38,Teru-sama,Items pocket,56,0x0038,unknown,Unknown pocket,56,0x0038,unknown,Unknown pocket,56,0x0038,unknown,Unknown pocket,56,0x0038,Dire Hit,Battle items pocket,56,0x0038,Dire Hit,Items pocket,56,0x0038,Dire Hit,Items pocket,56,0x0038,Dire Hit,Items pocket,56,0x0038,Dire Hit,Unknown pocket
57,0x39,Max Repel,,,,57,0x39,Exp.Share,Items pocket,57,0x0039,unknown,Unknown pocket,57,0x0039,unknown,Unknown pocket,57,0x0039,unknown,Unknown pocket,57,0x0039,X Attack,Battle items pocket,57,0x0039,X Attack,Items pocket,57,0x0039,X Attack,Items pocket,57,0x0039,X Attack,Items pocket,57,0x0039,X Attack,Unknown pocket
58,0x3A,Dire Hit,,,,58,0x3A,Old Rod,Key items pocket,58,0x003A,unknown,Unknown pocket,58,0x003A,unknown,Unknown pocket,58,0x003A,unknown,Unknown pocket,58,0x003A,X Defense,Battle items pocket,58,0x003A,X Defend,Items pocket,58,0x003A,X Defense,Items pocket,58,0x003A,X Defense,Items pocket,58,0x003A,X Defense,Unknown pocket
59,0x3B,Coin,,,,59,0x3B,Good Rod,Key items pocket,59,0x003B,unknown,Unknown pocket,59,0x003B,unknown,Unknown pocket,59,0x003B,unknown,Unknown pocket,59,0x003B,X Speed,Battle items pocket,59,0x003B,X Speed,Items pocket,59,0x003B,X Speed,Items pocket,59,0x003B,X Speed,Items pocket,59,0x003B,X Speed,Unknown pocket
60,0x3C,Fresh Water,,,,60,0x3C,Silver Leaf,Items pocket,60,0x003C,unknown,Unknown pocket,60,0x003C,unknown,Unknown pocket,60,0x003C,unknown,Unknown pocket,60,0x003C,X Accuracy,Battle items pocket,60,0x003C,X Accuracy,Items pocket,60,0x003C,X Accuracy,Items pocket,60,0x003C,X Accuracy,Items pocket,60,0x003C,X Accuracy,Unknown pocket
61,0x3D,Soda Pop,,,,61,0x3D,Super Rod,Key items pocket,61,0x003D,unknown,Unknown pocket,61,0x003D,unknown,Unknown pocket,61,0x003D,unknown,Unknown pocket,61,0x003D,X Special,Battle items pocket,61,0x003D,X Special,Items pocket,61,0x003D,X Sp. Atk,Items pocket,61,0x003D,X Sp. Atk,Items pocket,61,0x003D,X Sp. Atk,Unknown pocket
62,0x3E,Lemonade,,,,62,0x3E,PP Up,Items pocket,62,0x003E,unknown,Unknown pocket,62,0x003E,unknown,Unknown pocket,62,0x003E,unknown,Unknown pocket,62,0x003E,X Sp. Def,Battle items pocket,62,0x003E,X Sp. Def,Items pocket,62,0x003E,X Sp. Def,Items pocket,62,0x003E,X Sp. Def,Items pocket,62,0x003E,X Sp. Def,Unknown pocket
63,0x3F,S.S. Ticket,,,,63,0x3F,Ether,Items pocket,63,0x003F,HP Up,Items pocket,63,0x003F,HP Up,Items pocket,63,0x003F,HP Up,Items pocket,63,0x003F,Poké Doll,Battle items pocket,63,0x003F,Poké Doll,Items pocket,63,0x003F,Poké Doll,Items pocket,63,0x003F,Poké Doll,Items pocket,63,0x003F,Poké Doll,Unknown pocket
64,0x40,Gold Teeth,,,,64,0x40,Max Ether,Items pocket,64,0x0040,Protein,Items pocket,64,0x0040,Protein,Items pocket,64,0x0040,Protein,Items pocket,64,0x0040,Fluffy Tail,Battle items pocket,64,0x0040,Fluffy Tail,Items pocket,64,0x0040,Fluffy Tail,Items pocket,64,0x0040,Fluffy Tail,Items pocket,64,0x0040,Fluffy Tail,Unknown pocket
65,0x41,X Attack,,,,65,0x41,Elixer,Items pocket,65,0x0041,Iron,Items pocket,65,0x0041,Iron,Items pocket,65,0x0041,Iron,Items pocket,65,0x0041,Blue Flute,Battle items pocket,65,0x0041,Blue Flute,Items pocket,65,0x0041,Blue Flute,Medicine pocket,65,0x0041,Blue Flute,Items pocket,65,0x0041,Blue Flute,Unknown pocket
