ID,Name,English,Japanese,Romaji,French,German,Italian,Spanish,Korean,Chinese,ID,Name,Cat_EN,Cat_JP,CAT_JP_T
14,Kakuna,Cocoon,さなぎ,Sanagi,Cocon,Kokon,Bozzolo,Capullo,번데기 Beondegi,蛹 Yǒng / Yúng,14,Kakuna,Cocoon Pokémon,さなぎポケモン,Pupa Pokémon
15,Beedrill,Poison Bee,どくばち,Doku Bachi,Guêpoison,Giftbiene,Velenape,Abeja Ven.,독벌 Dok Beol,毒蜂 Dúfēng / Duhkfūng,15,Beedrill,Poison Bee Pokémon,どくばちポケモン,Poison Bee Pokémon
16,Pidgey,Tiny Bird,ことり,Ko Tori,Minoiseau,Kleinvogel,Uccellino,Pajarito,아기새 Agi Sae,小鳥 / 小鸟 Xiǎoniǎo / Síuníuh,16,Pidgey,Tiny Bird Pokémon,ことりポケモン,Small Bird Pokémon
17,Pidgeotto,Bird,とり,Tori,Oiseau,Vogel,Uccello,Pájaro,새 Sae,鳥 / 鸟 Niǎo / Níuh,17,Pidgeotto,Bird Pokémon,とりポケモン,Bird Pokémon
18,Pidgeot,Bird,とり,Tori,Oiseau,Vogel,Uccello,Pájaro,새 Sae,鳥 / 鸟 Niǎo / Níuh,18,Pidgeot,Bird Pokémon,とりポケモン,Bird Pokémon
19,Rattata,Mouse*,ねずみ,Nezumi,Souris,Maus,Topo,Ratón,쥐 Jwi,鼠 Shǔ / Syú,19,Rattata,Mouse Pokémon,ねずみポケモン,Mouse Pokémon
20,Raticate,Mouse*,ねずみ,Nezumi,Souris,Maus,Topo,Ratón,쥐 Jwi,鼠 Shǔ / Syú,20,Raticate,Mouse Pokémon,ねずみポケモン,Mouse Pokémon
21,Spearow,Tiny Bird,ことり,Ko Tori,Minoiseau,Kleinvogel,Uccellino,Pajarito,아기새 Agi Sae,小鳥 / 小鸟 Xiǎoniǎo / Síuníuh,21,Spearow,Tiny Bird Pokémon,ことりポケモン,Small Bird Pokémon
22,Fearow,Beak,くちばし,Kuchibashi,Bec-oiseau,Pickvogel,Becco,Pico,부리 Buri,鳥嘴 / 鸟嘴 Niǎozuǐ / Níuhjéui,22,Fearow,Beak Pokémon,くちばしポケモン,Beak Pokémon
23,Ekans,Snake,へび,Hebi,Serpent,Schlange,Serpente,Serpiente,뱀 Baem,蛇 Shé / Yìh,23,Ekans,Snake Pokémon,へびポケモン,Snake Pokémon
24,Arbok,Cobra,コブラ,Kobura,Cobra,Kobra,Cobra,Cobra,코브라 Cobra,眼鏡蛇 / 眼镜蛇 Yǎnjìngshé / Ngáahngengyìh,24,Arbok,Cobra Pokémon,コブラポケモン,Cobra Pokémon
25,Pikachu,Mouse,ねずみ,Nezumi,Souris,Maus,Topo,Ratón,쥐 Jwi,鼠 Shǔ / Syú,25,Pikachu,Mouse Pokémon,ねずみポケモン,Mouse Pokémon
26,Raichu,Mouse,ねずみ,Nezumi,Souris,Maus,Topo,Ratón,쥐 Jwi,鼠 Shǔ / Syú,26,Raichu,Mouse Pokémon,ねずみポケモン,Mouse Pokémon
27,Sandshrew,Mouse,ねずみ,Nezumi,Souris,Maus,Topo,Ratón,쥐 Jwi,鼠 Shǔ / Syú,27,Sandshrew,Mouse Pokémon,ねずみポケモン,Mouse Pokémon
28,Sandslash,Mouse,ねずみ,Nezumi,Souris,Maus,Topo,Ratón,쥐 Jwi,鼠 Shǔ / Syú,28,Sandslash,Mouse Pokémon,ねずみポケモン,Mouse Pokémon
29,Nidoran♀,Poison Pin,どくばり,Doku Bari,Vénépic,Giftdorn,Velenago,Pin Veneno,독침 Dok Chim,毒針 / 毒针 Dúzhēn / Duhkjām,29,Nidoran♀,Poison Pin Pokémon,どくばりポケモン,Poison Needle Pokémon
30,Nidorina,Poison Pin,どくばり,Doku Bari,Vénépic,Giftdorn,Velenago,Pin Veneno,독침 Dok Chim,毒針 / 毒针 Dúzhēn / Duhkjām,30,Nidorina,Poison Pin Pokémon,どくばりポケモン,Poison Needle Pokémon
31,Nidoqueen,Drill,ドリル,Doriru,Perceur,Bohrer,Trapano,Taladro,드릴 Drill,鑽錐 / 钻锥 Zuānzhuī / Jyūnjēui,31,Nidoqueen,Drill Pokémon,ドリルポケモン,Drill Pokémon
32,Nidoran♂,Poison Pin,どくばり,Doku Bari,Vénépic,Giftdorn,Velenago,Pin Veneno,독침 Dok Chim,毒針 / 毒针 Dúzhēn / Duhkjām,32,Nidoran♂,Poison Pin Pokémon,どくばりポケモン,Poison Needle Pokémon
33,Nidorino,Poison Pin,どくばり,Doku Bari,Vénépic,Giftdorn,Velenago,Pin Veneno,독침 Dok Chim,毒針 / 毒针 Dúzhēn / Duhkjām,33,Nidorino,Poison Pin Pokémon,どくばりポケモン,Poison Needle Pokémon
34,Nidoking,Drill,ドリル,Doriru,Perceur,Bohrer,Trapano,Taladro,드릴 Drill,鑽錐 / 钻锥 Zuānzhuī / Jyūnjēui,34,Nidoking,Drill Pokémon,ドリルポケモン,Drill Pokémon
35,Clefairy,Fairy,ようせい,Yōsei,Fée,Fee,Fata,Hada,요정 Yojeong,妖精 Yāojing / Yīujēng,35,Clefairy,Fairy Pokémon,ようせいポケモン,Fairy Pokémon
36,Clefable,Fairy,ようせい,Yōsei,Fée,Fee,Fata,Hada,요정 Yojeong,妖精 Yāojing / Yīujēng,36,Clefable,Fairy Pokémon,ようせいポケモン,Fairy Pokémon
37,Vulpix,Fox,きつね,Kitsune,Renard,Fuchs,Volpe,Zorro,여우 Yeou,狐狸 Húli / Wùhléi,37,Vulpix,Fox Pokémon,きつねポケモン,Fox Pokémon
38,Ninetales,Fox,きつね,Kitsune,Renard,Fuchs,Volpe,Zorro,여우 Yeou,狐狸 Húli / Wùhléi,38,Ninetales,Fox Pokémon,きつねポケモン,Fox Pokémon
39,Jigglypuff,Balloon,ふうせん,Fūsen,Bouboule,Ballon,Pallone,Globo,풍선 Pungseon,氣球 / 气球 Qìqiú / Heikàuh,39,Jigglypuff,Balloon Pokémon,ふうせんポケモン,Balloon Pokémon
40,Wigglytuff,Balloon,ふうせん,Fūsen,Bouboule,Ballon,Pallone,Globo,풍선 Pungseon,氣球 / 气球 Qìqiú / Heikàuh,40,Wigglytuff,Balloon Pokémon,ふうせんポケモン,Balloon Pokémon
41,Zubat,Bat,こうもり,Kōmori,Chovsouris,Fledermaus,Pipistrello,Murciélago,박쥐 Bakjwi,蝙蝠 Biānfú / Bīnfūk,41,Zubat,Bat Pokémon,こうもりポケモン,Bat Pokémon
42,Golbat,Bat,こうもり,Kōmori,Chovsouris,Fledermaus,Pipistrello,Murciélago,박쥐 Bakjwi,蝙蝠 Biānfú / Bīnfūk,42,Golbat,Bat Pokémon,こうもりポケモン,Bat Pokémon
43,Oddish,Weed,ざっそう,Gissō,Racine,Unkraut,Malerba,Hierbajo,잡초 Japcho,雜草 / 杂草 Zácǎo / Jaahpchóu,43,Oddish,Weed Pokémon,ざっそうポケモン,Weed Pokémon
44,Gloom,Weed,ざっそう,Gissō,Racine,Unkraut,Malerba,Hierbajo,잡초 Japcho,雜草 / 杂草 Zácǎo / Jaahpchóu,44,Gloom,Weed Pokémon,ざっそうポケモン,Weed Pokémon
45,Vileplume,Flower,フラワー,Furawā,Fleur,Blume,Fiore,Flor,꽃 Kkot,花 Huā / Fā,45,Vileplume,Flower Pokémon,フラワーポケモン,Flower Pokémon
46,Paras,Mushroom,きのこ,Kinoko,Champignon,Pilz,Fungo,Hongo,버섯 Beoseot,蘑菇 Mógū / Mòhgū,46,Paras,Mushroom Pokémon,きのこポケモン,Mushroom Pokémon
47,Parasect,Mushroom,きのこ,Kinoko,Champignon,Pilz,Fungo,Hongo,버섯 Beoseot,蘑菇 Mógū / Mòhgū,47,Parasect,Mushroom Pokémon,きのこポケモン,Mushroom Pokémon
48,Venonat,Insect,こんちゅう,Konchū,Vermine,Insekt,Insetto,Insecto,곤충 Gonchung,昆蟲 / 昆虫 Kūnchóng / Gwānchùhng,48,Venonat,Insect Pokémon,こんちゅうポケモン,Insect Pokémon
49,Venomoth,Poison Moth*,どくが,Doku Ga,Papipoison,Giftmotte,Velentarma,Polilla Ven.,독나방 Dok Nabang,毒蛾 Dú'é / Duhkngáih,49,Venomoth,Poison Moth Pokémon,どくがポケモン,Poison Moth Pokémon
50,Diglett,Mole,もぐら,Mogura,Taupe,Maulwurf,Talpa,Topo,두더지 Dudeoji,鼴鼠 / 鼹鼠 Yǎnshǔ / Yínsyú,50,Diglett,Mole Pokémon,もぐらポケモン,Mole Pokémon
51,Dugtrio,Mole,もぐら,Mogura,Taupe,Maulwurf,Talpa,Topo,두더지 Dudeoji,鼴鼠 / 鼹鼠 Yǎnshǔ / Yínsyú,51,Dugtrio,Mole Pokémon,もぐらポケモン,Mole Pokémon
52,Meowth,Scratch Cat*,ばけねこ,Bake Neko,Chadégout,Katze,Graffimiao,Gato Araña,요괴고양이 Yogoe Goyang-i,妖怪貓 / 妖怪猫 Yāoguài Māo / Yíugwaai Māau,52,Meowth,Scratch Cat Pokémon,ばけねこポケモン,Bakeneko Pokémon
53,Persian,Classy Cat,シャムネコ,Shamu Neko,Chadeville,Rassekatze,Nobilgatto,Gato Fino,샴고양이 Siam Goyang-i,暹羅貓 / 暹罗猫 Xiānluómāo / Chīmlòhmāau,53,Persian,Classy Cat Pokémon,シャムネコポケモン,Siamese Cat Pokémon
54,Psyduck,Duck,あひる,Ahiru,Canard,Ente,Papero,Pato,오리 Ori,鴨 / 鸭 Yā / Aap,54,Psyduck,Duck Pokémon,あひるポケモン,Duck Pokémon
55,Golduck,Duck,あひる,Ahiru,Canard,Ente,Papero,Pato,오리 Ori,鴨 / 鸭 Yā / Aap,55,Golduck,Duck Pokémon,あひるポケモン,Duck Pokémon
56,Mankey,Pig Monkey,ぶたざる,Buta Zaru,Porsinge,Schwein / Affe,Suinpanzé,Mono Cerdo,돈숭이 Don Sung-i,豬猴 / 猪猴 Zhūhóu / Jyūhàuh,56,Mankey,Pig Monkey Pokémon,ぶたざるポケモン,Pig Monkey Pokémon
57,Primeape,Pig Monkey,ぶたざる,Buta Zaru,Porsinge,Schwein / Affe,Suinpanzé,Mono Cerdo,돈숭이 Don Sung-i,豬猴 / 猪猴 Zhūhóu / Jyūhàuh,57,Primeape,Pig Monkey Pokémon,ぶたざるポケモン,Pig Monkey Pokémon
58,Growlithe,Puppy,こいぬ,Ko Inu,Chiot,Hund,Cagnolino,Perrito,강아지 Gang-aji,小狗 Xiǎogǒu / Síugáu,58,Growlithe,Puppy Pokémon,こいぬポケモン,Puppy Pokémon
59,Arcanine,Legendary,でんせつ,Densetsu,Légendaire,Legendär,Leggenda,Legendario,전설 Jeonseol,傳說 / 传说 Chuánshuō / Chyùhnyuht,59,Arcanine,Legendary Pokémon,でんせつポケモン,Legend Pokémon
60,Poliwag,Tadpole,おたま,Otama,Têtard,Kaulquappe,Girino,Renacuajo,올챙이 Olchaeng-i,蝌蚪 Kēdǒu / Fōdáu,60,Poliwag,Tadpole Pokémon,おたまポケモン,Tadpole Pokémon
61,Poliwhirl,Tadpole,おたま,Otama,Têtard,Kaulquappe,Girino,Renacuajo,올챙이 Olchaeng-i,蝌蚪 Kēdǒu / Fōdáu,61,Poliwhirl,Tadpole Pokémon,おたまポケモン,Tadpole Pokémon
62,Poliwrath,Tadpole,おたま,Otama,Têtard,Kaulquappe,Girino,Renacuajo,올챙이 Olchaeng-i,蝌蚪 Kēdǒu / Fōdáu,62,Poliwrath,Tadpole Pokémon,おたまポケモン,Tadpole Pokémon
63,Abra,Psi,ねんりき,Nenriki,Psy,Psi,Psico,Psi,초능력 Choneungnyeok,念力 Niànlì / Nihmlihk,63,Abra,Psi Pokémon,ねんりきポケモン,Telekinesis Pokémon
64,Kadabra,Psi,ねんりき,Nenriki,Psy,Psi,Psico,Psi,초능력 Choneungnyeok,念力 Niànlì / Nihmlihk,64,Kadabra,Psi Pokémon,ねんりきポケモン,Telekinesis Pokémon
65,Alakazam,Psi,ねんりき,Nenriki,Psy,Psi,Psico,Psi,초능력 Choneungnyeok,念力 Niànlì / Nihmlihk,65,Alakazam,Psi Pokémon,ねんりきポケモン,Telekinesis Pokémon
66,Machop,Superpower,かいりき,Kairiki,Colosse,Kraftprotz,Megaforza,Superpoder,괴력 Goeryeok,怪力 Guàilì / Gwaailihk,66,Machop,Superpower Pokémon,かいりきポケモン,Superhuman Strength Pokémon
67,Machoke,Superpower,かいりき,Kairiki,Colosse,Kraftprotz,Megaforza,Superpoder,괴력 Goeryeok,怪力 Guàilì / Gwaailihk,67,Machoke,Superpower Pokémon,かいりきポケモン,Superhuman Strength Pokémon
68,Machamp,Superpower,かいりき,Kairiki,Colosse,Kraftprotz,Megaforza,Superpoder,괴력 Goeryeok,怪力 Guàilì / Gwaailihk,68,Machamp,Superpower Pokémon,かいりきポケモン,Superhuman Strength Pokémon
69,Bellsprout,Flower,フラワー,Furawā,Fleur,Blume,Fiore,Flor,꽃 Kkot,花 Huā / Fā,69,Bellsprout,Flower Pokémon,フラワーポケモン,Flower Pokémon
70,Weepinbell,Flycatcher,ハエとり,Hae Tori,Carnivore,Fliegentot,Moschivoro,Matamoscas,파리잡이 Parijab-i,捕蠅 / 捕蝇 Bǔyíng / Bouhyìhng,70,Weepinbell,Flycatcher Pokémon,ハエとりポケモン,Flycatcher Pokémon
71,Victreebel,Flycatcher,ハエとり,Hae Tori,Carnivore,Fliegentot,Moschivoro,Matamoscas,파리잡이 Parijab-i,捕蠅 / 捕蝇 Bǔyíng / Bouhyìhng,71,Victreebel,Flycatcher Pokémon,ハエとりポケモン,Flycatcher Pokémon
72,Tentacool,Jellyfish,くらげ,Kurage,Mollusque,Qualle,Medusa,Medusa,해파리 Haepari,水母 Shuǐmǔ / Séuimóuh,72,Tentacool,Jellyfish Pokémon,くらげポケモン,Jellyfish Pokémon
73,Tentacruel,Jellyfish,くらげ,Kurage,Mollusque,Qualle,Medusa,Medusa,해파리 Haepari,水母 Shuǐmǔ / Séuimóuh,73,Tentacruel,Jellyfish Pokémon,くらげポケモン,Jellyfish Pokémon
74,Geodude,Rock,がんせき,Ganseki,Roche,Gestein,Roccia,Roca,암석 Amseok,岩石 Yánshí / Ngàahmdaam,74,Geodude,Rock Pokémon,がんせきポケモン,Rock Pokémon
75,Graveler,Rock,がんせき,Ganseki,Roche,Gestein,Roccia,Roca,암석 Amseok,岩石 Yánshí / Ngàahmdaam,75,Graveler,Rock Pokémon,がんせきポケモン,Rock Pokémon
76,Golem,Megaton,メガトン,Megaton,Titanesque,Urgestein,Megatone,Megatón,메가톤 Megaton,重量級 / 重量级 Zhòngliàngjí / Chùhnglèuhngkāp,76,Golem,Megaton Pokémon,メガトンポケモン,Megaton Pokémon
77,Ponyta,Fire Horse,ひのうま,Hi no Uma,Cheval Feu,Feuerpferd,Cavalfuoco,Caballo F.,불의말 Bul-ui Mal,火馬 / 火马 Huǒmǎ / Fómáh,77,Ponyta,Fire Horse Pokémon,ひのうまポケモン,Fire Horse Pokémon
78,Rapidash,Fire Horse,ひのうま,Hi no Uma,Cheval Feu,Feuerpferd,Cavalfuoco,Caballo F.,불의말 Bul-ui Mal,火馬 / 火马 Huǒmǎ / Fómáh,78,Rapidash,Fire Horse Pokémon,ひのうまポケモン,Fire Horse Pokémon
79,Slowpoke,Dopey,まぬけ,Manuke,Crétin,Schnarcher,Ronfone,Atontado,얼간이 Eolgani,憨憨 Hānhān / Hāmhām,79,Slowpoke,Dopey Pokémon,まぬけポケモン,Stupid Pokémon
80,Slowbro,Hermit Crab*,やどかり,Yadokari,Symbiose,Symbiose,Paguro,Ermitaño,기생 Gisaeng / 얼간이 Eolgani,寄居蟹 Jìjūxiè / Geigēuiháaih,80,Slowbro,Hermit Crab Pokémon,やどかりポケモン,Hermit Crab Pokémon
81,Magnemite,Magnet,じしゃく,Jishaku,Magnétique,Magnet,Calamita,Imán,자석 Jaseok,磁鐵 / 磁铁 Cítiě / Chìhtit,81,Magnemite,Magnet Pokémon,じしゃくポケモン,Magnet Pokémon
82,Magneton,Magnet,じしゃく,Jishaku,Magnétique,Magnet,Calamita,Imán,자석 Jaseok,磁鐵 / 磁铁 Cítiě / Chìhtit,82,Magneton,Magnet Pokémon,じしゃくポケモン,Magnet Pokémon
83,Farfetch'd,Wild Duck,かるがも,Karu Gamo,Canard Fou,Wildente,Selvanatra,Pato Salvaje,천둥오리 Cheondung Ori,黃嘴鴨 / 黄嘴鸭 Huángzuǐyā / Wòhngjéui'aap,83,Farfetch'd,Wild Duck Pokémon,かるがもポケモン,Spot-Billed Duck Pokémon
84,Doduo,Twin Bird,ふたごどり,Futago Dori,Duoiseau,Duovogel,Biuccello,Ave Gemela,쌍둥이새 Ssangdung-i Sae,兩頭鳥 / 两头鸟 Liǎngtóuniǎo / Léuhngtàuhníuh,84,Doduo,Twin Bird Pokémon,ふたごどりポケモン,Twin Bird Pokémon
85,Dodrio,Triple Bird*,みつごどり,Mitsugo Dori,Trioiseau,Trivogel,Triuccello,Ave Triple,세쌍둥이새 Sessangdung-i Sae,三頭鳥 / 三头鸟 Sāntóuniǎo / Sāamtàuhníuh,85,Dodrio,Triple Bird Pokémon,みつごどりポケモン,Triplet Bird Pokémon
86,Seel,Sea Lion,あしか,Ashika,Otarie,Seehund,Otaria,León Marino,강치 Gangchi,海獅 / 海狮 Hǎishī / Hóisī,86,Seel,Sea Lion Pokémon,あしかポケモン,Sea Lion Pokémon
87,Dewgong,Sea Lion,あしか,Ashika,Otarie,Seehund,Otaria,León Marino,강치 Gangchi,海獅 / 海狮 Hǎishī / Hóisī,87,Dewgong,Sea Lion Pokémon,あしかポケモン,Sea Lion Pokémon
88,Grimer,Sludge,ヘドロ,Hedoro,Dégueu,Schlamm,Melma,Lodo,진흙 Jinheuk,污泥 Wūní / Wūnàih,88,Grimer,Sludge Pokémon,ヘドロポケモン,Sludge Pokémon
89,Muk,Sludge,ヘドロ,Hedoro,Dégueu,Schlamm,Melma,Lodo,진흙 Jinheuk,污泥 Wūní / Wūnàih,89,Muk,Sludge Pokémon,ヘドロポケモン,Sludge Pokémon
90,Shellder,Bivalve,2まいがい,Nimaigai,Bivalve,Muschel,Bivalve,Bivalvo,두조개 Dujogae,雙殼貝 / 双壳贝 Shuāngkébèi / Sēunghokbui,90,Shellder,Bivalve Pokémon,2まいがいポケモン,Bivalve Pokémon
91,Cloyster,Bivalve,2まいがい,Nimaigai,Bivalve,Muschel,Bivalve,Bivalvo,두조개 Dujogae,雙殼貝 / 双壳贝 Shuāngkébèi / Sēunghokbui,91,Cloyster,Bivalve Pokémon,2まいがいポケモン,Bivalve Pokémon
92,Gastly,Gas,ガスじょう,Gasu Jō,Gaz,Gas,Gas,Gas,가스 Gas,氣體狀 / 气体状 Qìtǐzhuàng / Heitáijohng,92,Gastly,Gas Pokémon,ガスじょうポケモン,Gaseous Pokémon
93,Haunter,Gas,ガスじょう,Gasu Jō,Gaz,Gas,Gas,Gas,가스 Gas,氣體狀 / 气体状 Qìtǐzhuàng / Heitáijohng,93,Haunter,Gas Pokémon,ガスじょうポケモン,Gaseous Pokémon
94,Gengar,Shadow,シャドー,Shadō,Ombre,Schatten,Ombra,Sombra,그림자 Geurimja,影子 Yǐngzi / Yéngjí,94,Gengar,Shadow Pokémon,シャドーポケモン,Shadow Pokémon
95,Onix,Rock Snake,いわへび,Iwa Hebi,Serpenroc,Felsnatter,Serpesasso,Serp. Roca,돌뱀 Dol Baem,岩蛇 Yánshé / Ngàahmyìh,95,Onix,Rock Snake Pokémon,いわへびポケモン,Rock Snake Pokémon
96,Drowzee,Hypnosis,さいみん,Saimin,Hypnose,Hypnose,Ipnosi,Hipnosis,최면 Choemyeon,催眠 Cuīmián / Chēuimìhn,96,Drowzee,Hypnosis Pokémon,さいみんポケモン,Hypnosis Pokémon
97,Hypno,Hypnosis,さいみん,Saimin,Hypnose,Hypnose,Ipnosi,Hipnosis,최면 Choemyeon,催眠 Cuīmián / Chēuimìhn,97,Hypno,Hypnosis Pokémon,さいみんポケモン,Hypnosis Pokémon
98,Krabby,River Crab,さわがに,Sawa Gake,Doux Crabe,Krabbe,Granchio,Cangrejo,게 Ge,清水蟹 Qīngshuǐxiè / Chēngséuiháaih,98,Krabby,River Crab Pokémon,さわがにポケモン,Freshwater Crab Pokémon
99,Kingler,Pincer,はさみ,Hasami,Pince,Kneifer,Chela,Tenaza,집게 Jipge,鉗子 / 钳子 Qiánzi / Kìhmjí,99,Kingler,Pincer Pokémon,はさみポケモン,Pincer Pokémon
100,Voltorb,Ball,ボール,Bōru,Balle,Ball,Ball,Bola,볼 Ball,球 Qiú / Kàuh,100,Voltorb,Ball Pokémon,ボールポケモン,Ball Pokémon
101,Electrode,Ball,ボール,Bōru,Balle,Ball,Ball,Bola,볼 Ball,球 Qiú / Kàuh,101,Electrode,Ball Pokémon,ボールポケモン,Ball Pokémon
102,Exeggcute,Egg,たまご,Tamago,Œuf,Ei,Uovo,Huevo,알 Al,蛋 Dàn / Dáan,102,Exeggcute,Egg Pokémon,たまごポケモン,Egg Pokémon
103,Exeggutor,Coconut,やしのみ,Yashi no Mi,Fruitpalme,Palmfrucht,Nocecocco,Coco,야자열매 Yaja Yeolmae,椰子 Yézi / Yēzi / Yèhjí,103,Exeggutor,Coconut Pokémon,やしのみポケモン,Coconut Pokémon
104,Cubone,Lonely,こどく,Kodoku,Solitaire,Einsam,Solitario,Solitario,고독 Godok,孤獨 / 孤独 Gūdú / Gūduhk,104,Cubone,Lonely Pokémon,こどくポケモン,Lonely Pokémon
105,Marowak,Bone Keeper*,ほねずき,Honezuki,Gard'Os,Knochenfan,Guardaossi,Apilahueso,뼈다귀 Ppyeodagwi,愛骨 / 爱骨 Àigǔ / Oigwāt,105,Marowak,Bone Keeper Pokémon,ほねずきポケモン,Bone Lover Pokémon
106,Hitmonlee,Kicking,キック,Kikku,Latteur,Kicker,Tiracalci,Patada,킥 Kick,踢腿 Tītuǐ / Tektéui,106,Hitmonlee,Kicking Pokémon,キックポケモン,Kick Pokémon
107,Hitmonchan,Punching,パンチ,Panchi,Puncheur,Puncher,Tirapugni,Puñetazo,펀치 Punch,拳擊 / 拳击 Quánjí / Quánjī / Kyùhngīk,107,Hitmonchan,Punching Pokémon,パンチポケモン,Punch Pokémon
108,Lickitung,Licking,なめまわし,Namemawashi,Lécheur,Schlecker,Linguaccia,Lametazo,핥기 Halggi,舔舔 Tiǎntiǎn / Tímtím,108,Lickitung,Licking Pokémon,なめまわしポケモン,Licking Pokémon
109,Koffing,Poison Gas,どくガス,Doku Gasu,Gaz mortel,Giftwolke,Velenuvola,Gas Venenoso,독가스 Dok Gas,毒氣 / 毒气 Dúqì / Duhkhei,109,Koffing,Poison Gas Pokémon,どくガスポケモン,Poison Gas Pokémon
110,Weezing,Poison Gas,どくガス,Doku Gasu,Gaz mortel,Giftwolke,Velenuvola,Gas Venenoso,독가스 Dok Gas,毒氣 / 毒气 Dúqì / Duhkhei,110,Weezing,Poison Gas Pokémon,どくガスポケモン,Poison Gas Pokémon
111,Rhyhorn,Spikes,とげとげ,Togetoge,Piquant,Stachler,Punzoni,Clavos,뿔 Ppul,尖尖 Jiānjiān / Jīmjīm,111,Rhyhorn,Spikes Pokémon,とげとげポケモン,Spiky Pokémon
112,Rhydon,Drill,ドリル,Doriru,Perceur,Bohrer,Trapano,Taladro,드릴 Drill,鑽錐 / 钻锥 Zuānzhuī / Jyūnjēui,112,Rhydon,Drill Pokémon,ドリルポケモン,Drill Pokémon
113,Chansey,Egg,たまご,Tamago,Œuf,Ei,Uovo,Huevo,알 Al,蛋 Dàn / Dáan,113,Chansey,Egg Pokémon,たまごポケモン,Egg Pokémon
114,Tangela,Vine,ツルじょう,Tsurujō,Vigne,Ranke,Liana,Enredadera,넝쿨 Neongkul,藤蔓狀 / 藤蔓状 Téngmànzhuàng / Tàhngmàahnjohng,114,Tangela,Vine Pokémon,ツルじょうポケモン,Tendril Pokémon
115,Kangaskhan,Parent,おやこ,Oyako,Maternel,Muttertier,Genitore,Padres,가족 Gajok,親子 / 亲子 Qīnzǐ / Chānjí,115,Kangaskhan,Parent Pokémon,おやこポケモン,Parent and Child Pokémon
116,Horsea,Dragon,ドラゴン,Doragon,Dragon,Drache,Drago,Dragón,드래곤 Dragon,龍 / 龙 Lóng / Lùhng,116,Horsea,Dragon Pokémon,ドラゴンポケモン,Dragon Pokémon
117,Seadra,Dragon,ドラゴン,Doragon,Dragon,Drache,Drago,Dragón,드래곤 Dragon,龍 / 龙 Lóng / Lùhng,117,Seadra,Dragon Pokémon,ドラゴンポケモン,Dragon Pokémon
