ID,ID_EXT,NAME,Base_HP_7,Base_Attack_7,Base_Defense_7,Base_Sp_Attack_7,Base_Sp_Defense_7,Base_Speed_7,Base_Total_7,Base_Average_7,ID,Pokémon,Base_HP_1,Base_Attack_1,Base_Defense_1,Base_Speed_1,Base_Special_1,Base_Total_1,Base_Average_1,ID,Pokémon,Base_HP_2_5,Base_Attack_2_5,Base_Defense_2_5,Base_Sp_Attack_2_5,Base_Sp_Defense_2_5,Base_Speed_2_5,Base_Total_2_5,Base_Average_2_5,ID,ID_EX,Name,Base_HP_6,Base_Attack_6,Base_Defense_6,Base_Sp_Attack_6,Base_Sp_Defense_6,Base_Speed_6,Base_Total_6,Base_Average_6
38,38,Ninetales,73,76,75,81,100,100,505,84.17,51,Dugtrio,35,80,50,120,70,355,71,51,Dugtrio,35,80,50,50,70,120,405,67.5,45,45,Vileplume,75,80,85,110,90,50,490,81.67
38,038A,Ninetales (Alolan Ninetales),73,67,75,81,100,109,505,84.17,52,Meowth,40,45,35,90,40,250,50,52,Meowth,40,45,35,40,40,90,290,48.33,46,46,Paras,35,70,55,45,55,25,285,47.5
39,39,Jigglypuff,115,45,20,45,25,20,270,45,53,Persian,65,70,60,115,65,375,75,53,Persian,65,70,60,65,65,115,440,73.33,47,47,Parasect,60,95,80,60,80,30,405,67.5
40,40,Wigglytuff,140,70,45,85,50,45,435,72.5,54,Psyduck,50,52,48,55,50,255,51,54,Psyduck,50,52,48,65,50,55,320,53.33,48,48,Venonat,60,55,50,40,55,45,305,50.83
41,41,Zubat,40,45,35,30,40,55,245,40.83,55,Golduck,80,82,78,85,80,405,81,55,Golduck,80,82,78,95,80,85,500,83.33,49,49,Venomoth,70,65,60,90,75,90,450,75
42,42,Golbat,75,80,70,65,75,90,455,75.83,56,Mankey,40,80,35,70,35,260,52,56,Mankey,40,80,35,35,45,70,305,50.83,50,50,Diglett,10,55,25,35,45,95,265,44.17
43,43,Oddish,45,50,55,75,65,30,320,53.33,57,Primeape,65,105,60,95,60,385,77,57,Primeape,65,105,60,60,70,95,455,75.83,51,51,Dugtrio,35,80,50,50,70,120,405,67.5
44,44,Gloom,60,65,70,85,75,40,395,65.83,58,Growlithe,55,70,45,60,50,280,56,58,Growlithe,55,70,45,70,50,60,350,58.33,52,52,Meowth,40,45,35,40,40,90,290,48.33
45,45,Vileplume,75,80,85,110,90,50,490,81.67,59,Arcanine,90,110,80,95,80,455,91,59,Arcanine,90,110,80,100,80,95,555,92.5,53,53,Persian,65,70,60,65,65,115,440,73.33
46,46,Paras,35,70,55,45,55,25,285,47.5,60,Poliwag,40,50,40,90,40,260,52,60,Poliwag,40,50,40,40,40,90,300,50,54,54,Psyduck,50,52,48,65,50,55,320,53.33
47,47,Parasect,60,95,80,60,80,30,405,67.5,61,Poliwhirl,65,65,65,90,50,335,67,61,Poliwhirl,65,65,65,50,50,90,385,64.17,55,55,Golduck,80,82,78,95,80,85,500,83.33
48,48,Venonat,60,55,50,40,55,45,305,50.83,62,Poliwrath,90,85,95,70,70,410,82,62,Poliwrath,90,85,95,70,90,70,500,83.33,56,56,Mankey,40,80,35,35,45,70,305,50.83
49,49,Venomoth,70,65,60,90,75,90,450,75,63,Abra,25,20,15,90,105,255,51,63,Abra,25,20,15,105,55,90,310,51.67,57,57,Primeape,65,105,60,60,70,95,455,75.83
50,50,Diglett,10,55,25,35,45,95,265,44.17,64,Kadabra,40,35,30,105,120,330,66,64,Kadabra,40,35,30,120,70,105,400,66.67,58,58,Growlithe,55,70,45,70,50,60,350,58.33
50,050A,Diglett (Alolan Diglett),10,55,30,35,45,90,265,44.17,65,Alakazam,55,50,45,120,135,405,81,65,Alakazam,55,50,45,135,85,120,490,81.67,59,59,Arcanine,90,110,80,100,80,95,555,92.5
51,51,Dugtrio,35,100,50,50,70,120,425,70.83,66,Machop,70,80,50,35,35,270,54,66,Machop,70,80,50,35,35,35,305,50.83,60,60,Poliwag,40,50,40,40,40,90,300,50
51,051A,Dugtrio (Alolan Dugtrio),35,100,60,50,70,110,425,70.83,67,Machoke,80,100,70,45,50,345,69,67,Machoke,80,100,70,50,60,45,405,67.5,61,61,Poliwhirl,65,65,65,50,50,90,385,64.17
52,52,Meowth,40,45,35,40,40,90,290,48.33,68,Machamp,90,130,80,55,65,420,84,68,Machamp,90,130,80,65,85,55,505,84.17,62,62,Poliwrath,90,95,95,70,90,70,510,85
52,052A,Meowth (Alolan Meowth),40,35,35,50,40,90,290,48.33,69,Bellsprout,50,75,35,40,70,270,54,69,Bellsprout,50,75,35,70,30,40,300,50,63,63,Abra,25,20,15,105,55,90,310,51.67
53,53,Persian,65,70,60,65,65,115,440,73.33,70,Weepinbell,65,90,50,55,85,345,69,70,Weepinbell,65,90,50,85,45,55,390,65,64,64,Kadabra,40,35,30,120,70,105,400,66.67
53,053A,Persian (Alolan Persian),65,60,60,75,65,115,440,73.33,71,Victreebel,80,105,65,70,100,420,84,71,Victreebel,80,105,65,100,60,70,480,80,65,65,Alakazam,55,50,45,135,95,120,500,83.33
54,54,Psyduck,50,52,48,65,50,55,320,53.33,72,Tentacool,40,40,35,70,100,285,57,72,Tentacool,40,40,35,50,100,70,335,55.83,65,065M,Alakazam (Mega Alakazam),55,50,65,175,95,150,590,98.33
55,55,Golduck,80,82,78,95,80,85,500,83.33,73,Tentacruel,80,70,65,100,120,435,87,73,Tentacruel,80,70,65,80,120,100,515,85.83,66,66,Machop,70,80,50,35,35,35,305,50.83
56,56,Mankey,40,80,35,35,45,70,305,50.83,74,Geodude,40,80,100,20,30,270,54,74,Geodude,40,80,100,30,30,20,300,50,67,67,Machoke,80,100,70,50,60,45,405,67.5
57,57,Primeape,65,105,60,60,70,95,455,75.83,75,Graveler,55,95,115,35,45,345,69,75,Graveler,55,95,115,45,45,35,390,65,68,68,Machamp,90,130,80,65,85,55,505,84.17
58,58,Growlithe,55,70,45,70,50,60,350,58.33,76,Golem,80,110,130,45,55,420,84,76,Golem,80,110,130,55,65,45,485,80.83,69,69,Bellsprout,50,75,35,70,30,40,300,50
59,59,Arcanine,90,110,80,100,80,95,555,92.5,77,Ponyta,50,85,55,90,65,345,69,77,Ponyta,50,85,55,65,65,90,410,68.33,70,70,Weepinbell,65,90,50,85,45,55,390,65
60,60,Poliwag,40,50,40,40,40,90,300,50,78,Rapidash,65,100,70,105,80,420,84,78,Rapidash,65,100,70,80,80,105,500,83.33,71,71,Victreebel,80,105,65,100,70,70,490,81.67
61,61,Poliwhirl,65,65,65,50,50,90,385,64.17,79,Slowpoke,90,65,65,15,40,275,55,79,Slowpoke,90,65,65,40,40,15,315,52.5,72,72,Tentacool,40,40,35,50,100,70,335,55.83
62,62,Poliwrath,90,95,95,70,90,70,510,85,80,Slowbro,95,75,110,30,80,390,78,80,Slowbro,95,75,110,100,80,30,490,81.67,73,73,Tentacruel,80,70,65,80,120,100,515,85.83
63,63,Abra,25,20,15,105,55,90,310,51.67,81,Magnemite,25,35,70,45,95,270,54,81,Magnemite,25,35,70,95,55,45,325,54.17,74,74,Geodude,40,80,100,30,30,20,300,50
64,64,Kadabra,40,35,30,120,70,105,400,66.67,82,Magneton,50,60,95,70,120,395,79,82,Magneton,50,60,95,120,70,70,465,77.5,75,75,Graveler,55,95,115,45,45,35,390,65
65,65,Alakazam,55,50,45,135,95,120,500,83.33,83,Farfetch'd,52,65,55,60,58,290,58,83,Farfetch'd,52,65,55,58,62,60,352,58.67,76,76,Golem,80,120,130,55,65,45,495,82.5
65,065M,Alakazam (Mega Alakazam),55,50,65,175,105,150,600,100,84,Doduo,35,85,45,75,35,275,55,84,Doduo,35,85,45,35,35,75,310,51.67,77,77,Ponyta,50,85,55,65,65,90,410,68.33
66,66,Machop,70,80,50,35,35,35,305,50.83,85,Dodrio,60,110,70,100,60,400,80,85,Dodrio,60,110,70,60,60,100,460,76.67,78,78,Rapidash,65,100,70,80,80,105,500,83.33
67,67,Machoke,80,100,70,50,60,45,405,67.5,86,Seel,65,45,55,45,70,280,56,86,Seel,65,45,55,45,70,45,325,54.17,79,79,Slowpoke,90,65,65,40,40,15,315,52.5
68,68,Machamp,90,130,80,65,85,55,505,84.17,87,Dewgong,90,70,80,70,95,405,81,87,Dewgong,90,70,80,70,95,70,475,79.17,80,80,Slowbro,95,75,110,100,80,30,490,81.67
69,69,Bellsprout,50,75,35,70,30,40,300,50,88,Grimer,80,80,50,25,40,275,55,88,Grimer,80,80,50,40,50,25,325,54.17,80,080M,Slowbro (Mega Slowbro),95,75,180,130,80,30,590,98.33
70,70,Weepinbell,65,90,50,85,45,55,390,65,89,Muk,105,105,75,50,65,400,80,89,Muk,105,105,75,65,100,50,500,83.33,81,81,Magnemite,25,35,70,95,55,45,325,54.17
71,71,Victreebel,80,105,65,100,70,70,490,81.67,90,Shellder,30,65,100,40,45,280,56,90,Shellder,30,65,100,45,25,40,305,50.83,82,82,Magneton,50,60,95,120,70,70,465,77.5
72,72,Tentacool,40,40,35,50,100,70,335,55.83,91,Cloyster,50,95,180,70,85,480,96,91,Cloyster,50,95,180,85,45,70,525,87.5,83,83,Farfetch'd,52,65,55,58,62,60,352,58.67
73,73,Tentacruel,80,70,65,80,120,100,515,85.83,92,Gastly,30,35,30,80,100,275,55,92,Gastly,30,35,30,100,35,80,310,51.67,84,84,Doduo,35,85,45,35,35,75,310,51.67
74,74,Geodude,40,80,100,30,30,20,300,50,93,Haunter,45,50,45,95,115,350,70,93,Haunter,45,50,45,115,55,95,405,67.5,85,85,Dodrio,60,110,70,60,60,100,460,76.67
74,074A,Geodude (Alolan Geodude),40,80,100,30,30,20,300,50,94,Gengar,60,65,60,110,130,425,85,94,Gengar,60,65,60,130,75,110,500,83.33,86,86,Seel,65,45,55,45,70,45,325,54.17
75,75,Graveler,55,95,115,45,45,35,390,65,95,Onix,35,45,160,70,30,340,68,95,Onix,35,45,160,30,45,70,385,64.17,87,87,Dewgong,90,70,80,70,95,70,475,79.17
75,075A,Graveler (Alolan Graveler),55,95,115,45,45,35,390,65,96,Drowzee,60,48,45,42,90,285,57,96,Drowzee,60,48,45,43,90,42,328,54.67,88,88,Grimer,80,80,50,40,50,25,325,54.17
76,76,Golem,80,120,130,55,65,45,495,82.5,97,Hypno,85,73,70,67,115,410,82,97,Hypno,85,73,70,73,115,67,483,80.5,89,89,Muk,105,105,75,65,100,50,500,83.33
76,076A,Golem (Alolan Golem),80,120,130,55,65,45,495,82.5,98,Krabby,30,105,90,50,25,300,60,98,Krabby,30,105,90,25,25,50,325,54.17,90,90,Shellder,30,65,100,45,25,40,305,50.83
77,77,Ponyta,50,85,55,65,65,90,410,68.33,99,Kingler,55,130,115,75,50,425,85,99,Kingler,55,130,115,50,50,75,475,79.17,91,91,Cloyster,50,95,180,85,45,70,525,87.5
78,78,Rapidash,65,100,70,80,80,105,500,83.33,100,Voltorb,40,30,50,100,55,275,55,100,Voltorb,40,30,50,55,55,100,330,55,92,92,Gastly,30,35,30,100,35,80,310,51.67
79,79,Slowpoke,90,65,65,40,40,15,315,52.5,101,Electrode,60,50,70,140,80,400,80,101,Electrode,60,50,70,80,80,140,480,80,93,93,Haunter,45,50,45,115,55,95,405,67.5
80,80,Slowbro,95,75,110,100,80,30,490,81.67,102,Exeggcute,60,40,80,40,60,280,56,102,Exeggcute,60,40,80,60,45,40,325,54.17,94,94,Gengar,60,65,60,130,75,110,500,83.33
80,080M,Slowbro (Mega Slowbro),95,75,180,130,80,30,590,98.33,103,Exeggutor,95,95,85,55,125,455,91,103,Exeggutor,95,95,85,125,65,55,520,86.67,94,094M,Gengar (Mega Gengar),60,65,80,170,95,130,600,100
81,81,Magnemite,25,35,70,95,55,45,325,54.17,104,Cubone,50,50,95,35,40,270,54,104,Cubone,50,50,95,40,50,35,320,53.33,95,95,Onix,35,45,160,30,45,70,385,64.17
82,82,Magneton,50,60,95,120,70,70,465,77.5,105,Marowak,60,80,110,45,50,345,69,105,Marowak,60,80,110,50,80,45,425,70.83,96,96,Drowzee,60,48,45,43,90,42,328,54.67
83,83,Farfetch'd,52,90,55,58,62,60,377,62.83,106,Hitmonlee,50,120,53,87,35,345,69,106,Hitmonlee,50,120,53,35,110,87,455,75.83,97,97,Hypno,85,73,70,73,115,67,483,80.5
84,84,Doduo,35,85,45,35,35,75,310,51.67,107,Hitmonchan,50,105,79,76,35,345,69,107,Hitmonchan,50,105,79,35,110,76,455,75.83,98,98,Krabby,30,105,90,25,25,50,325,54.17
85,85,Dodrio,60,110,70,60,60,110,470,78.33,108,Lickitung,90,55,75,30,60,310,62,108,Lickitung,90,55,75,60,75,30,385,64.17,99,99,Kingler,55,130,115,50,50,75,475,79.17
86,86,Seel,65,45,55,45,70,45,325,54.17,109,Koffing,40,65,95,35,60,295,59,109,Koffing,40,65,95,60,45,35,340,56.67,100,100,Voltorb,40,30,50,55,55,100,330,55
87,87,Dewgong,90,70,80,70,95,70,475,79.17,110,Weezing,65,90,120,60,85,420,84,110,Weezing,65,90,120,85,70,60,490,81.67,101,101,Electrode,60,50,70,80,80,140,480,80
88,88,Grimer,80,80,50,40,50,25,325,54.17,111,Rhyhorn,80,85,95,25,30,315,63,111,Rhyhorn,80,85,95,30,30,25,345,57.5,102,102,Exeggcute,60,40,80,60,45,40,325,54.17
88,088A,Grimer (Alolan Grimer),80,80,50,40,50,25,325,54.17,112,Rhydon,105,130,120,40,45,440,88,112,Rhydon,105,130,120,45,45,40,485,80.83,103,103,Exeggutor,95,95,85,125,65,55,520,86.67
89,89,Muk,105,105,75,65,100,50,500,83.33,113,Chansey,250,5,5,50,105,415,83,113,Chansey,250,5,5,35,105,50,450,75,104,104,Cubone,50,50,95,40,50,35,320,53.33
89,089A,Muk (Alolan Muk),105,105,75,65,100,50,500,83.33,114,Tangela,65,55,115,60,100,395,79,114,Tangela,65,55,115,100,40,60,435,72.5,105,105,Marowak,60,80,110,50,80,45,425,70.83
90,90,Shellder,30,65,100,45,25,40,305,50.83,115,Kangaskhan,105,95,80,90,40,410,82,115,Kangaskhan,105,95,80,40,80,90,490,81.67,106,106,Hitmonlee,50,120,53,35,110,87,455,75.83
91,91,Cloyster,50,95,180,85,45,70,525,87.5,116,Horsea,30,40,70,60,70,270,54,116,Horsea,30,40,70,70,25,60,295,49.17,107,107,Hitmonchan,50,105,79,35,110,76,455,75.83
92,92,Gastly,30,35,30,100,35,80,310,51.67,117,Seadra,55,65,95,85,95,395,79,117,Seadra,55,65,95,95,45,85,440,73.33,108,108,Lickitung,90,55,75,60,75,30,385,64.17
93,93,Haunter,45,50,45,115,55,95,405,67.5,118,Goldeen,45,67,60,63,50,285,57,118,Goldeen,45,67,60,35,50,63,320,53.33,109,109,Koffing,40,65,95,60,45,35,340,56.67
94,94,Gengar,60,65,60,130,75,110,500,83.33,119,Seaking,80,92,65,68,80,385,77,119,Seaking,80,92,65,65,80,68,450,75,110,110,Weezing,65,90,120,85,70,60,490,81.67
94,094M,Gengar (Mega Gengar),60,65,80,170,95,130,600,100,120,Staryu,30,45,55,85,70,285,57,120,Staryu,30,45,55,70,55,85,340,56.67,111,111,Rhyhorn,80,85,95,30,30,25,345,57.5
95,95,Onix,35,45,160,30,45,70,385,64.17,121,Starmie,60,75,85,115,100,435,87,121,Starmie,60,75,85,100,85,115,520,86.67,112,112,Rhydon,105,130,120,45,45,40,485,80.83
96,96,Drowzee,60,48,45,43,90,42,328,54.67,122,Mr. Mime,40,45,65,90,100,340,68,122,Mr. Mime,40,45,65,100,120,90,460,76.67,113,113,Chansey,250,5,5,35,105,50,450,75
97,97,Hypno,85,73,70,73,115,67,483,80.5,123,Scyther,70,110,80,105,55,420,84,123,Scyther,70,110,80,55,80,105,500,83.33,114,114,Tangela,65,55,115,100,40,60,435,72.5
98,98,Krabby,30,105,90,25,25,50,325,54.17,124,Jynx,65,50,35,95,95,340,68,124,Jynx,65,50,35,115,95,95,455,75.83,115,115,Kangaskhan,105,95,80,40,80,90,490,81.67
99,99,Kingler,55,130,115,50,50,75,475,79.17,125,Electabuzz,65,83,57,105,85,395,79,125,Electabuzz,65,83,57,95,85,105,490,81.67,115,115M,Kangaskhan (Mega Kangaskhan),105,125,100,60,100,100,590,98.33
100,100,Voltorb,40,30,50,55,55,100,330,55,126,Magmar,65,95,57,93,85,395,79,126,Magmar,65,95,57,100,85,93,495,82.5,116,116,Horsea,30,40,70,70,25,60,295,49.17
