Name,Dex,Item,Egg Group 1,Egg Group 2,Type,Type2,Body,Color,Call_Rate_SM,Call_Rate_USUM,Star,Gender_Ratio,Cycles,Ability 1,Ability 2,Hidden,WeightKg,WeightLbs,HeightM,Ft,In
Jellicent,593,,Amorphous,,Water,Ghost,Tentacles or a multiped body,White,,,0,1:1,20,Water Absorb,Cursed Body,Damp,135,297.6,2.2,7,3
Sandile,551,,Field,,Ground,Dark,Quadruped body,Brown,,,0,1:1,20,Intimidate,Moxie,Anger Point,15.2,33.5,0.7,2,4
Krokorok,552,,Field,,Ground,Dark,Quadruped body,Brown,,,0,1:1,20,Intimidate,Moxie,Anger Point,33.4,73.6,1,3,3
Pancham,674,,Field,Human-Like,Fighting,,"Bipedal, tailed form",White,,,0,1:1,25,Iron Fist,Mold Breaker,Scrappy,8,17.6,0.6,2,0
Slowbro,80,,Monster,Water 1,Water,Psychic,"Bipedal, tailed form",Pink,,,0,1:1,20,Oblivious,Own Tempo,Regenerator,78.5,173.1,1.6,5,3
Kyurem,646,,Undiscovered,,Dragon,Ice,"Bipedal, tailed form",Gray,,,0,GU,120,Pressure,,,325,716.5,3.3,10,10
Happiny,440,,Undiscovered,,Normal,,"Bipedal, tailless form",Pink,,,0,1:0U,40,Natural Cure,Serene Grace,Friend Guard,24.4,53.8,0.6,2,0
Suicune,245,,Undiscovered,,Water,,Quadruped body,Blue,,,8,GU,80,Pressure,,Inner Focus,187,412.3,2,6,7
Minior,774,,Mineral,,Rock,Flying,Head,Red,,,0,G,25,Shields Down,,,40,88.2,0.3,1,0
Scizor,212,,Bug,,Bug,Steel,Two or more pairs of wings,Red,,,2,1:1,25,Swarm,Technician,Light Metal,118,260.1,1.8,5,11
Umbreon,197,,Field,,Dark,,Quadruped body,Black,,,0,1:7,35,Synchronize,,Inner Focus,27,59.5,1,3,3
Venonat,48,,Bug,,Bug,Poison,"Bipedal, tailless form",Purple,,,2,1:1,20,Compound Eyes,Tinted Lens,Run Away,30,66.1,1,3,3
Palossand,770,,Amorphous,,Ghost,Ground,Serpentine bodies,Brown,,,0,1:1,15,Water Compaction,,Sand Veil,250,551.2,1.3,4,3
Weezing,110,,Amorphous,,Poison,,Multiple bodies,Purple,,,0,1:1,20,Levitate,,,9.5,20.9,1.2,3,11
Floette,670,,Fairy,,Fairy,,Head and arms,White,,0,0,1:0,20,Flower Veil,,Symbiosis,0.9,2,0.2,0,8
Joltik,595,,Bug,,Bug,Electric,Insectoid body,Yellow,,,0,1:1,20,Compound Eyes,Unnerve,Swarm,0.6,1.3,0.1,0,4
Shuppet,353,,Amorphous,,Ghost,,Head,Black,,,2,1:1,25,Insomnia,Frisk,Cursed Body,2.3,5.1,0.6,2,0
Rhyhorn,111,,Monster,Field,Ground,Rock,Quadruped body,Gray,,,0,1:1,20,Lightning Rod,Rock Head,Reckless,115,253.5,1,3,3
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Krabby,98,,Water 3,,Water,,Insectoid body,Red,,,0,1:1,20,Hyper Cutter,Shell Armor,Sheer Force,6.5,14.3,0.4,1,4
Eelektross,604,,Amorphous,,Electric,,Fins,Blue,,,0,1:1,20,Levitate,,,80.5,177.5,2.1,6,11
Buneary,427,,Field,Human-Like,Normal,,"Bipedal, tailed form",Brown,,,0,1:1,20,Run Away,Klutz,Limber,5.5,12.1,0.4,1,4
Oricorio,741,,Flying,,Fire,Flying,Single pair of wings,Yellow,,,0,3:1,20,Dancer,,,3.4,7.5,0.6,2,0
Meowth,52,,Field,,Dark,,Quadruped body,Blue,,,2,1:1,20,Pickup,Technician,Unnerve,4.2,9.3,0.4,1,4
Groudon,383,Red Orb,Undiscovered,,Ground,Fire,"Bipedal, tailed form",Red,,,0,GU,120,Drought,,,950,2094.4,5,16,5
Sceptile,254,,Monster,Dragon,Grass,,"Bipedal, tailed form",Green,,,0,1:7,20,Overgrow,,Unburden,52.2,115.1,1.7,5,7
Glalie,362,,Fairy,Mineral,Ice,,Head,Gray,,,2,1:1,20,Inner Focus,Ice Body,Moody,256.5,565.5,1.5,4,11
Gigalith,526,,Mineral,,Rock,,Tentacles or a multiped body,Blue,,,2,1:1,15,Sturdy,Sand Stream,Sand Force,260,573.2,1.7,5,7
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Electivire,466,,Human-Like,,Electric,,"Bipedal, tailed form",Yellow,,,0,1:3,25,Motor Drive,,Vital Spirit,138.6,305.6,1.8,5,11
Charmeleon,5,,Monster,Dragon,Fire,,"Bipedal, tailed form",Red,,,0,1:7,20,Blaze,,Solar Power,19,41.9,1.1,3,7
Mothim,414,,Bug,,Bug,Flying,Two or more pairs of wings,Yellow,,,0,0:1,15,Swarm,,Tinted Lens,23.3,51.4,0.9,2,11
Sliggoo,705,,Dragon,,Dragon,,Serpentine bodies,Purple,,,0,1:1,40,Sap Sipper,Hydration,Gooey,17.5,38.6,0.8,2,7
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Piloswine,221,,Field,,Ice,Ground,Quadruped body,Brown,,,2,1:1,20,Oblivious,Snow Cloak,Thick Fat,55.8,123,1.1,3,7
Flareon,136,,Field,,Fire,,Quadruped body,Red,,,0,1:7,35,Flash Fire,,Guts,25,55.1,0.9,2,11
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Corphish,341,,Water 1,Water 3,Water,,Insectoid body,Red,,,0,1:1,15,Hyper Cutter,Shell Armor,Adaptability,11.5,25.4,0.6,2,0
Baltoy,343,,Mineral,,Ground,Psychic,Head and arms,Brown,,,0,G,20,Levitate,,,21.5,47.4,0.5,1,8
Magmar,126,,Human-Like,,Fire,,"Bipedal, tailed form",Red,,,0,1:3,25,Flame Body,,Vital Spirit,44.5,98.1,1.3,4,3
Zekrom,644,,Undiscovered,,Dragon,Electric,"Bipedal, tailed form",Black,,,0,GU,120,Teravolt,,,345,760.6,2.9,9,6
Totodile,158,,Monster,Water 1,Water,,"Bipedal, tailed form",Blue,,,0,1:7,20,Torrent,,Sheer Force,9.5,20.9,0.6,2,0
Thundurus,642,,Undiscovered,,Electric,Flying,Head and arms,Blue,,,0,0:1U,120,Prankster,,Defiant,61,134.5,1.5,4,11
Beldum,374,,Mineral,,Steel,Psychic,Head and a base,Blue,,,0,G,40,Clear Body,,Light Metal,95.2,209.9,0.6,2,0
Cryogonal,615,,Mineral,,Ice,,Head,Blue,,,0,G,25,Levitate,,,148,326.3,1.1,3,7
Persian,53,,Field,,Dark,,Quadruped body,Blue,,,2,1:1,20,Limber,Technician,Unnerve,32,70.5,1.1,3,7
Kingler,99,,Water 3,,Water,,Insectoid body,Red,,,0,1:1,20,Hyper Cutter,Shell Armor,Sheer Force,60,132.3,1.3,4,3
Bouffalant,626,,Field,,Normal,,Quadruped body,Brown,,,0,1:1,20,Reckless,Sap Sipper,Soundproof,94.5,208.3,1.6,5,3
Golisopod,768,,Bug,Water 3,Bug,Water,"Bipedal, tailless form",Gray,,,0,1:1,20,Emergency Exit,,,108,238.1,2,6,7
Arcanine,59,,Field,,Fire,,Quadruped body,Brown,,,0,1:3,20,Intimidate,Flash Fire,Justified,155,341.7,1.9,6,3
Armaldo,348,,Water 3,,Rock,Bug,"Bipedal, tailed form",Gray,,,0,1:7,30,Battle Armor,,Swift Swim,68.2,150.4,1.5,4,11
Fletchinder,662,,Flying,,Fire,Flying,Single pair of wings,Red,,,0,1:1,15,Flame Body,,Gale Wings,16,35.3,0.7,2,4
Sableye,302,Sablenite,Human-Like,,Dark,Ghost,"Bipedal, tailless form",Purple,,,2,1:1,25,Keen Eye,Stall,Prankster,11,24.3,0.5,1,8
Vaporeon,134,,Field,,Water,,Quadruped body,Blue,,,0,1:7,35,Water Absorb,,Hydration,29,63.9,1,3,3
Haxorus,612,,Monster,Dragon,Dragon,,"Bipedal, tailed form",Yellow,,,0,1:1,40,Rivalry,Mold Breaker,Unnerve,105.5,232.6,1.8,5,11
Bounsweet,761,,Grass,,Grass,,Head and legs,Purple,,,0,1:0,20,Leaf Guard,Oblivious,Sweet Veil,3.2,7.1,0.3,1,0
Pupitar,247,,Monster,,Rock,Ground,Serpentine bodies,Gray,,,0,1:1,40,Shed Skin,,,152,335.1,1.2,3,11
Oricorio,741,,Flying,,Fire,Flying,Single pair of wings,Pink,,,0,3:1,20,Dancer,,,3.4,7.5,0.6,2,0
Pawniard,624,,Human-Like,,Dark,Steel,"Bipedal, tailless form",Red,,,0,1:1,20,Defiant,Inner Focus,Pressure,10.2,22.5,0.5,1,8
Gulpin,316,,Amorphous,,Poison,,Head and arms,Green,,,0,1:1,20,Liquid Ooze,Sticky Hold,Gluttony,10.3,22.7,0.4,1,4
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Charizard,6,,Monster,Dragon,Fire,Flying,"Bipedal, tailed form",Red,,,0,1:7,20,Blaze,,Solar Power,90.5,199.5,1.7,5,7
Nidoqueen,31,,Undiscovered,,Poison,Ground,"Bipedal, tailed form",Blue,,,2,1:0U,20,Poison Point,Rivalry,Sheer Force,60,132.3,1.3,4,3
Keldeo,647,,Undiscovered,,Water,Fighting,Quadruped body,Yellow,,,0,GU,80,Justified,,,48.5,106.9,1.4,4,7
Horsea,116,,Water 1,Dragon,Water,,Head and a base,Blue,,,2,1:1,20,Swift Swim,Sniper,Damp,8,17.6,0.4,1,4
Vullaby,629,,Flying,,Dark,Flying,Single pair of wings,Brown,,,0,1:0,20,Big Pecks,Overcoat,Weak Armor,9,19.8,0.5,1,8
Gorebyss,368,,Water 1,,Water,,Serpentine bodies,Pink,,,0,1:1,20,Swift Swim,,Hydration,22.6,49.8,1.8,5,11
Dunsparce,206,,Field,,Normal,,Serpentine bodies,Yellow,,,0,1:1,20,Serene Grace,Run Away,Rattled,14,30.9,1.5,4,11
Dewott,502,,Field,,Water,,"Bipedal, tailed form",Blue,,,0,1:7,20,Torrent,,Shell Armor,24.5,54,0.8,2,7
Starmie,121,,Water 3,,Water,Psychic,Head and a base,Purple,,,0,G,20,Illuminate,Natural Cure,Analytic,80,176.4,1.1,3,7
Honchkrow,430,,Flying,,Dark,Flying,Single pair of wings,Black,,,0,1:1,20,Insomnia,Super Luck,Moxie,27.3,60.2,0.9,2,11
Lilligant,549,,Grass,,Grass,,Head and a base,Green,,,0,1:0,20,Chlorophyll,Own Tempo,Leaf Guard,16.3,35.9,1.1,3,7
Trubbish,568,,Mineral,,Poison,,"Bipedal, tailless form",Green,,,0,1:1,20,Stench,Sticky Hold,Aftermath,31,68.3,0.6,2,0
Magearna,801,,Undiscovered,,Steel,Fairy,"Bipedal, tailless form",Red,,,0,GU,120,Soul-Heart,,,80.5,177.5,1,3,3
Phanpy,231,,Field,,Ground,,Quadruped body,Blue,,,0,1:1,20,Pickup,,Sand Veil,33.5,73.9,0.5,1,8
Nihilego,793,,Undiscovered,,Rock,Poison,Tentacles or a multiped body,White,,,0,GU,120,Beast Boost,,,55.5,122.4,1.2,3,11
Axew,610,,Monster,Dragon,Dragon,,"Bipedal, tailed form",Green,,,0,1:1,40,Rivalry,Mold Breaker,Unnerve,18,39.7,0.6,2,0
Venusaur,3,Venusaurite,Monster,Grass,Grass,Poison,Quadruped body,Green,,,0,1:7,20,Overgrow,,Chlorophyll,100,220.5,2.4,7,10
Necrozma,800,,Undiscovered,,Psychic,,Head and arms,Black,,,0,GU,120,Prism Armor,,,230,507.1,4.2,13,9
Vivillon,666,,Bug,,Bug,Flying,Two or more pairs of wings,White,,,0,1:1,15,Shield Dust,Compound Eyes,Friend Guard,17,37.5,1.2,3,11
Cleffa,173,,Undiscovered,,Fairy,,"Bipedal, tailed form",Pink,,,2,3:1U,10,Cute Charm,Magic Guard,Friend Guard,3,6.6,0.3,1,0
Xatu,178,,Flying,,Psychic,Flying,Single pair of wings,Green,,,0,1:1,20,Synchronize,Early Bird,Magic Bounce,15,33.1,1.5,4,11
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Snorunt,361,,Fairy,Mineral,Ice,,"Bipedal, tailless form",Gray,,,2,1:1,20,Inner Focus,Ice Body,Moody,16.8,37,0.7,2,4
Dustox,269,,Bug,,Bug,Poison,Two or more pairs of wings,Green,,,0,1:1,15,Shield Dust,,Compound Eyes,31.6,69.7,1.2,3,11
Glalie,362,Glalitite,Fairy,Mineral,Ice,,Head,Gray,,,2,1:1,20,Inner Focus,Ice Body,Moody,256.5,565.5,2.1,6,11
Lunala,792,,Undiscovered,,Psychic,Ghost,Single pair of wings,Purple,,,0,GU,120,Shadow Shield,,,120,264.6,4,13,1
Murkrow,198,,Flying,,Dark,Flying,Single pair of wings,Black,,,2,1:1,20,Insomnia,Super Luck,Prankster,2.1,4.6,0.5,1,8
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Steenee,762,,Grass,,Grass,,"Bipedal, tailless form",Purple,,,0,1:0,20,Leaf Guard,Oblivious,Sweet Veil,8.2,18.1,0.7,2,4
Basculin,550,,Water 2,,Water,,Fins,Green,,0,8,1:1,40,Rock Head,Adaptability,Mold Breaker,18,39.7,1,3,3
Loudred,294,,Monster,Field,Normal,,"Bipedal, tailed form",Blue,,,0,1:1,20,Soundproof,,Scrappy,40.5,89.3,1,3,3
Scatterbug,664,,Bug,,Bug,,Insectoid body,Black,,,0,1:1,15,Shield Dust,Compound Eyes,Friend Guard,2.5,5.5,0.3,1,0
Politoed,186,,Water 1,,Water,,"Bipedal, tailless form",Green,,,0,1:1,20,Water Absorb,Damp,Drizzle,33.9,74.7,1.1,3,7
Crawdaunt,342,,Water 1,Water 3,Water,Dark,Insectoid body,Red,,,0,1:1,15,Hyper Cutter,Shell Armor,Adaptability,32.8,72.3,1.1,3,7
Archeops,567,,Flying,Water 3,Rock,Flying,Single pair of wings,Yellow,,,0,1:7,30,Defeatist,,,32,70.5,1.4,4,7
Lillipup,506,,Field,,Normal,,Quadruped body,Brown,,,0,1:1,15,Vital Spirit,Pickup,Run Away,4.1,9,0.4,1,4
Hariyama,297,,Human-Like,,Fighting,,"Bipedal, tailless form",Brown,,,0,1:3,20,Thick Fat,Guts,Sheer Force,253.8,559.5,2.3,7,7
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Floette,670,,Fairy,,Fairy,,Head and arms,White,,9,0,1:0,20,Flower Veil,,Symbiosis,0.9,2,0.2,0,8
Medicham,308,Medichamite,Human-Like,,Fighting,Psychic,"Bipedal, tailless form",Red,,,0,1:1,20,Pure Power,,Telepathy,31.5,69.4,1.3,4,3
Basculin,550,,Water 2,,Water,,Fins,Green,,9,0,1:1,40,Reckless,Adaptability,Mold Breaker,18,39.7,1,3,3
Breloom,286,,Fairy,Grass,Grass,Fighting,"Bipedal, tailed form",Green,,,2,1:1,15,Effect Spore,Poison Heal,Technician,39.2,86.4,1.2,3,11
Staravia,397,,Flying,,Normal,Flying,Single pair of wings,Brown,,,0,1:1,15,Intimidate,,Reckless,15.5,34.2,0.6,2,0
Relicanth,369,,Water 1,Water 2,Water,Rock,Fins,Gray,,,0,1:7,40,Swift Swim,Rock Head,Sturdy,23.4,51.6,1,3,3
Grimer,88,,Amorphous,,Poison,,Head and arms,Purple,,,0,1:1,20,Stench,Sticky Hold,Poison Touch,30,66.1,0.9,2,11
Shelmet,616,,Bug,,Bug,,Head,Red,,,0,1:1,15,Hydration,Shell Armor,Overcoat,7.7,17,0.4,1,4
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Unown,201,,Undiscovered,,Psychic,,Head,Black,,,0,GU,40,Levitate,,,5,11,0.5,1,8
Sylveon,700,,Field,,Fairy,,Quadruped body,Pink,,,0,1:7,35,Cute Charm,,Pixilate,23.5,51.8,1,3,3
Ho-Oh,250,,Undiscovered,,Fire,Flying,Single pair of wings,Red,,,0,GU,120,Pressure,,Regenerator,199,438.7,3.8,12,6
Rotom,479,,Amorphous,,Electric,Ghost,Head,Red,,,0,G,20,Levitate,,,0.3,0.7,0.3,1,0
Porygon-Z,474,,Mineral,,Normal,,Head and arms,Red,,,0,G,20,Adaptability,Download,Analytic,34,75,0.9,2,11
Vivillon,666,,Bug,,Bug,Flying,Two or more pairs of wings,White,,,0,1:1,15,Shield Dust,Compound Eyes,Friend Guard,17,37.5,1.2,3,11
Rotom,479,,Amorphous,,Electric,Ghost,Head,Red,,,0,G,20,Levitate,,,0.3,0.7,0.3,1,0
Mime Jr.,439,,Undiscovered,,Psychic,Fairy,"Bipedal, tailless form",Pink,,,0,1:1U,25,Soundproof,Filter,Technician,13,28.7,0.6,2,0
Weavile,461,,Field,,Dark,Ice,"Bipedal, tailed form",Black,,,0,1:1,20,Pressure,,Pickpocket,34,75,1.1,3,7
Tangrowth,465,,Grass,,Grass,,"Bipedal, tailless form",Blue,,,0,1:1,20,Chlorophyll,Leaf Guard,Regenerator,128.6,283.5,2,6,7
Greninja,658,,Water 1,,Water,Dark,"Bipedal, tailless form",Blue,,,0,1:7,20,Torrent,,Protean,40,88.2,1.5,4,11
Beedrill,15,,Bug,,Bug,Poison,Two or more pairs of wings,Yellow,,,0,1:1,15,Swarm,,Sniper,29.5,65,1,3,3
Gothorita,575,,Human-Like,,Psychic,,"Bipedal, tailless form",Purple,,,2,3:1,20,Frisk,Competitive,Shadow Tag,18,39.7,0.7,2,4
Heatran,485,,Undiscovered,,Fire,Steel,Quadruped body,Brown,,,0,1:1U,10,Flash Fire,,Flame Body,430,948,1.7,5,7
Vivillon,666,,Bug,,Bug,Flying,Two or more pairs of wings,White,,,0,1:1,15,Shield Dust,Compound Eyes,Friend Guard,17,37.5,1.2,3,11
Taillow,276,,Flying,,Normal,Flying,Single pair of wings,Blue,,,0,1:1,15,Guts,,Scrappy,2.3,5.1,0.3,1,0
Blissey,242,,Fairy,,Normal,,"Bipedal, tailless form",Pink,,,0,1:0,40,Natural Cure,Serene Grace,Healer,46.8,103.2,1.5,4,11
Nincada,290,,Bug,,Bug,Ground,Insectoid body,Gray,,,0,1:1,15,Compound Eyes,,Run Away,5.5,12.1,0.5,1,8
Toxapex,748,,Water 1,,Poison,Water,Tentacles or a multiped body,Blue,,,0,1:1,20,Merciless,Limber,Regenerator,14.5,32,0.7,2,4
Woobat,527,,Field,Flying,Psychic,Flying,Single pair of wings,Blue,,,0,1:1,15,Unaware,Klutz,Simple,2.1,4.6,0.4,1,4
Ariados,168,,Bug,,Bug,Poison,Insectoid body,Red,,,0,1:1,15,Swarm,Insomnia,Sniper,33.5,73.9,1.1,3,7
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Misdreavus,200,,Amorphous,,Ghost,,Head,Gray,,,0,1:1,25,Levitate,,,1,2.2,0.7,2,4
Magnemite,81,,Mineral,,Electric,Steel,Head and arms,Gray,,,0,G,20,Magnet Pull,Sturdy,Analytic,6,13.2,0.3,1,0
Minior,774,,Mineral,,Rock,Flying,Head,Yellow,,,0,G,25,Shields Down,,,40,88.2,0.3,1,0
Serperior,497,,Field,Grass,Grass,,Serpentine bodies,Green,,,0,1:7,20,Overgrow,,Contrary,63,138.9,3.3,10,10
Rattata,19,,Field,,Dark,Normal,Quadruped body,Black,,,0,1:1,15,Run Away,Guts,Hustle,3.5,7.7,0.3,1,0
Lampent,608,,Amorphous,,Ghost,Fire,Head and arms,Black,,,9,1:1,20,Flash Fire,Flame Body,Infiltrator,13,28.7,0.6,2,0
Sandygast,769,,Amorphous,,Ghost,Ground,Serpentine bodies,Brown,,,0,1:1,15,Water Compaction,,Sand Veil,70,154.3,0.5,1,8
Skarmory,227,,Flying,,Steel,Flying,Single pair of wings,Gray,,,0,1:1,25,Keen Eye,Sturdy,Weak Armor,50.5,111.3,1.7,5,7
Luxray,405,,Field,,Electric,,Quadruped body,Blue,,,0,1:1,20,Rivalry,Intimidate,Guts,42,92.6,1.4,4,7
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Moltres,146,,Undiscovered,,Fire,Flying,Single pair of wings,Yellow,,,0,GU,80,Pressure,,Flame Body,60,132.3,2,6,7
Squirtle,7,,Monster,Water 1,Water,,"Bipedal, tailed form",Blue,,,0,1:7,20,Torrent,,Rain Dish,9,19.8,0.5,1,8
Darmanitan,555,,Field,,Fire,Psychic,Quadruped body,Blue,,,0,1:1,20,Zen Mode,,,92.9,204.8,1.3,4,3
Snivy,495,,Field,Grass,Grass,,"Bipedal, tailed form",Green,,,0,1:7,20,Overgrow,,Contrary,8.1,17.9,0.6,2,0
Weedle,13,,Bug,,Bug,Poison,Insectoid body,Brown,,,0,1:1,15,Shield Dust,,Run Away,3.2,7.1,0.3,1,0
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Scizor,212,Scizorite,Bug,,Bug,Steel,Two or more pairs of wings,Red,,,2,1:1,25,Swarm,Technician,Light Metal,118,260.1,2,6,7
Aurorus,699,,Monster,,Rock,Ice,Quadruped body,Blue,,,0,1:7,30,Refrigerate,,Snow Warning,225,496,2.7,8,10
Simisage,512,,Field,,Grass,,"Bipedal, tailed form",Green,,,0,1:7,20,Gluttony,,Overgrow,30.5,67.2,1.1,3,7
Wingull,278,,Water 1,Flying,Water,Flying,Single pair of wings,White,,,2,1:1,20,Keen Eye,Hydration,Rain Dish,9.5,20.9,0.6,2,0
Type: Null,772,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,Battle Armor,,,120.5,265.7,1.9,6,3
Rayquaza,384,Meteorite,Undiscovered,,Dragon,Flying,Serpentine bodies,Green,,,0,GU,120,Air Lock,,,206.5,455.2,10.8,35,5
