Name,Dex,Dex_Suffix,Alt,Item,Class,LDex,LDex_Suffix,Type,Type2,Gender_Ratio,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,WeightLbs,WeightKg,Experience type,Body,Type1,Gen,Color,Group,Base friendship,EvolutionLevel,Call_Rate_SM,Call_Rate_USUM,Ability 1,Ability 2,Hidden,Star,Habitat,Page,Ft,In,HeightM
Cofagrigus,563,,,,,69,,Ghost,,1:1,Mineral,Amorphous,25,,,,6425,6400,168.7,76.5,Medium Fast,Pokémon consisting of a head and a base,Ghost,5,Yellow,,70,,,,Mummy,,,0,,,5,7,1.7
Golem,76,,,,,76,,Rock,Ground,1:1,Mineral,—,15,3840,4096,4080,3855,3840,661.4,300,Medium Slow,"Pokémon with a bipedal, tailless form",Rock,1,Brown,E,70,,,,Rock Head,Sturdy,Sand Veil,0,Mountain,1,4,7,1.4
Drapion,452,,,,,128,,Poison,Dark,1:1,Bug,Water 3,20,,,5355,5140,5120,135.6,61.5,Slow,Pokémon with an insectoid body,Poison,4,Purple,C,70,,,,Battle Armor,Sniper,Keen Eye,0,,,4,3,1.3
Breloom,286,,,,,35,,Grass,Fighting,1:1,Fairy,Grass,15,,4096,4080,3855,3840,86.4,39.2,Fluctuating,"Pokémon with a bipedal, tailed form",Grass,3,Green,C,70,,,,Effect Spore,Poison Heal,Technician,1,Forest,9,3,11,1.2
Deoxys,386,S,,,Speed Forme,202,,Psychic,,GU,Undiscovered,—,120,,30976,30855,30840,30720,134,60.8,Slow,"Pokémon with a bipedal, tailless form",Psychic,3,Red,,0,,,,Pressure,,,0,Rare,6,5,7,1.7
Shieldon,410,,,,,38,,Rock,Steel,1:7,Monster,—,30,,,7905,7710,7680,125.7,57,Erratic,Pokémon with a quadruped body,Rock,4,Gray,E,70,30,,,Sturdy,,Soundproof,0,,,1,8,0.5
Beedrill,15,M,,Beedrillite,Mega,15,,Bug,Poison,1:1,Bug,—,15,3840,4096,4080,3855,3840,65,29.5,Medium Fast,Pokémon with two or more pairs of wings,Bug,1,Yellow,,70,,,,Swarm,,Sniper,0,Forest,2,4,7,1.4
Tangrowth,465,,,,,182,,Grass,,1:1,Grass,—,20,,,5355,5140,5120,283.5,128.6,Medium Fast,"Pokémon with a bipedal, tailless form",Grass,4,Blue,G,70,,,,Chlorophyll,Leaf Guard,Regenerator,0,,,6,7,2
Shellos,422,,,,West Sea,60,,Water,,1:1,Water 1,Amorphous,20,,,5355,5140,5120,13.9,6.3,Medium Fast,Pokémon with serpentine bodies,Water,4,Purple,E,70,30,,,Sticky Hold,Storm Drain,Sand Force,0,,,1,0,0.3
Rayquaza,384,M,,None*,Mega,200,,Dragon,Flying,GU,Undiscovered,—,120,,30976,30855,30840,30720,455.2,206.5,Slow,Pokémon with serpentine bodies,Dragon,3,Green,,0,,,,Air Lock,,,0,Rare,5,35,5,10.8
Delibird,225,,,,,194,,Ice,Flying,1:1,Water 1,Field,20,5120,5376,5355,5140,5120,35.3,16,Fast,Pokémon with a single pair of wings,Ice,2,Red,B,70,,,,Vital Spirit,Hustle,Insomnia,0,Mountain,8,2,11,0.9
Mandibuzz,630,,,,,136,,Dark,Flying,1:0,Flying,—,20,,,,5140,5120,87.1,39.5,Slow,Pokémon with a single pair of wings,Dark,5,Brown,,35,,,,Big Pecks,Overcoat,Weak Armor,0,,,3,11,1.2
Deoxys,386,D,,,Defense Forme,202,,Psychic,,GU,Undiscovered,—,120,,30976,30855,30840,30720,134,60.8,Slow,"Pokémon with a bipedal, tailless form",Psychic,3,Red,,0,,,,Pressure,,,0,Rare,6,5,7,1.7
Girafarig,203,,,,,149,,Normal,Psychic,1:1,Field,—,20,5120,5376,5355,5140,5120,91.5,41.5,Medium Fast,Pokémon with a quadruped body,Normal,2,Yellow,F,70,,,,Inner Focus,Early Bird,Sap Sipper,0,Grassland,15,4,11,1.5
Scolipede,545,,,,,51,,Bug,Poison,1:1,Bug,—,20,,,,5140,5120,442,200.5,Medium Slow,Pokémon with an insectoid body,Bug,5,Red,,70,,,,Poison Point,Swarm,Speed Boost*,4,,,8,2,2.5
Slowpoke,79,,,,,79,,Water,Psychic,1:1,Monster,Water 1,20,5120,5376,5355,5140,5120,79.4,36,Medium Fast,Pokémon with a quadruped body,Water,1,Pink,B,70,37,,,Oblivious,Own Tempo,Regenerator,0,Water's-edge,9,3,11,1.2
Doduo,84,,,,,84,,Normal,Flying,1:1,Flying,—,20,5120,5376,5355,5140,5120,86.4,39.2,Medium Fast,Pokémon consisting of a head and legs,Normal,1,Brown,D,70,31,,,Run Away,Early Bird,Tangled Feet,0,Grassland,5,4,7,1.4
Eelektross,604,,,,,110,,Electric,,1:1,Amorphous,—,20,,,,5140,5120,177.5,80.5,Slow,Pokémon with fins,Electric,5,Blue,,70,,,,Levitate,,,0,,,6,11,2.1
Alakazam,65,,,,,65,,Psychic,,1:3,Human-Like,—,20,5120,5376,5355,5140,5120,105.8,48,Medium Slow,"Pokémon with a bipedal, tailless form",Psychic,1,Brown,F,70,,,,Synchronize,Inner Focus,Magic Guard,0,Urban,4,4,11,1.5
Linoone,264,,,,,13,,Normal,,1:1,Field,—,15,,4096,4080,3855,3840,71.6,32.5,Medium Fast,Pokémon with a quadruped body,Normal,3,White,D,70,,,,Pickup,Gluttony,Quick Feet,1,Grassland,2,1,8,0.5
Glalie,362,,,,,172,,Ice,,1:1,Fairy,Mineral,20,,5376,5355,5140,5120,565.5,256.5,Medium Fast,Pokémon consisting of only a head,Ice,3,Gray,A,70,,,,Inner Focus,Ice Body,Moody,1,Cave,3,4,11,1.5
Eevee,133,Pa,,,Partner,133,,Normal,,1:7,Field,—,35,8960,9216,9180,8995,8960,14.3,6.5,Medium Fast,Pokémon with a quadruped body,Normal,1,Brown,,70,,,,Run Away,Adaptability,Anticipation,1,Urban,11,1,0,0.3
Basculin,550,B,,,Blue-Striped Form,56,,Water,,1:1,Water 2,—,40,,,,10280,10240,39.7,18,Medium Fast,Pokémon with fins,Water,5,Green,,70,,,0,Rock Head,Adaptability,Mold Breaker,4,,,3,3,1
Rowlet,722,,,,,1,,Grass,Flying,1:7,Flying,—,15,,,,,3840,3.3,1.5,Medium Slow,Pokémon with a single pair of wings,Grass,7,Brown,,70,17,,,Overgrow,,Long Reach,0,,,1,0,0.3
Foongus,590,,,,,96,,Grass,Poison,1:1,Grass,—,20,,,,5140,5120,2.2,1,Medium Fast,Pokémon consisting of a head and arms,Grass,5,White,,70,39,,,Effect Spore,,Regenerator,0,,,0,8,0.2
Xerneas,716,,,,Neutral Mode,148,Mo,Fairy,,GU,Undiscovered,—,120,,,,30840,30720,474,215,Slow,Pokémon with a quadruped body,Fairy,6,Blue,,0,,,,Fairy Aura,,,0,,,9,10,3
Lugia,249,,,,,252,,Psychic,Flying,GU,Undiscovered,—,120,30720,30976,30855,30840,30720,476.2,216,Slow,Pokémon with a single pair of wings,Psychic,2,White,F,0,,,,Pressure,,Multiscale,0,Rare,3,17,1,5.2
Wormadam,413,G,,,Sandy Cloak,46,,Bug,Ground,1:0,Bug,—,15,,,4080,3855,3840,14.3,6.5,Medium Fast,Pokémon consisting of a head and a base,Bug,4,Brown,,70,,,,Anticipation,,Overcoat,0,,,1,8,0.5
Boldore,525,,,,,31,,Rock,,1:1,Mineral,—,15,,,,3855,3840,224.9,102,Medium Slow,Pokémon with tentacles or a multiped body,Rock,5,Blue,,70,,,,Sturdy,Weak Armor,Sand Force,1,,,2,11,0.9
Inkay,686,,,,,10,Co,Dark,Psychic,1:1,Water 1,Water 2,20,,,,5140,5120,7.7,3.5,Medium Fast,Pokémon with tentacles or a multiped body,Dark,6,Blue,,70,30,,,Contrary,Suction Cups,Infiltrator,0,,,1,4,0.4
Whirlipede,544,,,,,50,,Bug,Poison,1:1,Bug,—,15,,,,3855,3840,129,58.5,Medium Slow,Pokémon consisting of only a head,Bug,5,Gray,,70,30,,,Poison Point,Swarm,Speed Boost*,4,,,3,11,1.2
Slakoth,287,,,,,36,,Normal,,1:1,Field,—,15,,4096,4080,3855,3840,52.9,24,Slow,Pokémon with a quadruped body,Normal,3,Brown,C,70,18,,,Truant,,,0,Forest,16,2,7,0.8
Noivern,715,,,,,114,Mo,Flying,Dragon,1:1,Flying,—,20,,,,5140,5120,187.4,85,Medium Fast,Pokémon with a single pair of wings,Flying,6,Purple,,70,,,,Frisk,Infiltrator,Telepathy,0,,,4,11,1.5
Carvanha,318,,,,,97,,Water,Dark,1:1,Water 2,—,20,,5376,5355,5140,5120,45.9,20.8,Slow,Pokémon with fins,Water,3,Red,G,35,30,,,Rough Skin,,Speed Boost,0,Sea,10,2,7,0.8
Magneton,82,,,,,82,,Electric,Steel,G,Mineral,—,20,5120,5376,5355,5140,5120,132.3,60,Medium Fast,Pokémon consisting of multiple bodies,Electric,1,Gray,A,70,,,,Magnet Pull,Sturdy,Analytic,0,Rough-terrain,3,3,3,1
Pikachu,25,,,,Cosplay,25,,Electric,,1:1,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,Pokémon with a quadruped body,Electric,1,Yellow,D,70,,,,Static,,Lightning Rod,0,Forest,7,1,4,0.4
Tropius,357,,,,,150,,Grass,Flying,1:1,Monster,Grass,25,,6656,6630,6425,6400,220.5,100,Slow,Pokémon with a quadruped body,Grass,3,Green,E,70,,,,Chlorophyll,Solar Power,Harvest,1,Forest,22,6,7,2
Flabébé,669,,,,White Flower,68,Ce,Fairy,,1:0,Fairy,—,20,,,,5140,5120,0.2,0.1,Medium Fast,Pokémon consisting of a head and arms,Fairy,6,White,,70,19,,,Flower Veil,,Symbiosis,0,,,0,4,0.1
Wailmer,320,,,,,99,,Water,,1:1,Field,Water 2,40,,10496,10455,10280,10240,286.6,130,Fluctuating,Pokémon with fins,Water,3,Blue,E,70,40,,,Water Veil,Oblivious,Pressure,0,Sea,10,6,7,2
Woobat,527,,,,,33,,Psychic,Flying,1:1,Field,Flying,15,,,,3855,3840,4.6,2.1,Medium Fast,Pokémon with a single pair of wings,Psychic,5,Blue,,70,,,,Unaware,Klutz,Simple,0,,,1,4,0.4
Lairon,305,,,,,71,,Steel,Rock,1:1,Monster,—,35,,9216,9180,8995,8960,264.6,120,Slow,Pokémon with a quadruped body,Steel,3,Gray,E,35,42,,,Sturdy,Rock Head,Heavy Metal,0,Mountain,11,2,11,0.9
Gyarados,130,M,,Gyaradosite,Mega,130,,Water,Dark,1:1,Water 2,Dragon,5,1280,1536,1530,1285,1280,518.1,235,Slow,Pokémon with serpentine bodies,Water,1,Blue,,70,,,,Intimidate,,Moxie,0,Water's-edge,2,21,4,6.5
Meloetta,648,P,,,Pirouette Forme,154,,Normal,Fighting,GU,Undiscovered,—,120,,,,30840,30720,14.3,6.5,Slow,"Pokémon with a bipedal, tailless form",Normal,5,White,,100,,,,Serene Grace,,,0,,,2,0,0.6
Rotom,479,,,,Heat,152,,Electric,Ghost,G,Amorphous,—,20,,,5355,5140,5120,0.7,0.3,Medium Fast,Pokémon consisting of only a head,Electric,4,Red,G,70,,,,Levitate,,,0,,,1,0,0.3
Gourgeist,711,,,,Super Size,64,Mo,Ghost,Grass,1:1,Amorphous,—,20,,,,5140,5120,86,39,Medium Fast,Pokémon consisting of a head and a base,Ghost,6,Brown,,70,,,,Pickup,Frisk,Insomnia,0,,,5,7,1.7
Pelipper,279,,,,,28,,Water,Flying,1:1,Water 1,Flying,20,,5376,5355,5140,5120,61.7,28,Medium Fast,Pokémon with a single pair of wings,Water,3,Yellow,D,70,,,,Keen Eye,Drizzle,Rain Dish,1,Sea,2,3,11,1.2
Roserade,407,,,,,27,,Grass,Poison,1:1,Fairy,Grass,20,,,5355,5140,5120,32,14.5,Medium Slow,"Pokémon with a bipedal, tailless form",Grass,4,Green,H,70,,,,Natural Cure,Poison Point,Technician,0,,,2,11,0.9
Azelf,482,,,,,148,,Psychic,,GU,Undiscovered,—,80,,,20655,20560,20480,0.7,0.3,Slow,"Pokémon with a bipedal, tailed form",Psychic,4,Blue,G,140,,,,Levitate,,,0,,,1,0,0.3
Gardevoir,282,,,,,31,,Psychic,Fairy,1:1,Amorphous,—,20,,5376,5355,5140,5120,106.7,48.4,Slow,"Pokémon with a bipedal, tailless form",Psychic,3,White,F,35,,,,Synchronize,Trace,Telepathy,0,Urban,5,5,3,1.6
Glalie,362,M,,Glalitite,Mega,172,,Ice,,1:1,Fairy,Mineral,20,,5376,5355,5140,5120,565.5,256.5,Medium Fast,Pokémon consisting of only a head,Ice,3,Gray,,70,,,,Inner Focus,Ice Body,Moody,1,Cave,3,6,11,2.1
Wurmple,265,,,,,14,,Bug,,1:1,Bug,—,15,,4096,4080,3855,3840,7.9,3.6,Medium Fast,Pokémon with an insectoid body,Bug,3,Red,A,70,7,,,Shield Dust,,Run Away,0,Forest,3,1,0,0.3
Alakazam,65,M,,Alakazite,Mega,65,,Psychic,,1:3,Human-Like,—,20,5120,5376,5355,5140,5120,105.8,48,Medium Slow,"Pokémon with a bipedal, tailless form",Psychic,1,Brown,,70,,,,Synchronize,Inner Focus,Magic Guard,0,Urban,4,3,11,1.2
Silvally,773,,,,Type: Fire,204,,Normal,,GU,Undiscovered,—,120,,,,,30720,221.6,100.5,Slow,Pokémon with a quadruped body,Normal,7,Gray,,0,,,,RKS System,,,0,,,7,7,2.3
Wimpod,767,,,,,182,,Bug,Water,1:1,Bug,Water 3,20,,,,,5120,26.5,12,Medium Fast,Pokémon with tentacles or a multiped body,Bug,7,Gray,,70,30,,,Wimp Out,,,0,,,1,8,0.5
Purrloin,509,,,,,15,,Dark,,1:1,Field,—,20,,,,5140,5120,22.3,10.1,Medium Fast,Pokémon with a quadruped body,Dark,5,Purple,,70,20,,,Limber,Unburden,Prankster,0,,,1,4,0.4
Mimikyu,778,,,,Disguised Form,242,,Ghost,Fairy,1:1,Amorphous,—,20,,,,,5120,1.5,0.7,Medium Fast,Pokémon with serpentine bodies,Ghost,7,Yellow,,70,,,,Disguise,,,0,,,0,8,0.2
Darumaka,554,,,,,60,,Fire,,1:1,Field,—,20,,,,5140,5120,82.7,37.5,Medium Slow,"Pokémon with a bipedal, tailless form",Fire,5,Red,,70,35,,,Hustle,,Inner Focus,0,,,2,0,0.6
Banette,354,,,,,147,,Ghost,,1:1,Amorphous,—,25,,6656,6630,6425,6400,27.6,12.5,Fast,"Pokémon with a bipedal, tailed form",Ghost,3,Black,F,35,,,,Insomnia,Frisk,Cursed Body,1,Urban,3,3,7,1.1
Golisopod,768,,,,,183,,Bug,Water,1:1,Bug,Water 3,20,,,,,5120,238.1,108,Medium Fast,"Pokémon with a bipedal, tailless form",Bug,7,Gray,,70,,,,Emergency Exit,,,0,,,6,7,2
Tyrantrum,697,,,,,65,Co,Rock,Dragon,1:7,Monster,Dragon,30,,,,7710,7680,595.2,270,Medium Fast,"Pokémon with a bipedal, tailed form",Rock,6,Red,,70,,,,Strong Jaw,,Rock Head,0,,,8,2,2.5
Lickilicky,463,,,,,162,,Normal,,1:1,Monster,—,20,,,5355,5140,5120,308.6,140,Medium Fast,"Pokémon with a bipedal, tailless form",Normal,4,Pink,G,70,,,,Own Tempo,Oblivious,Cloud Nine,0,,,5,7,1.7
Nihilego,793,,,,,293,,Rock,Poison,GU,Undiscovered,—,120,,,,,30720,122.4,55.5,Slow,Pokémon with tentacles or a multiped body,Rock,7,White,,0,,,,Beast Boost,,,0,,,3,11,1.2
Chinchou,170,,,,,176,,Water,Electric,1:1,Water 2,—,20,5120,5376,5355,5140,5120,26.5,12,Slow,Pokémon with fins,Water,2,Blue,A,70,27,,,Volt Absorb,Illuminate,Water Absorb,0,Sea,4,1,8,0.5
Sylveon,700,,,,,85,Co,Fairy,,1:7,Field,—,35,,,,8995,8960,51.8,23.5,Medium Fast,Pokémon with a quadruped body,Fairy,6,Pink,,70,,,,Cute Charm,,Pixilate,0,,,3,3,1
Swirlix,684,,,,,131,Ce,Fairy,,1:1,Fairy,—,20,,,,5140,5120,7.7,3.5,Medium Fast,Pokémon consisting of a head and legs,Fairy,6,White,,70,,,,Sweet Veil,,Unburden,0,,,1,4,0.4
Crabrawler,739,,,,,59,,Fighting,,1:1,Water 3,—,20,,,,,5120,15.4,7,Medium Fast,Pokémon with an insectoid body,Fighting,7,Purple,,70,,,,Hyper Cutter,Iron Fist,Anger Point,0,,,2,0,0.6
Sunkern,191,,,,,103,,Grass,,1:1,Grass,—,20,5120,5376,5355,5140,5120,4,1.8,Medium Slow,Pokémon consisting of only a head,Grass,2,Yellow,B,70,,,,Chlorophyll,Solar Power,Early Bird,1,Grassland,6,1,0,0.3
Vileplume,45,,,,,45,,Grass,Poison,1:1,Grass,—,20,5120,5376,5355,5140,5120,41,18.6,Medium Slow,"Pokémon with a bipedal, tailless form",Grass,1,Red,B,70,,,,Chlorophyll,,Effect Spore,0,Grassland,8,3,11,1.2
Kangaskhan,115,,,,,115,,Normal,,1:0,Monster,—,20,5120,5376,5355,5140,5120,176.4,80,Medium Fast,"Pokémon with a bipedal, tailed form",Normal,1,Brown,B,70,,,,Early Bird,Scrappy,Inner Focus,1,Grassland,15,7,3,2.2
Mesprit,481,,,,,147,,Psychic,,GU,Undiscovered,—,80,,,20655,20560,20480,0.7,0.3,Slow,"Pokémon with a bipedal, tailed form",Psychic,4,Pink,G,140,,,,Levitate,,,0,,,1,0,0.3
Ninetales,38,,,,,38,,Fire,,3:1,Field,—,20,5120,5376,5355,5140,5120,43.9,19.9,Medium Fast,Pokémon with a quadruped body,Fire,1,Yellow,G,70,,,,Flash Fire,,Drought,0,Grassland,17,3,7,1.1
Delcatty,301,,,,,62,,Normal,,3:1,Field,Fairy,15,,4096,4080,3855,3840,71.9,32.6,Fast,Pokémon with a quadruped body,Normal,3,Purple,G,70,,,,Cute Charm,Normalize,Wonder Skin,1,Forest,17,3,7,1.1
