ID,English,Japanese_Kana,Japanese_Hepburn,Japanese_Trademarked,ID,English,German,ID,English,French,ID,English,Korean_Hangul,Korean_Revised,Korean_McCune_Reischauer,Korean_Official,ID,English,Chinese_Traditional,Chinese_Simplified,Chinese_Pinyin,Chinese_Yale,Chinese_Former_Names
30,Nidorina,ニドリーナ,Nidorīna,Nidorina,30,Nidorina,Nidorina,30,Nidorina,Nidorina,30,Nidorina,니드리나,Nideurina,Nidŭrina,Nidorina,30,Nidorina,尼多娜,尼多娜,Níduōnà,Nèihdōnàh,尼美蘿 Nèihméihlòh (HK)
31,Nidoqueen,ニドクイン,Nidokuin,Nidoqueen,31,Nidoqueen,Nidoqueen,31,Nidoqueen,Nidoqueen,31,Nidoqueen,니드퀸,Nideukwin,Nidŭk'win,Nidoqueen,31,Nidoqueen,尼多后,尼多后,Níduōhòu,Nèihdōhauh,尼美后 Nèihméihhauh (HK)
32,Nidoran♂,ニドラン♂,Nidoran Osu,Nidoran♂,32,Nidoran♂,Nidoran♂,32,Nidoran♂,Nidoran♂,32,Nidoran♂,니드런♂,Nideureonsukeot,Nidŭrŏnsuk'ŏt,Nidoran♂,32,Nidoran♂,尼多朗,尼多朗,Níduōláng,Nèihdōlóhng,尼多郎 Nèihdōlòhng (HK)
33,Nidorino,ニドリーノ,Nidorīno,Nidorino,33,Nidorino,Nidorino,33,Nidorino,Nidorino,33,Nidorino,니드리노,Nideurino,Nidŭrino,Nidorino,33,Nidorino,尼多力諾,尼多力诺,Níduōlìnuò,Nèihdōlihknohk,尼多利 Nèihdōleih (HK)
34,Nidoking,ニドキング,Nidokingu,Nidoking,34,Nidoking,Nidoking,34,Nidoking,Nidoking,34,Nidoking,니드킹,Nideuking,Nidŭk'ing,Nidoking,34,Nidoking,尼多王,尼多王,Níduōwáng,Nèihdōwòhng,-
35,Clefairy,ピッピ,Pippi,Pippi,35,Clefairy,Piepi,35,Clefairy,Mélofée,35,Clefairy,삐삐,Ppippi,Ppippi,Ppippi,35,Clefairy,皮皮,皮皮,Pípí,Pèihpèih,-
36,Clefable,ピクシー,Pikushī,Pixy,36,Clefable,Pixi,36,Clefable,Mélodelfe,36,Clefable,픽시,Piksi,P'iksi,Pixy,36,Clefable,皮可西,皮可西,Píkěxī,Pèihhósāi,皮可斯 Pèihhósī (HK)
37,Vulpix,ロコン,Rokon,Rokon,37,Vulpix,Vulpix,37,Vulpix,Goupix,37,Vulpix,식스테일,Sikseuteil,Siksŭt'eil,Sixtail,37,Vulpix,六尾,六尾,Liùwěi,Luhkméih,-
38,Ninetales,キュウコン,Kyūkon,Kyukon,38,Ninetales,Vulnona,38,Ninetales,Feunard,38,Ninetales,나인테일,Nainteil,Naint'eil,Ninetail,38,Ninetales,九尾,九尾,Jiǔwěi,Gáuméih,-
39,Jigglypuff,プリン,Purin,Purin,39,Jigglypuff,Pummeluff,39,Jigglypuff,Rondoudou,39,Jigglypuff,푸린,Purin,P'urin,Purin,39,Jigglypuff,胖丁,胖丁,Pàngdīng,Buhndīng,波波球 Bōbōkàuh (HK)
40,Wigglytuff,プクリン,Pukurin,Pukurin,40,Wigglytuff,Knuddeluff,40,Wigglytuff,Grodoudou,40,Wigglytuff,푸크린,Pukeurin,P'ukŭrin,Pukurin,40,Wigglytuff,胖可丁,胖可丁,Pàngkědīng,Buhnhódīng,肥波球 Fèihbōkàuh (HK)
41,Zubat,ズバット,Zubatto,Zubat,41,Zubat,Zubat,41,Zubat,Nosferapti,41,Zubat,주뱃,Jubaet,Chubaet,Zubat,41,Zubat,超音蝠,超音蝠,Chāoyīnfú,Chīuyāmfūk,波音蝠 Bōyāmfūk (HK)
42,Golbat,ゴルバット,Gorubatto,Golbat,42,Golbat,Golbat,42,Golbat,Nosferalto,42,Golbat,골뱃,Golbaet,Kolbaet,Golbat,42,Golbat,大嘴蝠,大嘴蝠,Dàzuǐfú,Daaihjéuifūk,大口蝠 Daaihháufūk (HK)
43,Oddish,ナゾノクサ,Nazonokusa,Nazonokusa,43,Oddish,Myrapla,43,Oddish,Mystherbe,43,Oddish,뚜벅쵸,Ttubeokchyo,Ttubŏkch'yo,Ttubeogcho,43,Oddish,走路草,走路草,Zǒulùcǎo,Jáulouhchóu,行路草 Hàahnglouhchóu (HK)
44,Gloom,クサイハナ,Kusaihana,Kusaihana,44,Gloom,Duflor,44,Gloom,Ortide,44,Gloom,냄새꼬,Naemsaekko,Naemsaekko,Naemsaeko,44,Gloom,臭臭花,臭臭花,Chòuchòuhuā,Chauchaufā,怪味花 Gwaaimeihfā (HK)
45,Vileplume,ラフレシア,Rafureshia,Ruffresia,45,Vileplume,Giflor,45,Vileplume,Rafflesia,45,Vileplume,라플레시아,Rapeullesia,Rapŭllesia,Raplresia,45,Vileplume,霸王花,霸王花,Bàwánghuā,Bawòhngfā,-
46,Paras,パラス,Parasu,Paras,46,Paras,Paras,46,Paras,Paras,46,Paras,파라스,Paraseu,P'arasŭ,Paras,46,Paras,派拉斯,派拉斯,Pàilāsī,Pāailāaisī,蘑菇蟲 Mòhgūchùhng (HK)
47,Parasect,パラセクト,Parasekuto,Parasect,47,Parasect,Parasek,47,Parasect,Parasect,47,Parasect,파라섹트,Parasekteu,Parasekt'ŭ,Parasect,47,Parasect,派拉斯特,派拉斯特,Pàilāsītè,Pāailāaisīdahk,巨菇蟲 Mòuhmòuhchùhng (HK)
48,Venonat,コンパン,Konpan,Kongpang,48,Venonat,Bluzuk,48,Venonat,Mimitoss,48,Venonat,콘팡,Konpang,K'onp'ang,Konpan,48,Venonat,毛球,毛球,Máoqiú,Mòuhkàuh,毛毛蟲 Mòuhmòuhchùhng (HK)
49,Venomoth,モルフォン,Morufon,Morphon,49,Venomoth,Omot,49,Venomoth,Aéromite,49,Venomoth,도나리,Donari,Tonari,Donari,49,Venomoth,摩魯蛾,摩鲁蛾,Mólǔ'é,Mōlóuh'ngòh,"末入蛾 Mòrù'é (TW/CN)
魔魯風 Mōlóuhfūng (HK)"
50,Diglett,ディグダ,Diguda,Digda,50,Diglett,Digda,50,Diglett,Taupiqueur,50,Diglett,디그다,Digeuda,Tigŭda,Digda,50,Diglett,地鼠,地鼠,Dìshǔ,Deihsyú,-
51,Dugtrio,ダグトリオ,Dagutorio,Dugtrio,51,Dugtrio,Digdri,51,Dugtrio,Triopikeur,51,Dugtrio,닥트리오,Dakteurio,Takt'ŭrio,Daktrio,51,Dugtrio,三地鼠,三地鼠,Sāndìshǔ,Sāamdeihsyú,三頭地鼠 Sāamtàuhdeihsyú (HK)
52,Meowth,ニャース,Nyāsu,Nyarth,52,Meowth,Mauzi,52,Meowth,Miaouss,52,Meowth,나옹,Naong,Naong,Naong,52,Meowth,喵喵,喵喵,Miāomiāo,Mēumēu,喵喵怪 Mēumēugwaai (HK)
53,Persian,ペルシアン,Perushian,Persian,53,Persian,Snobilikat,53,Persian,Persian,53,Persian,페르시온,Pereusion,P'erŭsion,Persion,53,Persian,貓老大,猫老大,Māolǎodà,Māaulóuhdaaih,高竇貓 Gōudauhmāau (HK)
54,Psyduck,コダック,Kodakku,Koduck,54,Psyduck,Enton,54,Psyduck,Psykokwak,54,Psyduck,고라파덕,Gorapadeok,Korap'adŏk,Gorapaduck,54,Psyduck,可達鴨,可达鸭,Kědáyā,Hódaaht'aap,傻鴨 Sòh'aap (HK)
55,Golduck,ゴルダック,Gorudakku,Golduck,55,Golduck,Entoron,55,Golduck,Akwakwak,55,Golduck,골덕,Goldeok,Koldŏk,Golduck,55,Golduck,哥達鴨,哥达鸭,Gēdáyā,Gōdaaht'aap,高超鴨 Gōuchīu'aap (HK)
56,Mankey,マンキー,Mankī,Mankey,56,Mankey,Menki,56,Mankey,Férosinge,56,Mankey,망키,Mangki,Mangk'i,Mankey,56,Mankey,猴怪,猴怪,Hóuguài,Hàuhgwaai,-
57,Primeape,オコリザル,Okorizaru,Okorizaru,57,Primeape,Rasaff,57,Primeape,Colossinge,57,Primeape,성원숭,Seongwonsung,Sŏngwŏnsung,Seongwonsung,57,Primeape,火爆猴,火暴猴,Huǒbàohóu,Fóbaauhàuh,-
58,Growlithe,ガーディ,Gādi,Gardie,58,Growlithe,Fukano,58,Growlithe,Caninos,58,Growlithe,가디,Gadi,Kadi,Gadi,58,Growlithe,卡蒂狗,卡蒂狗,Kǎdìgǒu,Kādaigáu,護主犬 Wuhjyúhyún (HK)
59,Arcanine,ウインディ,Uindi,Windie,59,Arcanine,Arkani,59,Arcanine,Arcanin,59,Arcanine,윈디,Windi,Windi,Windi,59,Arcanine,風速狗,风速狗,Fēngsùgǒu,Fūngchūkgáu,奉神犬 Fuhngsàhnhyún (HK)
60,Poliwag,ニョロモ,Nyoromo,Nyoromo,60,Poliwag,Quapsel,60,Poliwag,Ptitard,60,Poliwag,발챙이,Balchaengi,Palch'aengi,Balchengi,60,Poliwag,蚊香蝌蚪,蚊香蝌蚪,Wénxiāngkēdǒu,Mānhēungfōdáu,-
61,Poliwhirl,ニョロゾ,Nyorozo,Nyorozo,61,Poliwhirl,Quaputzi,61,Poliwhirl,Têtarte,61,Poliwhirl,수륙챙이,Suryukchaengi,Suryukch'aengi,Shuryukchengi,61,Poliwhirl,蚊香君,蚊香君,Wénxiāngjūn,Mānhēunggwān,"蚊香蛙 Wénxiāngwā (TW/CN)
蚊香蛙 Mānhēungwā (HK)"
62,Poliwrath,ニョロボン,Nyorobon,Nyorobon,62,Poliwrath,Quappo,62,Poliwrath,Tartard,62,Poliwrath,강챙이,Gangchaengi,Kangch'aengi,Gangchaengi,62,Poliwrath,蚊香泳士,蚊香泳士,Wénxiāngyǒngshì,Mānhēungwihngsih,"快泳蛙 Kuàiyǒngwā (TW/CN)
大力蛙 Daaihlihkwā (HK)"
63,Abra,ケーシィ,Kēshī,Casey,63,Abra,Abra,63,Abra,Abra,63,Abra,캐이시,Kaeisi,K'aeisi,Keisi,63,Abra,凱西,凯西,Kǎixī,Hóisāi,卡斯 Kāsī (HK)
64,Kadabra,ユンゲラー,Yungerā,Yungerer,64,Kadabra,Kadabra,64,Kadabra,Kadabra,64,Kadabra,윤겔라,Yungella,Yun'gella,Yunghelar,64,Kadabra,勇基拉,勇基拉,Yǒngjīlā,Yúhnggēilāai,"勇吉拉 Yǒngjílā (TW/CN)
尤基納 Yàuhgēinaahp (HK)"
65,Alakazam,フーディン,Fūdin,Foodin,65,Alakazam,Simsala,65,Alakazam,Alakazam,65,Alakazam,후딘,Hudin,Hudin,Fudin,65,Alakazam,胡地,胡地,Húdì,Wùhdeih,富迪 Fudihk (HK)
66,Machop,ワンリキー,Wanrikī,Wanriky,66,Machop,Machollo,66,Machop,Machoc,66,Machop,알통몬,Altongmon,Alt'ongmon,Altongmon,66,Machop,腕力,腕力,Wànlì,Wúnlihk,鐵腕 Titwún (HK)
67,Machoke,ゴーリキー,Gōrikī,Goriky,67,Machoke,Maschock,67,Machoke,Machopeur,67,Machoke,근육몬,Geunyungmon,Kŭnyungmon,Geunyukmon,67,Machoke,豪力,豪力,Háolì,Hòuhlihk,大力 Daaihlihk (HK)
68,Machamp,カイリキー,Kairikī,Kairiky,68,Machamp,Machomei,68,Machamp,Mackogneur,68,Machamp,괴력몬,Goeryeongmon,Koeryŏngmon,Goeryeokmon,68,Machamp,怪力,怪力,Guàilì,Gwaailihk,-
69,Bellsprout,マダツボミ,Madatsubomi,Madatsubomi,69,Bellsprout,Knofensa,69,Bellsprout,Chétiflor,69,Bellsprout,모다피,Modapi,Modap'i,Modapi,69,Bellsprout,喇叭芽,喇叭芽,Lǎbāyá,Lābā'ngàh,-
70,Weepinbell,ウツドン,Utsudon,Utsudon,70,Weepinbell,Ultrigaria,70,Weepinbell,Boustiflor,70,Weepinbell,우츠동,Ucheudong,Uch'ŭdong,Uchudon,70,Weepinbell,口呆花,口呆花,Kǒudāihuā,Háungòihfā,-
71,Victreebel,ウツボット,Utsubotto,Utsubot,71,Victreebel,Sarzenia,71,Victreebel,Empiflor,71,Victreebel,우츠보트,Ucheuboteu,Uch'ŭbot'ŭ,Uchubot,71,Victreebel,大食花,大食花,Dàshíhuā,Daaihsihkfā,-
72,Tentacool,メノクラゲ,Menokurage,Menokurage,72,Tentacool,Tentacha,72,Tentacool,Tentacool,72,Tentacool,왕눈해,Wangnunhae,Wangnunhae,Wangnunhe,72,Tentacool,瑪瑙水母,玛瑙水母,Mǎnǎoshuǐmǔ,Máhnóuhséuimóuh,大眼水母 Daaihngáahnséuimóuh (HK)
73,Tentacruel,ドククラゲ,Dokukurage,Dokukurage,73,Tentacruel,Tentoxa,73,Tentacruel,Tentacruel,73,Tentacruel,독파리,Dokpari,Tokp'ari,Tokpari,73,Tentacruel,毒刺水母,毒刺水母,Dúcìshuǐmǔ,Duhkchiséuimóuh,多腳水母 Dōgeukséuimóuh (HK)
74,Geodude,イシツブテ,Ishitsubute,Isitsubute,74,Geodude,Kleinstein,74,Geodude,Racaillou,74,Geodude,꼬마돌,Kkomadol,Kkomadol,Kkomadol,74,Geodude,小拳石,小拳石,Xiǎoquánshí,Síukyùhnsehk,-
75,Graveler,ゴローン,Gorōn,Golone,75,Graveler,Georok,75,Graveler,Gravalanch,75,Graveler,데구리,Deguri,Teguri,Deguri,75,Graveler,隆隆石,隆隆石,Lónglóngshí,Lùhnglùhngsehk,滾動石 Gwánduhngsehk (HK)
76,Golem,ゴローニャ,Gorōnya,Golonya,76,Golem,Geowaz,76,Golem,Grolem,76,Golem,딱구리,Ttakguri,Ttakkuri,Ttakguri,76,Golem,隆隆岩,隆隆岩,Lónglóngyán,Lùhnglùhngngàahm,滾動岩 Gwánduhngngàahm (HK)
77,Ponyta,ポニータ,Ponīta,Ponyta,77,Ponyta,Ponita,77,Ponyta,Ponyta,77,Ponyta,포니타,Ponita,P'onit'a,Ponyta,77,Ponyta,小火馬,小火马,Xiǎohuǒmǎ,Síufómáh,-
78,Rapidash,ギャロップ,Gyaroppu,Gallop,78,Rapidash,Gallopa,78,Rapidash,Galopa,78,Rapidash,날쌩마,Nalssaengma,Nalssaengma,Nalssengma,78,Rapidash,烈焰馬,烈焰马,Lièyànmǎ,Lihtyihmmáh,-
79,Slowpoke,ヤドン,Yadon,Yadon,79,Slowpoke,Flegmon,79,Slowpoke,Ramoloss,79,Slowpoke,야돈,Yadon,Yadon,Yadon,79,Slowpoke,呆呆獸,呆呆兽,Dāidāishòu,Ngòingòihsau,小呆獸 Síungòihsau (HK)
80,Slowbro,ヤドラン,Yadoran,Yadoran,80,Slowbro,Lahmus,80,Slowbro,Flagadoss,80,Slowbro,야도란,Yadoran,Yadoran,Yadonran,80,Slowbro,呆殼獸,呆壳兽,Dāikéshòu,Ngòihhoksau,"呆河馬 / 呆河马 Dāihémǎ (TW/CN)
大呆獸 Daaihngòihsau (HK)"
81,Magnemite,コイル,Koiru,Coil,81,Magnemite,Magnetilo,81,Magnemite,Magnéti,81,Magnemite,코일,Koil,K'oil,Koil,81,Magnemite,小磁怪,小磁怪,Xiǎocíguài,Síuchìhgwaai,-
82,Magneton,レアコイル,Reakoiru,Rarecoil,82,Magneton,Magneton,82,Magneton,Magnéton,82,Magneton,레어코일,Reeokoil,Reŏk'oil,Rarekoil,82,Magneton,三合一磁怪,三合一磁怪,Sānhéyīcíguài,Sāamhahpyātchìhgwaai,-
83,Farfetch'd,カモネギ,Kamonegi,Kamonegi,83,Farfetch'd,Porenta,83,Farfetch'd,Canarticho,83,Farfetch'd,파오리,Paori,P'aori,Paori,83,Farfetch'd,大蔥鴨,大葱鸭,Dàcōngyā,Daaihchūng'aap,火蔥鴨 Fóchūng'aap (HK)
84,Doduo,ドードー,Dōdō,Dodo,84,Doduo,Dodu,84,Doduo,Doduo,84,Doduo,두두,Dudu,Tudu,Dudu,84,Doduo,嘟嘟,嘟嘟,Dūdū,Dōudōu,多多 Dōdō (HK)
85,Dodrio,ドードリオ,Dōdorio,Dodorio,85,Dodrio,Dodri,85,Dodrio,Dodrio,85,Dodrio,두트리오,Duteurio,Tut'ŭrio,Dutrio,85,Dodrio,嘟嘟利,嘟嘟利,Dūdūlì,Dōudōuleih,多多利 Dōdōleih (HK)
86,Seel,パウワウ,Pauwau,Pawou,86,Seel,Jurob,86,Seel,Otaria,86,Seel,쥬쥬,Jyujyu,Chyujyu,Juju,86,Seel,小海獅,小海狮,Xiǎohǎishī,Síuhóisī,-
87,Dewgong,ジュゴン,Jugon,Jugon,87,Dewgong,Jugong,87,Dewgong,Lamantine,87,Dewgong,쥬레곤,Jyuregon,Chyuregon,Juregon,87,Dewgong,白海獅,白海狮,Báihǎishī,Baahkhóisī,-
88,Grimer,ベトベター,Betobetā,Betbeter,88,Grimer,Sleima,88,Grimer,Tadmorv,88,Grimer,질퍽이,Jilpeogi,Chilp'ŏgi,Jilpeogi,88,Grimer,臭泥,臭泥,Chòuní,Chaunàih,爛泥怪 Laahnnàihgwaai (HK)
89,Muk,ベトベトン,Betobeton,Betbeton,89,Muk,Sleimok,89,Muk,Grotadmorv,89,Muk,질뻐기,Jilppeogi,Chilppŏgi,Jilppeogi,89,Muk,臭臭泥,臭臭泥,Chòuchòuní,Chauchaunàih,爛泥獸 Laahnnàihsau (HK)
90,Shellder,シェルダー,Sherudā,Shellder,90,Shellder,Muschas,90,Shellder,Kokiyas,90,Shellder,셀러,Selleo,Sellŏ,Sellor,90,Shellder,大舌貝,大舌贝,Dàshébèi,Daaihsitbui,貝殼怪 Buihokgwaai (HK)
91,Cloyster,パルシェン,Parushen,Parshen,91,Cloyster,Austos,91,Cloyster,Crustabri,91,Cloyster,파르셀,Pareusel,Parŭsel,Parsell,91,Cloyster,刺甲貝,刺甲贝,Cìjiǎbèi,Chigaapbui,"鐵甲貝 / 铁甲贝 Tiějiǎbèi (TW/CN)
鐵甲貝 Titgaapbui (HK)"
92,Gastly,ゴース,Gōsu,Ghos,92,Gastly,Nebulak,92,Gastly,Fantominus,92,Gastly,고오스,Gooseu,Koosŭ,Goohs,92,Gastly,鬼斯,鬼斯,Guǐsī,Gwáisī,-
93,Haunter,ゴースト,Gōsuto,Ghost,93,Haunter,Alpollo,93,Haunter,Spectrum,93,Haunter,고우스트,Gouseuteu,Kousŭt'ŭ,Goust,93,Haunter,鬼斯通,鬼斯通,Guǐsītōng,Gwáisītūng,-
94,Gengar,ゲンガー,Gengā,Gangar,94,Gengar,Gengar,94,Gengar,Ectoplasma,94,Gengar,팬텀,Paenteom,P'aent'ŏm,Penteom,94,Gengar,耿鬼,耿鬼,Gěngguǐ,Gánggwái,-
95,Onix,イワーク,Iwāku,Iwark,95,Onix,Onix,95,Onix,Onix,95,Onix,롱스톤,Rongseuton,Rongsŭt'on,Rongston,95,Onix,大岩蛇,大岩蛇,Dàyánshé,Daaihngàahmsèh,-
96,Drowzee,スリープ,Surīpu,Sleepe,96,Drowzee,Traumato,96,Drowzee,Soporifik,96,Drowzee,슬리프,Seullipeu,Sŭllip'ŭ,Sllip,96,Drowzee,催眠貘,催眠貘,Cuīmiánmò,Chēuimìhnmohk,"素利普 Sùlìpǔ (TW/CN)
食夢獸 Sihkmuhngsau (HK)"
